,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),126435,151406,358629,561592,760388,955110,1145847,1332686,1515709,1694999,1870634,2042691,2211245,2376369
S(1),126324,151273,145728,141017,137079,133860,131311,129386,128044,127246,126957,127143,127775,128822
S(2),126324,151273,149523,147794,146088,144404,142743,141104,139488,137895,136325,134778,133253,131752
"I(0, 1, 0)",126324,151273,148138,145098,142152,139296,136527,133842,131238,128714,126266,123892,121590,119357
"I(0, 1, 1)",126324,151273,145101,139270,133752,128522,123557,118836,114343,110062,105979,102080,98355,94793
"I(0, 1, 2)",126324,151273,149307,147367,145453,143566,141704,139868,138057,136271,134509,132771,131057,129366
"I(1, 0, 0)",126324,151273,149279,147956,147277,147219,147757,148868,150531,152723,155423,158612,162269,166377
"I(1, 0, 1)",126324,151273,145139,139348,133872,128687,123771,119106,114676,110464,106459,102648,99021,95568
"I(1, 0, 2)",126324,151273,150394,149515,148638,147763,146889,146017,145147,144280,143415,142552,141691,140834
"I(1, 1, 0)",126324,151273,148956,146681,144449,142259,140109,137998,135926,133891,131893,129931,128003,126110
"I(1, 1, 1)",126324,151273,145135,139338,133853,128655,123721,119031,114568,110316,106260,102389,98690,95153
"I(1, 1, 2)",126324,151273,150647,150018,149384,148748,148109,147467,146822,146175,145526,144875,144222,143568
"U(0, 1, 0, 0)",126324,151273,152909,155848,160027,165382,171854,179385,187918,197398,207771,218988,230998,243754
"U(0, 1, 0, 1)",126324,151273,154776,157562,159756,161452,162732,163665,164312,164723,164943,165009,164954,164810
"U(0, 1, 0, 2)",126324,151273,151323,151233,151018,150692,150265,149748,149150,148480,147744,146949,146100,145205
"U(0, 1, 1, 0)",126324,151273,154146,156805,159295,161653,163916,166116,168282,170442,172620,174840,177122,179484
"U(0, 1, 1, 1)",126324,151273,150201,149155,148130,147122,146131,145154,144190,143237,142294,141359,140432,139511
"U(0, 1, 1, 2)",126324,151273,151099,150925,150747,150563,150373,150174,149965,149744,149511,149265,149005,148730
"U(0, 1, 2, 0)",126324,151273,153440,155419,157227,158877,160382,161756,163008,164150,165191,166140,167007,167798
"U(0, 1, 2, 1)",126324,151273,153565,155365,156748,157772,158486,158930,159140,159146,158972,158642,158173,157584
"U(0, 1, 2, 2)",126324,151273,156115,160429,164274,167699,170744,173448,175841,177953,179807,181427,182832,184039
"U(0, 1, 3, 0)",126324,151273,155901,160295,164471,168445,172232,175844,179290,182583,185731,188742,191624,194384
"U(0, 1, 3, 1)",126324,151273,155445,159147,162440,165375,167994,170330,172414,174270,175920,177382,178672,179805
"U(0, 1, 3, 2)",126324,151273,159258,166766,173850,180549,186898,192928,198663,204127,209339,214315,219071,223621
"U(0, 2, 0, 0)",126324,151273,146952,142827,138888,135124,131527,128087,124799,121655,118649,115777,113033,110413
"U(0, 2, 0, 1)",126324,151273,144396,138042,132144,126649,121514,116699,112175,107913,103890,100085,96482,93063
"U(0, 2, 0, 2)",126324,151273,147966,144808,141786,138890,136109,133436,130862,128379,125983,123668,121427,119257
"U(0, 2, 1, 0)",126324,151273,146339,141641,137164,132892,128812,124910,121177,117602,114176,110890,107738,104713
"U(0, 2, 1, 1)",126324,151273,146628,142196,137961,133908,130025,126301,122726,119290,115986,112806,109744,106793
"U(0, 2, 1, 2)",126324,151273,149388,147519,145666,143830,142013,140213,138432,136670,134926,133202,131498,129812
"U(0, 2, 2, 0)",126324,151273,146596,142132,137865,133782,129870,126120,122521,119064,115742,112546,109470,106508
"U(0, 2, 2, 1)",126324,151273,143966,137198,130903,125029,119533,114377,109529,104962,100651,96576,92719,89061
"U(0, 2, 2, 2)",126324,151273,144787,138747,133104,127819,122858,118191,113791,109637,105708,101987,98458,95108
"U(0, 2, 3, 0)",126324,151273,145783,140582,135649,130965,126513,122276,118242,114398,110731,107232,103891,100698
"U(0, 2, 3, 1)",126324,151273,143511,136324,129646,123424,117611,112169,107062,102262,97744,93484,89463,85661
"U(0, 2, 3, 2)",126324,151273,143583,136434,129768,123539,117704,112230,107084,102240,97675,93367,89297,85448
"U(1, 0, 0, 0)",126324,151273,150922,151025,151564,152521,153878,155616,157718,160165,162940,166025,169404,173060
"U(1, 0, 0, 1)",126324,151273,152806,153792,154333,154506,154377,154002,153428,152694,151835,150879,149852,148776
"U(1, 0, 0, 2)",126324,151273,151082,150780,150378,149886,149313,148668,147957,147189,146367,145499,144589,143640
"U(1, 0, 1, 0)",126324,151273,153167,154840,156321,157636,158805,159849,160788,161638,162415,163132,163803,164439
"U(1, 0, 1, 1)",126324,151273,149368,147510,145693,143915,142174,140468,138795,137152,135537,133949,132387,130847
"U(1, 0, 1, 2)",126324,151273,150780,150290,149804,149317,148830,148340,147847,147348,146843,146332,145814,145288
"U(1, 0, 2, 0)",126324,151273,152532,153624,154563,155363,156035,156590,157037,157386,157645,157820,157919,157948
"U(1, 0, 2, 1)",126324,151273,152461,153241,153678,153823,153718,153398,152892,152227,151423,150498,149470,148351
"U(1, 0, 2, 2)",126324,151273,156029,160323,164201,167699,170850,173684,176227,178502,180529,182327,183912,185301
"U(1, 0, 3, 0)",126324,151273,154613,157748,160693,163462,166066,168517,170823,172993,175036,176959,178768,180469
"U(1, 0, 3, 1)",126324,151273,154242,156806,159021,160930,162570,163971,165160,166158,166982,167650,168174,168568
"U(1, 0, 3, 2)",126324,151273,158806,165959,172768,179263,185470,191410,197103,202565,207812,212856,217708,222380
"U(1, 1, 0, 0)",126324,151273,155621,159722,163576,167192,170577,173744,176704,179470,182055,184472,186735,188855
"U(1, 1, 0, 1)",126324,151273,165472,179263,192550,205292,217463,229050,240048,250461,260294,269563,278283,286464
"U(1, 1, 0, 2)",126324,151273,154037,156583,158909,161020,162921,164616,166115,167425,168554,169512,170307,170948
"U(1, 1, 1, 0)",126324,151273,159114,166831,174399,181800,189022,196055,202893,209532,215968,222202,228233,234063
"U(1, 1, 1, 1)",126324,151273,160974,170694,180411,190100,199737,209306,218790,228175,237450,246605,255633,264526
"U(1, 1, 1, 2)",126324,151273,151910,152591,153312,154068,154854,155664,156495,157342,158201,159068,159940,160812
"U(1, 1, 2, 0)",126324,151273,158271,165179,171976,178650,185189,191586,197836,203935,209882,215675,221314,226799
"U(1, 1, 2, 1)",126324,151273,168802,186174,203293,220109,236583,252690,268413,283741,298668,313192,327315,341034
"U(1, 1, 2, 2)",126324,151273,162260,172822,182941,192620,201867,210690,219101,227114,234739,241991,248885,255430
"U(1, 1, 3, 0)",126324,151273,161636,172051,182489,192930,203356,213754,224112,234420,244672,254862,264983,275032
"U(1, 1, 3, 1)",126324,151273,172897,194906,217188,239663,262272,284965,307705,330465,353219,375952,398648,421293
"U(1, 1, 3, 2)",126324,151273,166772,182153,197376,212427,227293,241968,256448,270731,284818,298709,312409,325916
"U(1, 2, 0, 0)",126324,151273,148117,144937,141756,138591,135455,132358,129308,126310,123369,120487,117666,114909
"U(1, 2, 0, 1)",126324,151273,149367,147238,144965,142595,140167,137708,135242,132785,130351,127949,125587,123273
"U(1, 2, 0, 2)",126324,151273,147331,143448,139637,135911,132274,128732,125289,121943,118698,115550,112500,109546
"U(1, 2, 1, 0)",126324,151273,150525,149608,148552,147381,146114,144768,143355,141889,140377,138830,137254,135656
"U(1, 2, 1, 1)",126324,151273,152932,154360,155579,156612,157480,158199,158784,159248,159604,159861,160028,160115
"U(1, 2, 1, 2)",126324,151273,148937,146623,144331,142062,139816,137594,135395,133220,131070,128944,126844,124770
