,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),221806,265612,629753,986639,1336421,1679246,2015257,2344593,2667391,2983780,3293891,3597847,3895772,4187783
S(1),221677,265458,256369,248690,242324,237183,233189,230268,228351,227377,227285,228021,229534,231776
S(2),221677,265458,262300,259182,256105,253069,250074,247120,244209,241339,238510,235724,232980,230278
"I(0, 1, 0)",221677,265458,261337,257963,255309,253349,252056,251406,251373,251934,253067,254748,256958,259674
"I(0, 1, 1)",221677,265458,255248,245577,236402,227687,219397,211506,203985,196813,189969,183433,177188,171220
"I(0, 1, 2)",221677,265458,262470,259515,256594,253707,250854,248033,245245,242489,239764,237072,234410,231779
"I(1, 0, 0)",221677,265458,261495,258357,256015,254438,253598,253468,254019,255227,257066,259512,262540,266127
"I(1, 0, 1)",221677,265458,255443,245953,236947,228389,220248,212496,205108,198062,191338,184918,178785,172925
"I(1, 0, 2)",221677,265458,263537,261625,259722,257829,255945,254071,252207,250352,248508,246674,244849,243036
"I(1, 1, 0)",221677,265458,261980,258561,255203,251905,248670,245498,242390,239345,236366,233452,230603,227821
"I(1, 1, 1)",221677,265458,255440,245947,236935,228367,220210,212435,205015,197926,191147,184660,178446,172490
"I(1, 1, 2)",221677,265458,264529,263592,262647,261696,260739,259776,258807,257832,256853,255868,254879,253885
"U(0, 1, 0, 0)",221677,265458,268700,273928,281053,289985,300641,312935,326784,342108,358828,376867,396151,416610
"U(0, 1, 0, 1)",221677,265458,272143,277618,282080,285684,288565,290836,292597,293933,294918,295617,296086,296376
"U(0, 1, 0, 2)",221677,265458,267010,268221,269126,269750,270119,270257,270182,269913,269467,268858,268100,267205
"U(0, 1, 1, 0)",221677,265458,271158,276419,281323,285937,290325,294544,298647,302683,306695,310723,314805,318972
"U(0, 1, 1, 1)",221677,265458,264572,263694,262816,261935,261051,260160,259261,258353,257434,256504,255562,254607
"U(0, 1, 1, 2)",221677,265458,270287,274777,278951,282824,286414,289736,292804,295630,298226,300605,302775,304748
"U(0, 1, 2, 0)",221677,265458,269898,273956,277665,281054,284149,286976,289558,291913,294063,296024,297814,299447
"U(0, 1, 2, 1)",221677,265458,268140,270248,271862,273046,273854,274331,274518,274449,274154,273657,272983,272151
"U(0, 1, 2, 2)",221677,265458,276466,286359,295271,303307,310558,317103,323010,328338,333138,337456,341333,344806
"U(0, 1, 3, 0)",221677,265458,274244,282562,290451,297944,305067,311848,318309,324471,330351,335968,341337,346472
"U(0, 1, 3, 1)",221677,265458,275080,283701,291455,298446,304762,310476,315652,320340,324589,328436,331916,335060
"U(0, 1, 3, 2)",221677,265458,280246,294126,307204,319565,331280,342409,353006,363115,372774,382017,390874,399372
"U(0, 2, 0, 0)",221677,265458,257378,249692,242375,235403,228757,222419,216373,210606,205105,199859,194857,190090
"U(0, 2, 0, 1)",221677,265458,253844,243080,233061,223701,214932,206691,198929,191602,184672,178106,171875,165954
"U(0, 2, 0, 2)",221677,265458,258922,252683,246714,240996,235509,230235,225161,220272,215557,211004,206604,202348
"U(0, 2, 1, 0)",221677,265458,256403,247810,239643,231871,224466,217403,210660,204216,198055,192158,186511,181101
"U(0, 2, 1, 1)",221677,265458,257862,250598,243643,236975,230576,224426,218512,212819,207334,202047,196945,192021
"U(0, 2, 1, 2)",221677,265458,258428,251702,245262,239088,233166,227480,222016,216762,211706,206837,202147,197626
"U(0, 2, 2, 0)",221677,265458,256839,248636,240818,233357,226229,219410,212881,206625,200623,194863,189330,184012
"U(0, 2, 2, 1)",221677,265458,254539,244308,234693,225633,217078,208983,201308,194022,187093,180496,174209,168209
"U(0, 2, 2, 2)",221677,265458,252220,239972,228597,218003,208110,198849,190161,181997,174311,167066,160226,153760
"U(0, 2, 3, 0)",221677,265458,255464,246028,237106,228658,220651,213053,205836,198976,192448,186232,180310,174663
"U(0, 2, 3, 1)",221677,265458,251257,238135,225962,214637,204072,194192,184934,176241,168065,160366,153105,146247
"U(0, 2, 3, 2)",221677,265458,252115,239832,228485,217975,208219,199144,190685,182790,175408,168498,162024,155948
"U(1, 0, 0, 0)",221677,265458,265392,265960,267144,268925,271283,274194,277637,281587,286023,290920,296256,302008
"U(1, 0, 0, 1)",221677,265458,267807,269290,270064,270252,269956,269265,268252,266981,265506,263873,262122,260290
"U(1, 0, 0, 2)",221677,265458,264837,263974,262898,261632,260197,258613,256896,255061,253122,251090,248976,246790
"U(1, 0, 1, 0)",221677,265458,269451,273013,276196,279045,281600,283898,285973,287855,289572,291150,292612,293979
"U(1, 0, 1, 1)",221677,265458,262686,259958,257267,254612,251994,249409,246855,244332,241837,239368,236925,234506
"U(1, 0, 1, 2)",221677,265458,269178,272566,275643,278425,280930,283173,285169,286930,288470,289800,290931,291873
"U(1, 0, 2, 0)",221677,265458,268321,270848,273071,275013,276699,278151,279386,280422,281274,281958,282485,282867
"U(1, 0, 2, 1)",221677,265458,265823,265745,265295,264528,263490,262220,260750,259109,257321,255405,253379,251260
"U(1, 0, 2, 2)",221677,265458,274757,283102,290600,297336,303383,308806,313661,317998,321860,325284,328305,330955
"U(1, 0, 3, 0)",221677,265458,271952,278056,283799,289207,294302,299106,303636,307910,311942,315747,319336,322722
"U(1, 0, 3, 1)",221677,265458,272088,277867,282913,287317,291157,294496,297388,299879,302009,303810,305311,306540
"U(1, 0, 3, 2)",221677,265458,278787,291322,303146,314325,324918,334972,344532,353632,362306,370582,378483,386034
"U(1, 1, 0, 0)",221677,265458,273984,282003,289512,296526,303058,309132,314768,319991,324827,329301,333437,337258
"U(1, 1, 0, 1)",221677,265458,289527,312930,335514,357211,377976,397786,416631,434516,451449,467454,482553,496762
"U(1, 1, 0, 2)",221677,265458,271793,277641,283003,287888,292311,296287,299834,302969,305712,308082,310097,311776
"U(1, 1, 1, 0)",221677,265458,280047,294373,308390,322065,335377,348310,360851,372995,384739,396083,407028,417577
"U(1, 1, 1, 1)",221677,265458,282453,299536,316665,333793,350878,367885,384784,401549,418157,434590,450829,466862
"U(1, 1, 1, 2)",221677,265458,275965,286243,296270,306029,315509,324700,333596,342193,350487,358478,366167,373553
"U(1, 1, 2, 0)",221677,265458,278532,291401,304030,316393,328473,340259,351742,362917,373783,384340,394591,404536
"U(1, 1, 2, 1)",221677,265458,290935,316305,341447,366284,390758,414829,438465,461647,484358,506592,528344,549609
