,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),122650,146873,349614,548129,742508,932841,1119218,1301724,1480442,1655455,1826841,1994679,2159043,2320008
S(1),122542,146744,143352,140587,138414,136805,135732,135168,135086,135463,136275,137501,139119,141110
S(2),122542,146744,144491,142278,140102,137965,135865,133803,131778,129789,127837,125921,124041,122196
"I(0, 1, 0)",122542,146744,145175,144614,145022,146360,148592,151681,155594,160296,165755,171939,178819,186365
"I(0, 1, 1)",122542,146744,142657,138729,134952,131322,127831,124474,121247,118146,115165,112302,109552,106913
"I(0, 1, 2)",122542,146744,145445,144155,142874,141602,140340,139086,137841,136605,135379,134161,132952,131753
"I(1, 0, 0)",122542,146744,146322,147501,150223,154430,160067,167079,175414,185022,195853,207859,220995,235215
"I(1, 0, 1)",122542,146744,142682,138781,135037,131443,127995,124691,121525,118494,115595,112826,110183,107665
"I(1, 0, 2)",122542,146744,145699,144656,143617,142580,141545,140514,139486,138461,137440,136423,135409,134398
"I(1, 1, 0)",122542,146744,146865,146984,147116,147274,147474,147727,148046,148443,148929,149514,150209,151023
"I(1, 1, 1)",122542,146744,142695,138807,135069,131473,128013,124680,121468,118371,115385,112502,109720,107033
"I(1, 1, 2)",122542,146744,147121,147484,147831,148164,148483,148788,149079,149356,149620,149871,150108,150333
"U(0, 1, 0, 0)",122542,146744,143611,140780,138237,135969,133960,132201,130677,129378,128292,127409,126717,126208
"U(0, 1, 0, 1)",122542,146744,145970,145067,144061,142968,141807,140594,139344,138068,136779,135485,134196,132920
"U(0, 1, 0, 2)",122542,146744,142653,138691,134853,131134,127530,124038,120653,117372,114191,111107,108117,105218
"U(0, 1, 1, 0)",122542,146744,146275,145723,145099,144409,143664,142870,142035,141166,140269,139350,138415,137469
"U(0, 1, 1, 1)",122542,146744,145676,144604,143527,142446,141362,140275,139186,138096,137004,135911,134817,133724
"U(0, 1, 1, 2)",122542,146744,145400,144022,142614,141178,139717,138233,136730,135208,133672,132123,130562,128992
"U(0, 1, 2, 0)",122542,146744,145699,144639,143564,142474,141372,140258,139133,137999,136856,135705,134547,133384
"U(0, 1, 2, 1)",122542,146744,146478,146114,145664,145137,144542,143887,143178,142422,141625,140791,139924,139029
"U(0, 1, 2, 2)",122542,146744,146334,145870,145354,144789,144177,143521,142823,142086,141312,140503,139661,138788
"U(0, 1, 3, 0)",122542,146744,147713,148594,149393,150111,150753,151323,151822,152255,152624,152932,153181,153375
"U(0, 1, 3, 1)",122542,146744,148634,150371,151966,153431,154776,156009,157140,158175,159120,159983,160767,161477
"U(0, 1, 3, 2)",122542,146744,149173,151462,153618,155646,157552,159341,161020,162592,164062,165434,166712,167901
"U(0, 2, 0, 0)",122542,146744,143708,140746,137855,135034,132280,129592,126967,124403,121900,119455,117067,114733
"U(0, 2, 0, 1)",122542,146744,143078,139574,136218,132999,129908,126933,124069,121306,118638,116059,113564,111147
"U(0, 2, 0, 2)",122542,146744,145256,143778,142312,140855,139410,137974,136550,135136,133733,132340,130959,129587
"U(0, 2, 1, 0)",122542,146744,143002,139373,135852,132436,129121,125903,122779,119744,116797,113934,111151,108447
"U(0, 2, 1, 1)",122542,146744,143250,139878,136620,133470,130423,127472,124614,121842,119154,116545,114012,111550
"U(0, 2, 1, 2)",122542,146744,144156,141616,139121,136671,134265,131903,129582,127304,125066,122868,120709,118588
"U(0, 2, 2, 0)",122542,146744,143211,139775,136434,133185,130023,126946,123951,121036,118198,115434,112743,110121
"U(0, 2, 2, 1)",122542,146744,142596,138625,134820,131167,127658,124282,121032,117899,114877,111960,109140,106414
"U(0, 2, 2, 2)",122542,146744,143256,139862,136559,133344,130214,127166,124197,121306,118489,115745,113071,110465
"U(0, 2, 3, 0)",122542,146744,142471,138342,134353,130497,126768,123163,119677,116304,113040,109882,106825,103866
"U(0, 2, 3, 1)",122542,146744,141892,137264,132844,128618,124573,120697,116979,113410,109981,106683,103509,100453
"U(0, 2, 3, 2)",122542,146744,142190,137807,133587,129521,125603,121826,118184,114670,111280,108007,104847,101795
"U(1, 0, 0, 0)",122542,146744,143912,141473,139409,137700,136328,135277,134530,134070,133883,133953,134268,134812
"U(1, 0, 0, 1)",122542,146744,147496,148031,148382,148574,148631,148576,148428,148207,147927,147603,147249,146876
"U(1, 0, 0, 2)",122542,146744,141876,137187,132668,128313,124116,120071,116172,112412,108788,105292,101922,98671
"U(1, 0, 1, 0)",122542,146744,146439,146047,145579,145045,144456,143821,143149,142447,141724,140987,140242,139495
"U(1, 0, 1, 1)",122542,146744,146426,146096,145752,145393,145021,144634,144234,143820,143393,142952,142499,142034
"U(1, 0, 1, 2)",122542,146744,144968,143166,141340,139495,137632,135757,133870,131976,130076,128173,126270,124368
"U(1, 0, 2, 0)",122542,146744,145862,144955,144026,143075,142105,141116,140111,139092,138058,137013,135957,134891
"U(1, 0, 2, 1)",122542,146744,147567,148251,148809,149253,149592,149836,149993,150070,150074,150011,149888,149708
"U(1, 0, 2, 2)",122542,146744,146343,145872,145335,144736,144078,143365,142602,141790,140934,140035,139098,138124
"U(1, 0, 3, 0)",122542,146744,147807,148780,149667,150472,151198,151849,152428,152938,153383,153764,154086,154349
"U(1, 0, 3, 1)",122542,146744,149937,152956,155814,158523,161092,163530,165846,168047,170140,172131,174026,175829
"U(1, 0, 3, 2)",122542,146744,149262,151617,153819,155874,157791,159575,161235,162776,164203,165523,166739,167858
"U(1, 1, 0, 0)",122542,146744,145062,143357,141632,139889,138131,136360,134578,132789,130994,129197,127398,125601
"U(1, 1, 0, 1)",122542,146744,152721,158503,164071,169420,174544,179439,184102,188532,192731,196700,200444,203967
"U(1, 1, 0, 2)",122542,146744,142201,137816,133581,129493,125546,121734,118053,114499,111066,107751,104550,101457
"U(1, 1, 1, 0)",122542,146744,148205,149565,150822,151977,153033,153988,154846,155607,156274,156848,157332,157727
"U(1, 1, 1, 1)",122542,146744,152992,159218,165413,171568,177673,183721,189706,195621,201461,207222,212899,218489
"U(1, 1, 1, 2)",122542,146744,145439,144100,142728,141329,139905,138460,136996,135516,134023,132520,131009,129492
"U(1, 1, 2, 0)",122542,146744,147571,148357,149100,149798,150450,151056,151616,152128,152594,153012,153383,153707
"U(1, 1, 2, 1)",122542,146744,155687,164586,173418,182171,190833,199392,207841,216170,224375,232451,240393,248199
"U(1, 1, 2, 2)",122542,146744,146763,146715,146603,146430,146200,145914,145575,145188,144754,144277,143759,143203
"U(1, 1, 3, 0)",122542,146744,149981,153169,156303,159382,162404,165366,168267,171105,173879,176589,179234,181812
"U(1, 1, 3, 1)",122542,146744,159899,173310,186943,200777,214789,228960,243270,257706,272252,286899,301634,316450
"U(1, 1, 3, 2)",122542,146744,150153,153448,156628,159697,162659,165514,168268,170921,173479,175945,178321,180610
"U(1, 2, 0, 0)",122542,146744,142989,139320,135738,132242,128832,125506,122265,119105,116027,113030,110110,107268
"U(1, 2, 0, 1)",122542,146744,146245,145602,144840,143974,143020,141994,140908,139773,138598,137391,136160,134910
"U(1, 2, 0, 2)",122542,146744,139048,131780,124914,118428,112302,106515,101048,95883,91002,86390,82030,77908
"U(1, 2, 1, 0)",122542,146744,145563,144307,142984,141602,140166,138684,137160,135600,134009,132390,130749,129089
"U(1, 2, 1, 1)",122542,146744,148603,150298,151841,153241,154508,155650,156674,157589,158401,159115,159737,160274
"U(1, 2, 1, 2)",122542,146744,141226,135914,130802,125881,121147,116592,112210,107996,103944,100048,96302,92703
"U(1, 2, 2, 0)",122542,146744,145048,143342,141628,139909,138188,136466,134746,133030,131319,129614,127917,126229
"U(1, 2, 2, 1)",122542,146744,148617,150279,151755,153063,154218,155236,156131,156915,157599,158191,158700,159134
"U(1, 2, 2, 2)",122542,146744,142013,137426,132981,128676,124507,120472,116568,112792,109141,105610,102197,98899
"U(1, 2, 3, 0)",122542,146744,146646,146469,146219,145902,145523,145088,144600,144063,143483,142861,142201,141507
"U(1, 2, 3, 1)",122542,146744,149592,152192,154572,156750,158746,160578,162262,163810,165236,166550,167761,168877
"U(1, 2, 3, 2)",122542,146744,143222,139732,136282,132878,129525,126229,122992,119819,116712,113672,110700,107799
"U(2, 0, 0, 0)",122542,146744,143710,140753,137869,135057,132314,129639,127030,124484,122002,119580,117218,114914
