,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),215053,257528,617725,972059,1320640,1663572,2000960,2332904,2659499,2980842,3297023,3608131,3914254,4215475
S(1),215039,257510,249649,243118,237836,233732,230741,228798,227846,227830,228699,230403,232898,236141
S(2),215039,257510,253485,249541,245676,241888,238176,234539,230975,227483,224061,220709,217425,214207
"I(0, 1, 0)",215039,257510,253315,249408,245778,242417,239317,236469,233866,231499,229362,227447,225747,224256
"I(0, 1, 1)",215039,257510,248476,239877,231681,223860,216389,209245,202409,195861,189584,183564,177786,172238
"I(0, 1, 2)",215039,257510,252981,248548,244208,239959,235797,231721,227727,223814,219980,216222,212539,208928
"I(1, 0, 0)",215039,257510,256864,258344,261889,267439,274936,284325,295550,308557,323295,339713,357761,377391
"I(1, 0, 1)",215039,257510,248692,240307,232328,224733,217501,210614,204056,197813,191870,186216,180840,175733
"I(1, 0, 2)",215039,257510,254582,251700,248860,246062,243306,240589,237912,235272,232669,230103,227573,225077
"I(1, 1, 0)",215039,257510,255988,254473,252968,251474,249993,248529,247081,245652,244244,242858,241497,240160
"I(1, 1, 1)",215039,257510,248684,240284,232280,224644,217350,210376,203702,197309,191179,185299,179653,174229
"I(1, 1, 2)",215039,257510,254794,252116,249473,246866,244293,241754,239247,236772,234328,231914,229530,227175
"U(0, 1, 0, 0)",215039,257510,253631,250049,246751,243730,240976,238478,236227,234215,232433,230871,229521,228375
"U(0, 1, 0, 1)",215039,257510,255959,254085,251957,249629,247149,244557,241891,239180,236452,233730,231034,228381
"U(0, 1, 0, 2)",215039,257510,250445,243600,236967,230539,224308,218269,212414,206737,201233,195895,190717,185695
"U(0, 1, 1, 0)",215039,257510,258634,259550,260275,260826,261215,261457,261564,261550,261424,261199,260883,260487
"U(0, 1, 1, 1)",215039,257510,254686,251863,249045,246235,243438,240656,237891,235145,232420,229716,227035,224377
"U(0, 1, 1, 2)",215039,257510,255915,254222,252437,250568,248620,246601,244515,242369,240167,237916,235619,233282
"U(0, 1, 2, 0)",215039,257510,257595,257591,257503,257336,257093,256779,256397,255950,255443,254878,254257,253585
"U(0, 1, 2, 1)",215039,257510,254706,251844,248940,246006,243054,240093,237131,234174,231228,228297,225385,222494
"U(0, 1, 2, 2)",215039,257510,260231,262547,264493,266100,267396,268407,269156,269665,269951,270032,269924,269641
"U(0, 1, 3, 0)",215039,257510,261400,265103,268629,271986,275181,278221,281112,283861,286475,288957,291314,293550
"U(0, 1, 3, 1)",215039,257510,260307,262691,264711,266407,267812,268957,269868,270568,271077,271411,271586,271616
"U(0, 1, 3, 2)",215039,257510,264115,270309,276125,281586,286717,291539,296072,300332,304335,308096,311627,314941
"U(0, 2, 0, 0)",215039,257510,252711,248041,243494,239065,234750,230543,226441,222440,218537,214727,211009,207378
"U(0, 2, 0, 1)",215039,257510,249500,241915,234714,227863,221334,215098,209134,203421,197941,192677,187616,182744
"U(0, 2, 0, 2)",215039,257510,255902,254282,252652,251012,249363,247707,246043,244372,242696,241014,239328,237638
"U(0, 2, 1, 0)",215039,257510,251527,245740,240140,234719,229467,224378,219444,214659,210015,205508,201132,196880
"U(0, 2, 1, 1)",215039,257510,249726,242300,235206,228418,221916,215679,209691,203935,198398,193066,187928,182972
"U(0, 2, 1, 2)",215039,257510,252715,248029,243447,238967,234586,230300,226107,222005,217991,214062,210216,206451
"U(0, 2, 2, 0)",215039,257510,251882,246424,241129,235989,230999,226150,221439,216858,212404,208070,203853,199748
"U(0, 2, 2, 1)",215039,257510,249283,241455,233991,226864,220050,213526,207271,201268,195502,189957,184620,179480
"U(0, 2, 2, 2)",215039,257510,249555,241980,234756,227857,221261,214946,208895,203091,197518,192162,187011,182054
"U(0, 2, 3, 0)",215039,257510,250667,244078,237728,231609,225708,220015,214521,209218,204097,199150,194369,189748
"U(0, 2, 3, 1)",215039,257510,247134,237350,228102,219347,211044,203159,195659,188517,181708,175208,168999,163060
"U(0, 2, 3, 2)",215039,257510,248636,240224,232239,224650,217430,210554,203999,197744,191771,186063,180603,175378
"U(1, 0, 0, 0)",215039,257510,255783,254809,254557,254997,256103,257846,260198,263134,266627,270654,275188,280208
"U(1, 0, 0, 1)",215039,257510,260692,263203,265150,266613,267671,268389,268828,269039,269070,268962,268750,268468
"U(1, 0, 0, 2)",215039,257510,250802,244301,237998,231888,225963,220216,214643,209236,203990,198900,193961,189167
"U(1, 0, 1, 0)",215039,257510,260109,262454,264574,266498,268249,269852,271328,272699,273984,275200,276364,277493
"U(1, 0, 1, 1)",215039,257510,257341,257092,256765,256367,255904,255380,254800,254168,253488,252762,251995,251188
"U(1, 0, 1, 2)",215039,257510,256488,255351,254105,252757,251315,249785,248173,246486,244728,242906,241024,239088
"U(1, 0, 2, 0)",215039,257510,259041,260417,261645,262735,263696,264534,265257,265873,266388,266808,267139,267387
"U(1, 0, 2, 1)",215039,257510,257818,257908,257807,257537,257115,256561,255887,255108,254235,253277,252245,251146
"U(1, 0, 2, 2)",215039,257510,262860,267581,271733,275365,278520,281240,283560,285513,287128,288432,289447,290197
"U(1, 0, 3, 0)",215039,257510,262774,267819,272656,277294,281744,286012,290108,294040,297813,301434,304910,308247
"U(1, 0, 3, 1)",215039,257510,264207,270321,275916,281040,285740,290054,294019,297663,301013,304093,306923,309522
"U(1, 0, 3, 2)",215039,257510,266715,275358,283487,291141,298356,305165,311594,317670,323414,328846,333985,338848
"U(1, 1, 0, 0)",215039,257510,258086,258462,258642,258635,258448,258090,257568,256892,256071,255113,254028,252824
"U(1, 1, 0, 1)",215039,257510,272655,287336,301485,315078,328092,340514,352338,363564,374196,384245,393724,402642
"U(1, 1, 0, 2)",215039,257510,251531,245723,240079,234595,229265,224084,219047,214150,209388,204756,200251,195869
"U(1, 1, 1, 0)",215039,257510,263836,269947,275836,281497,286925,292120,297080,301804,306293,310550,314576,318374
"U(1, 1, 1, 1)",215039,257510,273345,289106,304760,320274,335620,350775,365720,380438,394917,409144,423111,436812
"U(1, 1, 1, 2)",215039,257510,259301,260938,262425,263769,264973,266044,266987,267807,268507,269094,269571,269942
"U(1, 1, 2, 0)",215039,257510,262640,267645,272520,277258,281857,286313,290625,294792,298813,302689,306421,310009
