,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),71,169,265,359,451,541,630,716,801,884,965,1045,1123
S(1),71,68,66,64,63,62,61,60,60,60,60,60,60
S(2),1466,1449,1432,1416,1399,1383,1367,1352,1336,1321,1306,1291,1277
"I(0, 1, 0)",8303,8131,7964,7803,7646,7494,7347,7204,7065,6931,6800,6674,6551
"I(0, 1, 1)",8303,7965,7645,7342,7055,6782,6523,6276,6041,5817,5603,5399,5203
"I(0, 1, 2)",8303,8196,8089,7984,7880,7778,7677,7578,7480,7383,7288,7194,7101
"I(1, 0, 0)",8262,8153,8081,8043,8040,8070,8130,8221,8341,8488,8663,8862,9087
"I(1, 0, 1)",8262,7927,7610,7311,7028,6760,6505,6263,6033,5814,5606,5408,5219
"I(1, 0, 2)",8262,8214,8166,8118,8070,8022,7975,7927,7880,7833,7785,7738,7692
"I(1, 1, 0)",8352,8224,8098,7975,7854,7736,7619,7505,7392,7282,7174,7067,6963
"I(1, 1, 1)",8352,8013,7693,7390,7103,6831,6572,6325,6091,5867,5653,5449,5253
"I(1, 1, 2)",8352,8317,8283,8248,8213,8177,8142,8106,8070,8035,7999,7963,7926
"U(0, 1, 0, 0)",71,72,73,75,78,81,84,88,93,98,103,109,115
"U(0, 1, 0, 1)",256,262,267,270,273,275,277,278,279,279,279,279,279
"U(0, 1, 0, 2)",2508,2509,2507,2504,2498,2491,2483,2473,2462,2450,2436,2422,2407
"U(0, 1, 1, 0)",71,72,74,75,76,77,78,79,80,81,82,83,84
"U(0, 1, 1, 1)",256,254,252,251,249,247,246,244,242,241,239,238,236
"U(0, 1, 1, 2)",2508,2505,2502,2499,2496,2493,2490,2486,2483,2479,2475,2470,2466
"U(0, 1, 2, 0)",71,72,73,74,75,75,76,77,77,78,78,78,79
"U(0, 1, 2, 1)",256,260,263,265,267,268,269,269,269,269,268,268,267
"U(0, 1, 2, 2)",2508,2588,2660,2724,2780,2831,2876,2915,2950,2981,3008,3031,3051
"U(0, 1, 3, 0)",71,73,75,77,79,81,83,84,86,87,89,90,91
"U(0, 1, 3, 1)",256,263,269,275,280,284,288,292,295,298,300,302,304
"U(0, 1, 3, 2)",2508,2640,2765,2882,2993,3099,3199,3294,3384,3471,3553,3632,3708
"U(0, 2, 0, 0)",71,69,67,65,63,62,60,59,57,56,54,53,52
"U(0, 2, 0, 1)",71,68,65,62,59,57,55,53,51,49,47,45,44
"U(0, 2, 0, 2)",1466,1434,1403,1374,1346,1319,1293,1268,1244,1221,1198,1177,1156
"U(0, 2, 1, 0)",71,69,66,64,62,60,59,57,55,53,52,50,49
"U(0, 2, 1, 1)",71,69,67,65,63,61,59,58,56,54,53,51,50
"U(0, 2, 1, 2)",1466,1448,1430,1412,1394,1376,1359,1342,1324,1308,1291,1274,1258
"U(0, 2, 2, 0)",71,69,67,65,63,61,59,57,56,54,53,51,50
"U(0, 2, 2, 1)",71,68,64,61,59,56,54,51,49,47,45,43,42
"U(0, 2, 2, 2)",1466,1403,1345,1290,1239,1191,1145,1103,1062,1024,988,954,922
"U(0, 2, 3, 0)",71,68,66,64,61,59,57,55,54,52,50,49,47
"U(0, 2, 3, 1)",71,67,64,61,58,55,53,50,48,46,44,42,40
"U(0, 2, 3, 2)",1466,1392,1322,1258,1197,1141,1088,1038,991,946,905,865,828
"U(1, 0, 0, 0)",71,71,71,71,72,72,73,74,75,77,78,80,81
"U(1, 0, 0, 1)",256,259,260,261,261,261,261,260,258,257,255,254,252
"U(1, 0, 0, 2)",2508,2505,2500,2493,2485,2476,2465,2453,2440,2427,2412,2397,2381
"U(1, 0, 1, 0)",71,72,73,73,74,75,75,76,76,76,77,77,77
"U(1, 0, 1, 1)",256,253,250,247,244,241,238,235,232,229,227,224,221
"U(1, 0, 1, 2)",2508,2500,2492,2484,2476,2468,2459,2451,2443,2435,2426,2417,2409
"U(1, 0, 2, 0)",71,72,72,73,73,73,74,74,74,74,74,74,74
"U(1, 0, 2, 1)",256,258,259,260,260,260,260,259,258,256,255,253,251
"U(1, 0, 2, 2)",2508,2587,2658,2722,2780,2833,2880,2922,2960,2993,3023,3049,3072
"U(1, 0, 3, 0)",71,73,74,75,77,78,79,80,81,82,83,84,85
"U(1, 0, 3, 1)",256,261,265,269,272,275,278,280,281,283,284,285,285
"U(1, 0, 3, 2)",2508,2633,2752,2864,2972,3075,3174,3268,3359,3446,3529,3610,3687
"U(1, 1, 0, 0)",71,73,75,77,79,80,82,83,84,86,87,88,89
"U(1, 1, 0, 1)",256,280,303,326,348,368,388,407,424,441,457,471,485
"U(1, 1, 0, 2)",2508,2554,2596,2635,2670,2701,2729,2754,2776,2795,2810,2824,2834
"U(1, 1, 1, 0)",71,75,78,82,85,89,92,95,99,102,105,107,110
"U(1, 1, 1, 1)",256,272,289,305,322,338,354,370,386,402,418,433,448
"U(1, 1, 1, 2)",2508,2519,2530,2542,2554,2567,2581,2595,2609,2623,2637,2652,2666
"U(1, 1, 2, 0)",71,74,78,81,84,87,90,93,96,99,101,104,107
"U(1, 1, 2, 1)",256,286,315,344,373,401,428,455,481,506,531,554,578
"U(1, 1, 2, 2)",2508,2690,2865,3033,3194,3347,3493,3633,3766,3892,4012,4127,4235
"U(1, 1, 3, 0)",71,76,81,86,91,96,101,105,110,115,120,125,130
"U(1, 1, 3, 1)",256,293,330,368,406,444,483,521,560,598,637,675,714
"U(1, 1, 3, 2)",2508,2765,3020,3273,3522,3769,4012,4252,4489,4723,4953,5180,5404
"U(1, 2, 0, 0)",71,70,68,67,65,64,62,61,59,58,56,55,54
"U(1, 2, 0, 1)",256,253,249,245,241,237,233,229,225,221,216,212,209
"U(1, 2, 0, 2)",2508,2443,2378,2315,2253,2193,2134,2077,2022,1968,1916,1865,1816
"U(1, 2, 1, 0)",71,71,70,70,69,69,68,67,67,66,65,64,64
"U(1, 2, 1, 1)",256,259,261,263,265,267,268,269,270,270,271,271,271
"U(1, 2, 1, 2)",2508,2469,2431,2393,2355,2318,2281,2245,2209,2173,2138,2103,2069
"U(1, 2, 2, 0)",71,70,70,69,69,68,67,66,66,65,64,63,63
"U(1, 2, 2, 1)",256,257,257,257,256,256,255,253,252,251,249,248,246
"U(1, 2, 2, 2)",2508,2475,2440,2403,2365,2326,2288,2249,2210,2172,2135,2097,2061
"U(1, 2, 3, 0)",71,71,71,71,71,71,71,70,70,70,70,69,69
"U(1, 2, 3, 1)",256,258,258,259,259,258,258,257,256,255,254,252,251
"U(1, 2, 3, 2)",2508,2466,2422,2376,2329,2282,2235,2187,2140,2094,2048,2003,1959
"U(2, 0, 0, 0)",71,69,67,65,63,61,60,58,56,55,53,52,51
"U(2, 0, 0, 1)",71,68,65,62,60,57,55,53,51,49,47,46,44
"U(2, 0, 0, 2)",1466,1438,1410,1384,1359,1334,1311,1288,1267,1246,1225,1205,1186
"U(2, 0, 1, 0)",71,69,66,64,62,60,58,57,55,53,52,50,49
"U(2, 0, 1, 1)",71,69,66,64,62,60,58,56,55,53,51,50,48
"U(2, 0, 1, 2)",1466,1452,1438,1424,1410,1396,1382,1369,1355,1341,1328,1315,1302
"U(2, 0, 2, 0)",71,69,67,65,63,61,59,57,55,54,52,51,49
"U(2, 0, 2, 1)",71,68,64,61,58,56,53,51,49,47,45,43,41
"U(2, 0, 2, 2)",1466,1404,1345,1289,1237,1187,1140,1095,1053,1012,973,936,901
"U(2, 0, 3, 0)",71,68,66,64,62,59,57,56,54,52,50,49,47
"U(2, 0, 3, 1)",71,67,64,61,58,55,52,50,48,45,43,41,40
"U(2, 0, 3, 2)",1466,1397,1332,1271,1214,1160,1108,1060,1014,971,929,890,853
"U(2, 1, 0, 0)",71,70,69,68,67,65,64,63,62,61,59,58,57
"U(2, 1, 0, 1)",256,256,255,254,252,250,248,245,243,240,237,234,231
"U(2, 1, 0, 2)",2508,2466,2423,2379,2336,2293,2249,2207,2164,2123,2082,2041,2002
"U(2, 1, 1, 0)",71,71,71,71,71,71,70,70,70,69,69,68,68
"U(2, 1, 1, 1)",256,261,266,270,273,277,280,282,284,286,288,290,291
"U(2, 1, 1, 2)",2508,2508,2507,2505,2503,2500,2496,2492,2487,2482,2476,2469,2463
"U(2, 1, 2, 0)",71,71,71,71,70,70,69,69,68,68,67,67,66
"U(2, 1, 2, 1)",256,259,261,263,264,264,264,264,263,262,261,260,259
"U(2, 1, 2, 2)",2508,2493,2474,2451,2426,2398,2368,2338,2306,2274,2241,2208,2175
"U(2, 1, 3, 0)",71,72,73,73,74,74,74,74,75,75,75,75,75
"U(2, 1, 3, 1)",256,260,263,265,267,268,269,269,269,268,268,267,266
"U(2, 1, 3, 2)",2508,2497,2480,2460,2436,2409,2380,2350,2318,2285,2251,2217,2182
"U(2, 2, 0, 0)",71,68,65,63,60,58,56,54,51,50,48,46,44
"U(2, 2, 0, 1)",71,67,64,61,58,55,53,51,48,46,44,43,41
"U(2, 2, 0, 2)",1466,1410,1357,1307,1259,1215,1173,1132,1094,1058,1023,990,958
"U(2, 2, 1, 0)",71,68,65,62,60,57,55,53,51,49,47,45,43
"U(2, 2, 1, 1)",71,69,68,66,65,63,62,61,59,58,57,56,55
"U(2, 2, 1, 2)",1466,1437,1409,1382,1355,1328,1302,1277,1252,1227,1203,1180,1157
"U(2, 2, 2, 0)",71,68,65,62,60,58,55,53,51,49,47,46,44
"U(2, 2, 2, 1)",71,67,63,60,57,54,51,49,46,44,42,40,38
"U(2, 2, 2, 2)",1466,1377,1296,1220,1151,1086,1026,971,919,870,824,781,741
"U(2, 2, 3, 0)",71,68,65,62,59,57,54,52,50,48,46,44,42
"U(2, 2, 3, 1)",71,67,63,60,56,53,50,48,45,43,41,39,37
"U(2, 2, 3, 2)",1466,1371,1284,1204,1130,1062,998,940,885,834,786,741,700
"Z(0, 1, 0, 1, 0, 0)",8303,8311,8307,8293,8270,8239,8201,8157,8106,8051,7991,7927,7859
"Z(0, 1, 0, 1, 0, 1)",8303,8448,8555,8630,8678,8702,8706,8693,8664,8622,8568,8505,8433
"Z(0, 1, 0, 1, 0, 2)",8303,8279,8247,8209,8165,8117,8065,8008,7949,7886,7821,7753,7683
"Z(0, 1, 0, 1, 1, 0)",8303,8416,8516,8605,8683,8751,8810,8861,8903,8938,8965,8986,9000
"Z(0, 1, 0, 1, 1, 1)",8303,8211,8120,8032,7945,7860,7777,7694,7613,7533,7453,7374,7296
"Z(0, 1, 0, 1, 1, 2)",8303,8268,8233,8198,8164,8129,8093,8058,8022,7986,7949,7912,7875
"Z(0, 1, 0, 1, 2, 0)",8303,8379,8446,8504,8554,8597,8633,8663,8687,8706,8719,8728,8733
"Z(0, 1, 0, 1, 2, 1)",8303,8385,8443,8479,8498,8502,8492,8471,8440,8400,8352,8298,8239
"Z(0, 1, 0, 1, 2, 2)",8303,8531,8730,8906,9060,9194,9310,9410,9496,9568,9628,9677,9715
"Z(0, 1, 0, 1, 3, 0)",8303,8507,8698,8877,9046,9204,9353,9493,9624,9748,9863,9972,10075
"Z(0, 1, 0, 1, 3, 1)",8303,8483,8638,8772,8887,8986,9071,9142,9202,9251,9291,9321,9344
"Z(0, 1, 0, 1, 3, 2)",8303,8696,9063,9408,9731,10035,10321,10592,10847,11088,11316,11532,11737
"Z(0, 1, 1, 0, 0, 0)",8262,8309,8346,8373,8393,8406,8413,8416,8414,8410,8403,8394,8385
"Z(0, 1, 1, 0, 0, 1)",8262,8408,8517,8595,8646,8674,8681,8671,8645,8607,8557,8497,8429
"Z(0, 1, 1, 0, 0, 2)",8262,8277,8284,8286,8281,8271,8257,8238,8215,8188,8158,8126,8090
"Z(0, 1, 1, 0, 1, 0)",8262,8416,8560,8693,8816,8930,9035,9132,9221,9303,9379,9448,9511
"Z(0, 1, 1, 0, 1, 1)",8262,8172,8085,8000,7917,7836,7756,7677,7599,7522,7446,7371,7296
"Z(0, 1, 1, 0, 1, 2)",8262,8270,8279,8287,8295,8302,8309,8316,8321,8326,8331,8334,8337
"Z(0, 1, 1, 0, 2, 0)",8262,8380,8489,8590,8684,8771,8851,8926,8994,9058,9116,9170,9219
"Z(0, 1, 1, 0, 2, 1)",8262,8346,8406,8446,8468,8475,8468,8450,8423,8386,8343,8293,8237
"Z(0, 1, 1, 0, 2, 2)",8262,8530,8773,8993,9191,9371,9534,9682,9815,9935,10042,10139,10226
"Z(0, 1, 1, 0, 3, 0)",8262,8516,8760,8993,9218,9434,9642,9842,10036,10222,10402,10576,10744
"Z(0, 1, 1, 0, 3, 1)",8262,8444,8602,8740,8859,8962,9050,9126,9191,9245,9289,9325,9353
"Z(0, 1, 1, 0, 3, 2)",8262,8707,9130,9533,9919,10288,10642,10982,11309,11625,11929,12223,12507
"Z(0, 1, 1, 1, 0, 0)",8352,8419,8475,8520,8556,8582,8601,8612,8616,8614,8606,8592,8573
"Z(0, 1, 1, 1, 0, 1)",8352,8500,8612,8691,8743,8771,8779,8770,8745,8706,8657,8597,8528
"Z(0, 1, 1, 1, 0, 2)",8352,8387,8414,8435,8449,8458,8461,8460,8454,8444,8431,8414,8394
"Z(0, 1, 1, 1, 1, 0)",8352,8529,8695,8851,8996,9133,9260,9379,9491,9594,9690,9780,9862
"Z(0, 1, 1, 1, 1, 1)",8352,8262,8175,8090,8007,7925,7845,7766,7689,7612,7536,7461,7386
"Z(0, 1, 1, 1, 1, 2)",8352,8382,8412,8442,8470,8499,8526,8553,8578,8603,8627,8650,8671
"Z(0, 1, 1, 1, 2, 0)",8352,8491,8622,8745,8861,8970,9072,9168,9259,9343,9423,9498,9568
"Z(0, 1, 1, 1, 2, 1)",8352,8438,8499,8540,8563,8571,8565,8548,8521,8486,8442,8393,8337
"Z(0, 1, 1, 1, 2, 2)",8352,8644,8911,9155,9378,9583,9770,9942,10100,10244,10376,10497,10607
"Z(0, 1, 1, 1, 3, 0)",8352,8634,8905,9168,9422,9668,9906,10137,10361,10578,10790,10995,11195
"Z(0, 1, 1, 1, 3, 1)",8352,8537,8698,8838,8959,9065,9156,9234,9300,9356,9403,9441,9471
"Z(0, 1, 1, 1, 3, 2)",8352,8828,9284,9721,10141,10546,10936,11314,11680,12034,12378,12712,13037
"Z(0, 2, 0, 1, 0, 0)",8303,8043,7794,7556,7329,7110,6901,6700,6507,6321,6142,5969,5803
"Z(0, 2, 0, 1, 0, 1)",8303,7910,7545,7207,6891,6595,6318,6058,5812,5581,5362,5155,4959
"Z(0, 2, 0, 1, 0, 2)",8303,8100,7906,7721,7543,7372,7208,7051,6899,6753,6612,6476,6344
"Z(0, 2, 0, 1, 1, 0)",8303,8046,7800,7565,7341,7125,6919,6721,6531,6348,6172,6002,5839
"Z(0, 2, 0, 1, 1, 1)",8303,8060,7827,7603,7389,7183,6985,6795,6611,6435,6264,6099,5941
"Z(0, 2, 0, 1, 1, 2)",8303,8225,8146,8068,7990,7912,7835,7758,7682,7606,7531,7456,7382
"Z(0, 2, 0, 1, 2, 0)",8303,8053,7814,7584,7365,7154,6951,6756,6569,6388,6215,6047,5885
"Z(0, 2, 0, 1, 2, 1)",8303,7904,7532,7186,6863,6559,6274,6006,5753,5514,5288,5073,4870
"Z(0, 2, 0, 1, 2, 2)",8303,7953,7626,7320,7032,6762,6507,6266,6038,5822,5617,5423,5238
"Z(0, 2, 0, 1, 3, 0)",8303,8015,7741,7480,7232,6996,6770,6554,6348,6151,5963,5783,5610
"Z(0, 2, 0, 1, 3, 1)",8303,7884,7494,7131,6792,6475,6177,5897,5634,5385,5151,4929,4720
"Z(0, 2, 0, 1, 3, 2)",8303,7892,7509,7151,6816,6501,6205,5927,5664,5416,5181,4959,4749
"Z(0, 2, 1, 0, 0, 0)",8262,8036,7819,7612,7413,7223,7039,6862,6692,6528,6370,6217,6069
"Z(0, 2, 1, 0, 0, 1)",8262,7872,7511,7175,6862,6569,6295,6037,5794,5565,5349,5144,4949
"Z(0, 2, 1, 0, 0, 2)",8262,8095,7935,7783,7637,7497,7363,7234,7109,6989,6874,6762,6654
"Z(0, 2, 1, 0, 1, 0)",8262,8037,7823,7617,7420,7231,7049,6875,6706,6544,6388,6237,6092
"Z(0, 2, 1, 0, 1, 1)",8262,8022,7792,7573,7362,7159,6964,6777,6596,6422,6254,6092,5936
"Z(0, 2, 1, 0, 1, 2)",8262,8231,8199,8166,8133,8100,8065,8031,7996,7961,7925,7889,7853
"Z(0, 2, 1, 0, 2, 0)",8262,8045,7838,7639,7447,7263,7086,6915,6751,6592,6438,6290,6147
"Z(0, 2, 1, 0, 2, 1)",8262,7866,7498,7155,6834,6533,6251,5985,5735,5498,5274,5062,4860
"Z(0, 2, 1, 0, 2, 2)",8262,7935,7631,7345,7077,6824,6586,6360,6147,5944,5752,5570,5396
"Z(0, 2, 1, 0, 3, 0)",8262,8006,7762,7530,7308,7096,6894,6701,6515,6338,6168,6005,5848
"Z(0, 2, 1, 0, 3, 1)",8262,7846,7459,7100,6764,6449,6154,5877,5616,5370,5137,4918,4710
"Z(0, 2, 1, 0, 3, 2)",8262,7873,7510,7171,6852,6553,6271,6005,5754,5517,5292,5079,4877
"Z(0, 2, 1, 1, 0, 0)",8352,8140,7937,7741,7554,7374,7200,7032,6871,6714,6563,6417,6276
"Z(0, 2, 1, 1, 0, 1)",8352,7958,7594,7256,6940,6645,6368,6108,5863,5632,5413,5207,5010
"Z(0, 2, 1, 1, 0, 2)",8352,8200,8056,7917,7785,7658,7536,7418,7305,7196,7091,6989,6890
"Z(0, 2, 1, 1, 1, 0)",8352,8141,7939,7745,7559,7380,7208,7043,6883,6729,6580,6437,6298
"Z(0, 2, 1, 1, 1, 1)",8352,8111,7881,7660,7448,7244,7048,6860,6679,6504,6335,6172,6015
"Z(0, 2, 1, 1, 1, 2)",8352,8344,8335,8325,8314,8303,8290,8277,8262,8247,8232,8216,8199
"Z(0, 2, 1, 1, 2, 0)",8352,8149,7955,7768,7588,7415,7248,7087,6931,6780,6635,6494,6358
"Z(0, 2, 1, 1, 2, 1)",8352,7952,7581,7235,6911,6608,6324,6055,5803,5564,5338,5124,4921
"Z(0, 2, 1, 1, 2, 2)",8352,8033,7735,7456,7193,6946,6713,6492,6282,6084,5895,5716,5545
"Z(0, 2, 1, 1, 3, 0)",8352,8108,7877,7655,7444,7242,7049,6864,6686,6516,6353,6196,6045
"Z(0, 2, 1, 1, 3, 1)",8352,7932,7542,7179,6840,6523,6225,5946,5682,5434,5200,4978,4769
"Z(0, 2, 1, 1, 3, 2)",8352,7969,7612,7277,6963,6667,6389,6126,5877,5642,5419,5207,5006
"Z(1, 0, 0, 1, 0, 0)",8303,8232,8155,8071,7982,7889,7793,7693,7590,7486,7380,7272,7164
"Z(1, 0, 0, 1, 0, 1)",8303,8346,8360,8352,8324,8279,8220,8149,8069,7980,7884,7782,7676
"Z(1, 0, 0, 1, 0, 2)",8303,8266,8223,8175,8124,8068,8009,7947,7882,7815,7746,7675,7603
"Z(1, 0, 0, 1, 1, 0)",8303,8365,8416,8456,8486,8507,8521,8526,8525,8517,8502,8483,8457
"Z(1, 0, 0, 1, 1, 1)",8303,8168,8036,7907,7782,7659,7539,7422,7307,7194,7084,6975,6868
"Z(1, 0, 0, 1, 1, 2)",8303,8251,8200,8149,8098,8048,7998,7948,7898,7848,7798,7748,7698
"Z(1, 0, 0, 1, 2, 0)",8303,8332,8353,8367,8374,8375,8370,8360,8345,8327,8304,8277,8247
"Z(1, 0, 0, 1, 2, 1)",8303,8328,8333,8322,8296,8258,8209,8152,8088,8017,7941,7860,7775
"Z(1, 0, 0, 1, 2, 2)",8303,8526,8725,8902,9060,9199,9322,9429,9523,9604,9672,9730,9778
"Z(1, 0, 0, 1, 3, 0)",8303,8440,8566,8683,8790,8888,8978,9061,9137,9206,9269,9326,9377
"Z(1, 0, 0, 1, 3, 1)",8303,8421,8517,8596,8660,8710,8747,8774,8792,8800,8801,8795,8783
"Z(1, 0, 0, 1, 3, 2)",8303,8673,9021,9351,9663,9959,10241,10508,10763,11006,11237,11457,11668
"Z(1, 0, 1, 0, 0, 0)",8262,8229,8188,8142,8090,8033,7973,7910,7844,7776,7706,7635,7564
"Z(1, 0, 1, 0, 0, 1)",8262,8306,8323,8316,8290,8248,8191,8123,8045,7959,7866,7767,7664
"Z(1, 0, 1, 0, 0, 2)",8262,8264,8261,8252,8239,8221,8199,8174,8146,8115,8081,8044,8006
"Z(1, 0, 1, 0, 1, 0)",8262,8364,8455,8536,8607,8670,8725,8772,8812,8845,8872,8892,8908
"Z(1, 0, 1, 0, 1, 1)",8262,8129,8000,7874,7751,7631,7514,7400,7288,7178,7070,6964,6860
"Z(1, 0, 1, 0, 1, 2)",8262,8252,8243,8234,8224,8215,8205,8195,8184,8174,8162,8150,8138
"Z(1, 0, 1, 0, 2, 0)",8262,8330,8391,8445,8492,8533,8569,8599,8624,8645,8661,8673,8682
"Z(1, 0, 1, 0, 2, 1)",8262,8289,8296,8287,8263,8228,8182,8128,8066,7998,7924,7846,7764
"Z(1, 0, 1, 0, 2, 2)",8262,8528,8772,8995,9200,9388,9560,9717,9860,9991,10111,10219,10318
"Z(1, 0, 1, 0, 3, 0)",8262,8447,8622,8789,8948,9098,9242,9379,9509,9633,9751,9864,9971
"Z(1, 0, 1, 0, 3, 1)",8262,8381,8480,8562,8628,8681,8721,8752,8773,8785,8789,8787,8779
"Z(1, 0, 1, 0, 3, 2)",8262,8684,9089,9478,9853,10214,10564,10902,11229,11547,11855,12155,12446
"Z(1, 0, 1, 1, 0, 0)",8352,8337,8314,8284,8247,8205,8157,8105,8048,7988,7925,7858,7790
"Z(1, 0, 1, 1, 0, 1)",8352,8397,8414,8408,8383,8340,8284,8215,8137,8051,7957,7857,7753
"Z(1, 0, 1, 1, 0, 2)",8352,8374,8390,8401,8406,8406,8402,8395,8383,8368,8350,8330,8306
"Z(1, 0, 1, 1, 1, 0)",8352,8475,8587,8688,8780,8864,8938,9005,9064,9116,9161,9200,9233
"Z(1, 0, 1, 1, 1, 1)",8352,8218,8088,7962,7838,7718,7600,7485,7372,7262,7154,7047,6943
"Z(1, 0, 1, 1, 1, 2)",8352,8364,8375,8386,8397,8407,8417,8426,8434,8442,8449,8455,8461
"Z(1, 0, 1, 1, 2, 0)",8352,8441,8522,8595,8662,8723,8778,8827,8871,8910,8945,8975,9001
