,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),196,466,730,989,1243,1492,1736,1975,2210,2439,2665,2885,3101
S(1),196,189,184,179,175,172,170,169,168,168,168,170,171
S(2),2807,2774,2741,2708,2676,2644,2613,2582,2552,2522,2493,2464,2435
"I(0, 1, 0)",14572,14345,14160,14014,13907,13836,13800,13798,13829,13891,13984,14105,14254
"I(0, 1, 1)",14572,14011,13480,12977,12498,12043,11610,11197,10803,10428,10069,9726,9398
"I(0, 1, 2)",14572,14408,14245,14085,13926,13770,13615,13462,13311,13161,13013,12867,12723
"I(1, 0, 0)",14498,14282,14110,13983,13896,13850,13843,13873,13939,14040,14174,14339,14535
"I(1, 0, 1)",14498,13951,13433,12941,12474,12029,11606,11202,10817,10450,10099,9764,9444
"I(1, 0, 2)",14498,14393,14289,14185,14082,13979,13876,13775,13673,13572,13472,13373,13274
"I(1, 1, 0)",14657,14465,14276,14090,13908,13730,13554,13383,13215,13050,12889,12732,12578
"I(1, 1, 1)",14657,14103,13579,13082,12609,12158,11729,11319,10928,10554,10195,9852,9523
"I(1, 1, 2)",14657,14605,14554,14501,14449,14396,14343,14289,14235,14181,14127,14072,14018
"U(0, 1, 0, 0)",196,199,202,208,214,222,231,242,253,265,279,293,308
"U(0, 1, 0, 1)",370,379,387,393,398,402,405,408,410,411,412,413,413
"U(0, 1, 0, 2)",4268,4293,4312,4327,4337,4343,4345,4344,4340,4333,4323,4311,4296
"U(0, 1, 1, 0)",196,200,204,208,211,215,218,221,224,227,230,233,236
"U(0, 1, 1, 1)",370,369,367,366,365,364,362,361,360,359,357,356,355
"U(0, 1, 1, 2)",4268,4346,4418,4485,4547,4605,4658,4708,4753,4795,4833,4868,4900
"U(0, 1, 2, 0)",196,199,202,205,208,210,212,214,216,217,219,220,221
"U(0, 1, 2, 1)",370,374,377,379,380,382,382,382,382,382,381,380,379
"U(0, 1, 2, 2)",4268,4445,4604,4747,4877,4993,5099,5194,5279,5356,5426,5488,5544
"U(0, 1, 3, 0)",196,203,209,215,220,225,230,235,240,244,248,252,256
"U(0, 1, 3, 1)",370,383,395,406,416,425,433,440,446,452,458,463,467
"U(0, 1, 3, 2)",4268,4506,4729,4939,5138,5326,5505,5676,5838,5994,6142,6285,6421
"U(0, 2, 0, 0)",196,190,184,179,174,169,164,160,156,151,148,144,140
"U(0, 2, 0, 1)",196,188,180,172,165,159,153,147,141,136,131,127,122
"U(0, 2, 0, 2)",2807,2738,2672,2609,2548,2490,2435,2381,2329,2279,2231,2185,2140
"U(0, 2, 1, 0)",196,189,183,177,171,166,161,156,151,146,142,138,134
"U(0, 2, 1, 1)",196,191,185,180,175,170,166,161,157,153,149,145,142
"U(0, 2, 1, 2)",2807,2733,2662,2594,2528,2466,2406,2348,2292,2239,2187,2138,2090
"U(0, 2, 2, 0)",196,190,184,178,172,167,162,157,153,148,144,140,136
"U(0, 2, 2, 1)",196,188,180,173,167,160,154,149,143,138,133,129,124
"U(0, 2, 2, 2)",2807,2667,2538,2417,2305,2201,2103,2011,1924,1843,1767,1694,1626
"U(0, 2, 3, 0)",196,189,182,175,169,163,157,152,147,142,137,133,129
"U(0, 2, 3, 1)",196,186,176,167,158,151,143,136,130,124,118,113,108
"U(0, 2, 3, 2)",2807,2666,2536,2416,2305,2202,2106,2016,1933,1855,1782,1713,1649
"U(1, 0, 0, 0)",196,196,197,197,199,200,203,205,208,211,215,219,223
"U(1, 0, 0, 1)",370,373,375,376,377,376,375,374,372,370,368,365,363
"U(1, 0, 0, 2)",4268,4258,4244,4227,4207,4183,4158,4130,4101,4070,4037,4003,3968
"U(1, 0, 1, 0)",196,199,202,204,206,208,210,211,213,214,215,216,217
"U(1, 0, 1, 1)",370,366,362,358,355,351,347,344,340,337,333,330,327
"U(1, 0, 1, 2)",4268,4328,4382,4432,4477,4517,4553,4585,4613,4638,4659,4678,4693
"U(1, 0, 2, 0)",196,198,200,202,203,204,206,206,207,208,208,209,209
"U(1, 0, 2, 1)",370,370,370,370,369,367,365,363,361,358,356,353,350
"U(1, 0, 2, 2)",4268,4418,4552,4672,4781,4878,4965,5043,5113,5175,5230,5279,5321
"U(1, 0, 3, 0)",196,201,205,210,214,217,221,224,228,231,233,236,239
"U(1, 0, 3, 1)",370,379,387,394,400,406,410,414,418,421,423,425,427
"U(1, 0, 3, 2)",4268,4482,4684,4874,5054,5224,5386,5540,5686,5825,5958,6086,6207
"U(1, 1, 0, 0)",196,202,208,214,219,224,228,233,237,240,243,246,249
"U(1, 1, 0, 1)",370,403,436,468,498,527,554,581,606,629,652,673,692
"U(1, 1, 0, 2)",4268,4370,4464,4550,4629,4700,4764,4821,4871,4915,4953,4986,5013
"U(1, 1, 1, 0)",196,207,218,228,238,248,258,267,276,284,293,301,309
"U(1, 1, 1, 1)",370,394,417,441,465,489,513,536,560,583,606,628,651
"U(1, 1, 1, 2)",4268,4437,4602,4764,4920,5073,5221,5364,5502,5635,5764,5887,6006
"U(1, 1, 2, 0)",196,206,215,225,234,243,252,260,268,276,284,292,299
