,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),174,414,650,880,1106,1327,1544,1756,1963,2167,2366,2561,2752
S(1),174,170,166,164,162,161,160,160,160,161,163,165,167
S(2),2003,1972,1942,1913,1883,1855,1826,1799,1772,1745,1719,1693,1668
"I(0, 1, 0)",8055,7969,7938,7960,8034,8156,8326,8541,8799,9098,9438,9816,10230
"I(0, 1, 1)",8055,7830,7615,7408,7208,7017,6832,6655,6485,6321,6164,6013,5868
"I(0, 1, 2)",8055,7984,7913,7842,7773,7703,7634,7566,7498,7431,7364,7298,7232
"I(1, 0, 0)",8014,7991,8056,8204,8434,8742,9125,9580,10105,10697,11352,12070,12846
"I(1, 0, 1)",8014,7792,7579,7375,7179,6990,6810,6637,6471,6313,6162,6017,5880
"I(1, 0, 2)",8014,7957,7900,7844,7787,7730,7674,7618,7562,7506,7451,7395,7340
"I(1, 1, 0)",8102,8109,8115,8122,8131,8142,8156,8174,8196,8223,8255,8293,8338
"I(1, 1, 1)",8102,7878,7664,7457,7259,7068,6884,6706,6535,6370,6211,6058,5909
"I(1, 1, 2)",8102,8123,8143,8162,8180,8198,8215,8231,8246,8261,8275,8288,8300
"U(0, 1, 0, 0)",174,170,167,163,161,158,156,155,153,152,151,150,149
"U(0, 1, 0, 1)",384,382,380,377,374,371,368,365,362,358,355,351,348
"U(0, 1, 0, 2)",2939,2857,2777,2700,2626,2554,2484,2416,2350,2287,2225,2165,2107
"U(0, 1, 1, 0)",174,173,172,172,171,170,169,168,167,166,165,164,163
"U(0, 1, 1, 1)",384,382,379,376,373,370,367,365,362,359,356,353,350
"U(0, 1, 1, 2)",2939,2912,2884,2856,2827,2798,2768,2738,2708,2677,2646,2615,2583
"U(0, 1, 2, 0)",174,172,171,170,169,167,166,165,163,162,160,159,158
"U(0, 1, 2, 1)",384,384,383,382,380,379,377,375,373,371,369,366,364
"U(0, 1, 2, 2)",2939,2930,2921,2911,2899,2887,2874,2860,2845,2830,2814,2797,2779
"U(0, 1, 3, 0)",174,175,176,177,178,178,179,180,180,181,181,181,181
"U(0, 1, 3, 1)",384,389,394,398,402,405,409,412,414,417,419,421,423
"U(0, 1, 3, 2)",2939,2987,3033,3076,3117,3155,3191,3225,3256,3286,3313,3339,3362
"U(0, 2, 0, 0)",174,170,166,163,160,156,153,150,147,144,141,138,136
"U(0, 2, 0, 1)",174,169,165,161,157,154,150,147,143,140,137,134,131
"U(0, 2, 0, 2)",2003,1983,1963,1943,1923,1903,1883,1864,1845,1826,1807,1788,1769
"U(0, 2, 1, 0)",174,169,165,161,157,153,149,145,142,138,135,131,128
"U(0, 2, 1, 1)",174,169,165,162,158,154,151,147,144,141,138,135,132
"U(0, 2, 1, 2)",2003,1968,1933,1899,1866,1833,1801,1769,1738,1707,1677,1648,1619
"U(0, 2, 2, 0)",174,169,165,161,157,154,150,147,143,140,136,133,130
"U(0, 2, 2, 1)",174,169,164,159,155,151,147,143,139,136,132,129,126
"U(0, 2, 2, 2)",2003,1956,1909,1864,1820,1777,1736,1695,1656,1617,1580,1543,1508
"U(0, 2, 3, 0)",174,169,164,159,154,150,146,141,137,134,130,126,123
"U(0, 2, 3, 1)",174,168,162,157,152,147,143,138,134,130,126,122,119
"U(0, 2, 3, 2)",2003,1941,1881,1824,1768,1715,1663,1613,1565,1519,1474,1431,1389
"U(1, 0, 0, 0)",174,170,167,165,163,161,160,159,159,158,158,159,159
"U(1, 0, 0, 1)",384,386,388,389,389,389,389,389,388,387,387,386,385
"U(1, 0, 0, 2)",2939,2841,2747,2657,2569,2485,2404,2326,2251,2178,2108,2041,1976
"U(1, 0, 1, 0)",174,173,173,172,172,171,170,169,168,168,167,166,165
"U(1, 0, 1, 1)",384,384,383,382,381,380,379,378,377,376,374,373,372
"U(1, 0, 1, 2)",2939,2903,2867,2830,2793,2756,2719,2681,2643,2605,2567,2529,2490
"U(1, 0, 2, 0)",174,173,171,170,169,168,167,166,165,163,162,161,160
"U(1, 0, 2, 1)",384,387,388,390,391,392,392,393,393,393,393,393,392
"U(1, 0, 2, 2)",2939,2931,2921,2910,2898,2885,2871,2856,2839,2822,2804,2786,2766
"U(1, 0, 3, 0)",174,175,176,177,178,179,180,180,181,181,182,182,183
"U(1, 0, 3, 1)",384,393,401,408,415,422,428,434,440,446,451,456,461
"U(1, 0, 3, 2)",2939,2989,3036,3080,3122,3160,3196,3229,3260,3288,3315,3339,3362
"U(1, 1, 0, 0)",174,172,170,168,165,163,161,159,157,155,153,151,148
"U(1, 1, 0, 1)",384,400,415,430,444,457,470,482,494,505,515,525,534
"U(1, 1, 0, 2)",2939,2848,2760,2675,2593,2514,2438,2364,2293,2224,2158,2094,2032
"U(1, 1, 1, 0)",174,175,177,178,180,181,182,183,184,185,186,186,187
"U(1, 1, 1, 1)",384,401,417,433,449,465,481,497,513,528,543,558,573
"U(1, 1, 1, 2)",2939,2913,2886,2858,2830,2802,2773,2743,2714,2684,2654,2623,2593
"U(1, 1, 2, 0)",174,175,175,176,177,178,179,179,180,181,181,181,182
"U(1, 1, 2, 1)",384,408,431,454,477,500,522,545,566,588,609,630,650
"U(1, 1, 2, 2)",2939,2939,2938,2936,2932,2928,2922,2915,2907,2899,2889,2879,2868
"U(1, 1, 3, 0)",174,177,181,185,189,192,196,199,202,206,209,212,215
"U(1, 1, 3, 1)",384,419,454,490,526,563,600,637,675,713,752,791,829
"U(1, 1, 3, 2)",2939,3007,3073,3137,3198,3257,3315,3370,3423,3474,3524,3571,3617
"U(1, 2, 0, 0)",174,169,165,161,156,152,148,145,141,137,134,130,127
"U(1, 2, 0, 1)",384,383,381,379,377,375,372,369,366,363,360,357,353
"U(1, 2, 0, 2)",2939,2785,2639,2501,2372,2249,2133,2023,1920,1822,1730,1642,1560
"U(1, 2, 1, 0)",174,172,171,169,167,166,164,162,160,158,157,155,153
"U(1, 2, 1, 1)",384,389,394,398,401,405,408,410,413,415,417,418,420
"U(1, 2, 1, 2)",2939,2828,2722,2619,2521,2426,2335,2247,2163,2081,2003,1928,1856
"U(1, 2, 2, 0)",174,172,170,168,165,163,161,159,157,155,153,151,149
"U(1, 2, 2, 1)",384,389,394,397,401,404,407,409,411,413,414,416,417
"U(1, 2, 2, 2)",2939,2844,2752,2663,2577,2493,2412,2334,2259,2185,2115,2046,1980
"U(1, 2, 3, 0)",174,173,173,173,173,172,172,171,170,170,169,168,167
"U(1, 2, 3, 1)",384,392,399,405,411,416,421,425,429,433,436,439,442
"U(1, 2, 3, 2)",2939,2868,2798,2729,2661,2594,2528,2463,2399,2337,2276,2217,2159
"U(2, 0, 0, 0)",174,170,166,163,160,156,153,150,147,144,141,139,136
"U(2, 0, 0, 1)",174,170,166,162,159,156,153,150,147,144,141,139,136
"U(2, 0, 0, 2)",2003,1988,1972,1956,1940,1924,1907,1891,1875,1858,1842,1825,1809
"U(2, 0, 1, 0)",174,169,165,161,157,153,149,145,142,138,135,132,128
"U(2, 0, 1, 1)",174,170,167,164,160,157,155,152,149,146,143,141,138
"U(2, 0, 1, 2)",2003,1970,1937,1904,1873,1841,1811,1780,1751,1721,1693,1665,1637
"U(2, 0, 2, 0)",174,169,165,161,158,154,150,147,143,140,137,134,131
"U(2, 0, 2, 1)",174,169,164,160,156,152,148,144,140,137,134,130,127
"U(2, 0, 2, 2)",2003,1952,1901,1853,1806,1760,1715,1672,1630,1589,1549,1511,1473
"U(2, 0, 3, 0)",174,169,164,159,155,150,146,142,138,134,131,127,124
"U(2, 0, 3, 1)",174,168,163,157,152,148,143,139,135,131,127,123,120
"U(2, 0, 3, 2)",2003,1936,1871,1809,1750,1692,1637,1585,1534,1485,1437,1392,1348
"U(2, 1, 0, 0)",174,169,164,160,156,151,147,143,139,136,132,128,125
"U(2, 1, 0, 1)",384,381,377,374,370,366,362,359,355,351,347,343,339
"U(2, 1, 0, 2)",2939,2740,2555,2384,2226,2079,1944,1818,1701,1593,1493,1400,1314
"U(2, 1, 1, 0)",174,172,170,168,167,165,163,161,159,157,155,153,151
"U(2, 1, 1, 1)",384,388,391,393,396,398,400,402,404,405,406,407,408
"U(2, 1, 1, 2)",2939,2753,2580,2419,2269,2130,2000,1880,1767,1663,1566,1475,1390
"U(2, 1, 2, 0)",174,171,169,167,165,162,160,158,156,154,152,150,147
"U(2, 1, 2, 1)",384,386,388,389,390,390,390,391,391,390,390,390,389
