,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),375,900,1417,1925,2425,2917,3401,3877,4345,4806,5260,5706,6145
S(1),375,363,354,346,340,336,333,332,332,333,335,339,344
S(2),3138,3089,3041,2994,2947,2902,2858,2814,2772,2730,2689,2649,2610
"I(0, 1, 0)",14135,13905,13690,13491,13307,13137,12980,12837,12707,12590,12485,12392,12310
"I(0, 1, 1)",14135,13639,13167,12717,12288,11878,11486,11111,10751,10407,10076,9759,9454
"I(0, 1, 2)",14135,13887,13643,13405,13172,12943,12720,12500,12286,12075,11869,11667,11468
"I(1, 0, 0)",14064,14029,14110,14303,14606,15016,15529,16142,16852,17657,18554,19540,20612
"I(1, 0, 1)",14064,13583,13125,12689,12274,11879,11503,11145,10804,10479,10170,9877,9598
"I(1, 0, 2)",14064,13904,13747,13592,13439,13288,13140,12994,12850,12707,12567,12429,12293
"I(1, 1, 0)",14218,14134,14050,13967,13884,13803,13722,13642,13563,13485,13409,13334,13260
"I(1, 1, 1)",14218,13730,13267,12825,12403,12000,11615,11247,10894,10555,10231,9919,9619
"I(1, 1, 2)",14218,14068,13920,13774,13630,13488,13348,13209,13073,12938,12804,12673,12543
"U(0, 1, 0, 0)",375,369,364,359,355,351,347,344,341,338,336,334,332
"U(0, 1, 0, 1)",1724,1714,1701,1687,1672,1655,1638,1620,1602,1583,1565,1547,1529
"U(0, 1, 0, 2)",5487,5337,5191,5049,4912,4780,4651,4526,4405,4288,4174,4064,3957
"U(0, 1, 1, 0)",375,377,378,379,380,380,381,381,381,381,380,380,379
"U(0, 1, 1, 1)",1724,1706,1687,1668,1649,1630,1612,1593,1575,1556,1538,1520,1502
"U(0, 1, 1, 2)",5487,5453,5417,5379,5339,5298,5255,5210,5164,5118,5070,5021,4971
"U(0, 1, 2, 0)",375,375,375,375,375,374,374,373,373,372,371,370,369
"U(0, 1, 2, 1)",1724,1706,1686,1667,1647,1628,1608,1588,1568,1548,1529,1509,1490
"U(0, 1, 2, 2)",5487,5545,5594,5636,5670,5698,5719,5735,5746,5752,5754,5752,5746
"U(0, 1, 3, 0)",375,381,386,391,396,401,405,409,413,417,421,424,427
"U(0, 1, 3, 1)",1724,1743,1759,1773,1784,1793,1801,1807,1812,1815,1818,1819,1819
"U(0, 1, 3, 2)",5487,5628,5760,5884,6000,6110,6212,6309,6400,6485,6565,6640,6711
"U(0, 2, 0, 0)",375,368,361,354,348,342,336,330,324,318,313,307,302
"U(0, 2, 0, 1)",375,363,352,342,332,322,313,304,296,288,280,273,266
"U(0, 2, 0, 2)",3138,3118,3099,3079,3059,3039,3018,2998,2978,2957,2937,2916,2896
"U(0, 2, 1, 0)",375,366,358,350,342,334,327,319,312,306,299,293,287
"U(0, 2, 1, 1)",375,364,353,342,333,323,314,305,297,289,281,273,266
"U(0, 2, 1, 2)",3138,3079,3022,2966,2912,2859,2806,2755,2705,2656,2608,2561,2516
"U(0, 2, 2, 0)",375,367,359,351,344,336,329,322,316,309,303,297,291
"U(0, 2, 2, 1)",375,363,352,341,330,320,311,302,293,285,276,269,261
"U(0, 2, 2, 2)",3138,3041,2949,2861,2776,2696,2619,2545,2475,2407,2341,2279,2218
"U(0, 2, 3, 0)",375,365,355,346,337,329,320,312,305,297,290,283,276
"U(0, 2, 3, 1)",375,360,346,332,319,307,296,285,274,264,255,246,237
"U(0, 2, 3, 2)",3138,3030,2927,2830,2737,2649,2566,2486,2409,2337,2267,2201,2137
"U(1, 0, 0, 0)",375,372,371,371,371,373,375,379,383,388,394,401,408
"U(1, 0, 0, 1)",1724,1746,1763,1776,1785,1792,1797,1800,1802,1802,1801,1800,1798
"U(1, 0, 0, 2)",5487,5344,5206,5071,4941,4815,4692,4574,4458,4347,4238,4133,4031
"U(1, 0, 1, 0)",375,379,382,385,388,391,393,395,397,399,401,402,404
"U(1, 0, 1, 1)",1724,1723,1722,1719,1717,1714,1710,1706,1702,1697,1693,1687,1682
"U(1, 0, 1, 2)",5487,5465,5441,5415,5386,5355,5322,5288,5252,5215,5176,5136,5095
"U(1, 0, 2, 0)",375,377,379,381,383,384,385,386,387,388,388,389,389
"U(1, 0, 2, 1)",1724,1726,1727,1726,1725,1722,1718,1714,1708,1702,1696,1689,1682
"U(1, 0, 2, 2)",5487,5601,5702,5790,5868,5935,5993,6042,6084,6118,6146,6168,6184
"U(1, 0, 3, 0)",375,383,390,397,404,410,416,422,428,434,439,444,449
"U(1, 0, 3, 1)",1724,1769,1810,1848,1882,1914,1942,1969,1993,2016,2036,2055,2073
"U(1, 0, 3, 2)",5487,5683,5867,6041,6204,6358,6503,6640,6769,6892,7007,7117,7220
"U(1, 1, 0, 0)",375,376,376,377,377,376,376,375,374,373,371,370,368
"U(1, 1, 0, 1)",1724,1826,1924,2019,2110,2197,2280,2360,2435,2506,2573,2637,2697
"U(1, 1, 0, 2)",5487,5360,5236,5116,4999,4885,4775,4667,4563,4462,4363,4267,4174
"U(1, 1, 1, 0)",375,384,393,402,410,418,425,433,440,446,452,458,464
"U(1, 1, 1, 1)",1724,1831,1936,2041,2145,2248,2349,2449,2548,2645,2740,2834,2925
"U(1, 1, 1, 2)",5487,5525,5560,5592,5621,5646,5669,5689,5707,5721,5734,5744,5752
