,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.00252746583843,0.000465708061113,0.001103098166,0.00172738400964,0.00233885601062,0.00293779652543,0.00352447928082,0.00409916980163,0.00466212579064,0.00521359752106,0.00575382807627,0.00628305387886,0.00680150472607,0.00730940401338
S(1),0.00252524692193,0.000465298966934,0.000448241246147,0.000433750597853,0.000421637932251,0.000411737256834,0.000403896592671,0.000397976533259,0.000393848707812,0.000391394818175,0.000390505093063,0.000391078238046,0.000393019626426,0.000396240529806
S(2),0.00252524692193,0.000465298966934,0.000459914369602,0.000454597408228,0.000449348862735,0.000444169266101,0.000439059069476,0.00043401864947,0.000429048310171,0.00042414828382,0.000419318735561,0.000414559757344,0.000409871380753,0.000405253580219
"I(0, 1, 0)",0.00252524692193,0.000465298966934,0.00045565409571,0.000446305384712,0.000437242960414,0.000428457426543,0.00041993976023,0.000411681292873,0.000403673693312,0.000395908952738,0.000388379368204,0.000381077531453,0.000373996310546,0.00036712883728
"I(0, 1, 1)",0.00252524692193,0.000465298966934,0.000446311955207,0.000428378342472,0.000411406684389,0.000395318893368,0.000380045919476,0.000365526711541,0.000351707000888,0.00033853852857,0.000325977872007,0.000313986284446,0.000302528490889,0.000291572128438
"I(0, 1, 2)",0.00252524692193,0.000465298966934,0.000459249042763,0.000453281888427,0.000447396369401,0.000441591331756,0.000435865635961,0.000430218156712,0.00042464778293,0.000419153417119,0.000413733976968,0.000408388391806,0.000403115607567,0.000397914587428
"I(1, 0, 0)",0.00252524692193,0.000465298966934,0.000459164742075,0.00045509349483,0.000453006110742,0.000452826746946,0.000454482021249,0.000457900914929,0.000463014707222,0.000469756911921,0.00047806321486,0.000487871417121,0.000499121358324,0.000511754862584
"I(1, 0, 1)",0.00252524692193,0.000465298966934,0.000446431268236,0.000428618966304,0.000411775313958,0.000395826139279,0.000380706033449,0.000366357337455,0.000352728930035,0.00033977545701,0.000327456167734,0.00031573474061,0.000304578109048,0.00029395591038
"I(1, 0, 2)",0.00252524692193,0.000465298966934,0.000462592768971,0.000459890571967,0.000457192880126,0.000454500165419,0.000451812877103,0.000449131442428,0.000446456268569,0.000443787743861,0.000441126240685,0.000438472114426,0.000435825708396,0.000433187355385
"I(1, 1, 0)",0.00252524692193,0.000465298966934,0.000458169472015,0.000451174097172,0.000444309331574,0.000437571837465,0.000430958431564,0.000424466075672,0.000418091866223,0.000411833025347,0.000405686890531,0.000399650908683,0.00039372262553,0.000387899678346
"I(1, 1, 1)",0.00252524692193,0.000465298966934,0.000446417759716,0.000428587543301,0.000411716897833,0.000395727739154,0.000380551005254,0.000366125618803,0.000352397275006,0.000339317671095,0.000326843338175,0.000314935478908,0.000303558770409,0.000292680806651
"I(1, 1, 2)",0.00252524692193,0.000465298966934,0.000463373065734,0.000461435970956,0.00045948845541,0.000457531221798,0.000455564936968,0.000453590234315,0.000451607716099,0.000449617955009,0.000447621497396,0.000445618862234,0.000443610546719,0.000441597028179
"U(0, 1, 0, 0)",0.00252524692193,0.000465298966934,0.000470330266105,0.000479371225212,0.000492222834577,0.00050869514301,0.000528603242705,0.000551767296598,0.000578012868179,0.000607171080274,0.000639078907265,0.000673579155602,0.000710520605154,0.000749758062649
"U(0, 1, 0, 1)",0.00252524692193,0.000465298966934,0.000476071825238,0.000484641898307,0.000491389005873,0.000496605734782,0.00050054293499,0.000503414375285,0.000505403722422,0.000506667624586,0.000507343664781,0.000507546776176,0.000507379683523,0.000506935846127
"U(0, 1, 0, 2)",0.00252524692193,0.000465298966934,0.000465450249443,0.000465173418635,0.000464513273586,0.00046350934269,0.000462196870251,0.000460607258652,0.000458768557796,0.000456705827167,0.000454441578853,0.000451996002406,0.000449387355785,0.000446632219256
