,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.00252671832675,0.000816990668572,0.00193703933963,0.00303477375668,0.00411065729271,0.00516514248123,0.00619866925204,0.00721166551048,0.00820454766436,0.00917772118365,0.0101315808737,0.0110665117436,0.0119828888766,0.0128810776899
S(1),0.00252524881436,0.000816516985649,0.00078855990794,0.000764940005306,0.000745357314921,0.000729545899416,0.000717260723514,0.000708275572456,0.000702380947069,0.000699382667063,0.000699099736429,0.000701364189201,0.000706018568173,0.000712914788625
S(2),0.00252524881436,0.000816516985649,0.000806803076619,0.000797212890833,0.000787747805402,0.000778408776547,0.00076919661974,0.000760112021897,0.000751155543895,0.000742327621384,0.000733628571438,0.000725058583184,0.000716617737209,0.000708306010542
"I(0, 1, 0)",0.00252524881436,0.000816516985649,0.000803839053802,0.000793462160648,0.000785300314017,0.000779271038844,0.000775294429327,0.000773293050702,0.000773191879348,0.000774918244606,0.000778401771761,0.000783574329661,0.000790369958718,0.000798724821333
"I(0, 1, 1)",0.00252524881436,0.000816516985649,0.000785111753868,0.000755364657794,0.000727143855438,0.000700335695711,0.000674839332681,0.000650565270013,0.000627433702316,0.000605373402725,0.000584320115049,0.000564216255646,0.000545009277105,0.000526650853648
"I(0, 1, 2)",0.00252524881436,0.000816516985649,0.000807323635075,0.000798235846385,0.000789252543523,0.000780372621664,0.000771594982489,0.000762918533974,0.000754342190955,0.00074586487492,0.000737485516652,0.000729203052242,0.000721016430142,0.000712924612564
"I(1, 0, 0)",0.00252524881436,0.000816516985649,0.00080432485531,0.000794673788501,0.000787468904352,0.000782619172281,0.00078003637896,0.000779635021618,0.00078133224327,0.000785047769625,0.000790703847538,0.000798225187699,0.000807538886833,0.000818574373961
"I(1, 0, 1)",0.00252524881436,0.000816516985649,0.000785711401102,0.000756521237209,0.000728819643334,0.000702497135525,0.000677456723636,0.000653612482309,0.000630887909419,0.000609214823451,0.000588531785306,0.000568783776199,0.000549920623188,0.000531896202687
"I(1, 0, 2)",0.00252524881436,0.000816516985649,0.000810607789159,0.000804726651855,0.000798874044477,0.000793050397504,0.00078725611482,0.000781491574272,0.000775757129872,0.000770053113217,0.000764379837137,0.000758737594072,0.000753126662789,0.000747547310493
"I(1, 1, 0)",0.00252524881436,0.000816516985649,0.000805817960644,0.000795301778379,0.000784971500208,0.000774829773508,0.000764879094997,0.000755121816157,0.000745560133394,0.000736196080165,0.000727031517621,0.000718068129192,0.000709307415539,0.000700750689579
"I(1, 1, 1)",0.00252524881436,0.000816516985649,0.000785701729417,0.000756501389849,0.000728782318551,0.000702429392155,0.000677340357007,0.000653424363912,0.000630600326643,0.000608795820338,0.000587945496269,0.000567990780033,0.000548878261793,0.00053055889032
"I(1, 1, 2)",0.00252524881436,0.000816516985649,0.00081365731938,0.000810774763369,0.000807870507827,0.000804945639579,0.000802001192511,0.000799038151315,0.000796057454861,0.000793059998642,0.000790046639357,0.000787018193877,0.000783975447063,0.000780919154677
"U(0, 1, 0, 0)",0.00252524881436,0.000816516985649,0.00082648905403,0.000842569913141,0.000864482529825,0.000891958782933,0.000924734297439,0.000962548932703,0.00100514782602,0.00105228201838,0.00110370943734,0.00115919497796,0.00121851127676,0.00128143907867
"U(0, 1, 0, 1)",0.00252524881436,0.000816516985649,0.000837078927677,0.000853917965769,0.000867642444129,0.000878729229731,0.000887589232739,0.000894575036352,0.00089999130608,0.000904099864458,0.000907131393451,0.000909280940935,0.000910722959132,0.000911615965838
"U(0, 1, 0, 2)",0.00252524881436,0.000816516985649,0.000821288350911,0.000825015895017,0.0008277968517,0.000829717111311,0.00083085370136,0.000831275704027,0.000831045258184,0.000830218296476,0.000828845473793,0.000826972563597,0.000824641321141,0.000821890009814
"U(0, 1, 1, 0)",0.00252524881436,0.000816516985649,0.000834047243035,0.000850230988626,0.000865313480539,0.000879506162019,0.000893002552492,0.000905979984764,0.000918600872879,0.000931013633163,0.000943353948697,0.000955745052664,0.000968299264697,0.000981118768872
"U(0, 1, 1, 1)",0.00252524881436,0.000816516985649,0.000813790854673,0.00081109004283,0.000808388800805,0.000805680715424,0.000802959629382,0.00080021959021,0.000797455127406,0.000794661695098,0.000791835124494,0.000788973626419,0.000786075520767,0.000783138907982
"U(0, 1, 1, 2)",0.00252524881436,0.000816516985649,0.000831367693531,0.000845181272808,0.000858017873423,0.000869932314017,0.000880975007588,0.000891192406657,0.000900627442333,0.000909319870347,0.000917306652556,0.000924622218479,0.000931298758303,0.000937366462876
"U(0, 1, 2, 0)",0.00252524881436,0.000816516985649,0.000830172912762,0.000842655766561,0.00085406292177,0.000864485727808,0.0008740073215,0.000882703320197,0.000890642882636,0.000897889464102,0.000904501816451,0.000910534358322,0.000916038053023,0.000921060930662
"U(0, 1, 2, 1)",0.00252524881436,0.000816516985649,0.000824765891266,0.000831249578187,0.000836214697229,0.000839855883804,0.000842339708158,0.000843808321449,0.000844383955526,0.000844171357669,0.000843262507625,0.000841735574718,0.000839660547065,0.000837101196688
"U(0, 1, 2, 2)",0.00252524881436,0.000816516985649,0.000850375933707,0.000880805653797,0.000908217197605,0.000932934835571,0.000955238842494,0.000975370350604,0.000993538752803,0.0010099251087,0.00102469063978,0.00103797299244,0.00104989718754,0.00106057882998
"U(0, 1, 3, 0)",0.00252524881436,0.000816516985649,0.000843539771021,0.000869126128852,0.000893392223028,0.000916436975268,0.000938348517272,0.000959205489798,0.000979078405455,0.000998030568666,0.001016119427,0.00103339676138,0.00104991013856,0.00106570362033
"U(0, 1, 3, 1)",0.00252524881436,0.000816516985649,0.000846112712234,0.000872629787941,0.000896480339149,0.000917983760349,0.000937410311923,0.000954986576232,0.000970904849551,0.000985327195104,0.000998395867334,0.00101022876595,0.00102093208947,0.00103060386586
"U(0, 1, 3, 2)",0.00252524881436,0.000816516985649,0.000862002984184,0.000904695063937,0.000944921666377,0.000982941213176,0.00101897430792,0.00105320803791,0.00108580274076,0.00111689513581,0.00114660582446,0.00117503637823,0.0012022784646,0.00122841657123
"U(0, 2, 0, 0)",0.00252524881436,0.000816516985649,0.000791663025847,0.000768022083024,0.000745514787814,0.000724070934278,0.000703628730375,0.000684133825369,0.000665538112697,0.000647798900695,0.000630877819957,0.000614740422299,0.000599355264404,0.000584693356525
"U(0, 2, 0, 1)",0.00252524881436,0.000816516985649,0.000780793341768,0.000747685479161,0.000716865881911,0.000688077833892,0.000661103033353,0.000635757069421,0.00061188244787,0.000589345356291,0.000568028136279,0.000547832009682,0.000528668113509,0.000510454799761
"U(0, 2, 0, 2)",0.00252524881436,0.000816516985649,0.000796413161903,0.000777220284346,0.00075886259216,0.000741273946081,0.00072439565269,0.000708175628598,0.000692567493088,0.000677529917081,0.000663025784428,0.000649021872746,0.000635488087116,0.000622396996801
"U(0, 2, 1, 0)",0.00252524881436,0.000816516985649,0.000788663109685,0.000762231666985,0.000737110993104,0.000713205186904,0.000690428522259,0.000668704302767,0.000647963683584,0.000628144849846,0.000609191857571,0.000591054396591,0.000573686552517,0.000557046171342
