,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.00252747248218,0.000451762448442,0.00107536968934,0.00168597436184,0.00228385830453,0.00286929994818,0.00344257059689,0.0040039344706,0.00455364898376,0.00509196499736,0.00561912704954,0.00613537357249,0.00664093711179,0.0071360445182
S(1),0.00252524690511,0.000451365664687,0.000440934789229,0.000432427872127,0.000425745639966,0.00042079740898,0.000417496431494,0.000415759756621,0.000415508546177,0.000416667955667,0.000419166805833,0.000422937281916,0.000427914989532,0.00043403855787
S(2),0.00252524690511,0.000451365664687,0.000444438227768,0.000437629407277,0.000430938385677,0.000424364219155,0.000417905949203,0.00041156260581,0.000405333203454,0.00039921673908,0.00039321219146,0.00038731852126,0.000381534668167,0.000375859553086
"I(0, 1, 0)",0.00252524690511,0.000451365664687,0.000446540929325,0.000444816702631,0.000446071134666,0.000450187192559,0.0004570514482,0.000466553943705,0.000478588122592,0.000493050764138,0.000509841919978,0.000528864852764,0.000550025979343,0.000573234815386
"I(0, 1, 1)",0.00252524690511,0.000451365664687,0.000438795831896,0.000426713691382,0.00041509782147,0.000403929644154,0.000393191677164,0.000382867543544,0.000372942227316,0.00036340199723,0.000354234168203,0.000345426896281,0.000336969224599,0.00032885083435
"I(0, 1, 2)",0.00252524690511,0.000451365664687,0.00044737053142,0.000443403206977,0.000439463656143,0.000435551856277,0.00043166779226,0.000427811454751,0.000423982838131,0.000420181939755,0.000416408760177,0.000412663303671,0.000408945577126,0.000405255591488
"I(1, 0, 0)",0.00252524690511,0.000451365664687,0.000450067551926,0.000453696086602,0.000462068536568,0.000475008804388,0.000492345984351,0.000513914181636,0.000539552408764,0.000569104487117,0.000602418952025,0.000639348961151,0.000679752209252,0.000723490845862
"I(1, 0, 1)",0.00252524690511,0.000451365664687,0.000438872692245,0.000426875234806,0.00041535658472,0.000404302340452,0.000393698959984,0.000383533788256,0.000373795313716,0.000364473093427,0.000355557516364,0.00034703960106,0.000338911041437,0.000331163962989
"I(1, 0, 2)",0.00252524690511,0.000451365664687,0.000448151924598,0.0004449457061,0.000441747441682,0.000438557578316,0.000435376562023,0.000432204835923,0.000429042838609,0.000425891003794,0.000422749760889,0.000419619535862,0.000416500750511,0.000413393824129
"I(1, 1, 0)",0.00252524690511,0.000451365664687,0.000451739227332,0.000452104893242,0.000452509954625,0.000452998266361,0.000453611676653,0.000454390128387,0.000455371681376,0.000456592533144,0.000458087039061,0.000459887732609,0.000462025343986,0.00046452881923
"I(1, 1, 1)",0.00252524690511,0.000451365664687,0.000438913108306,0.00042695265977,0.00041545527483,0.000404396011256,0.000393751486219,0.000383499838586,0.000373620981281,0.000364096522656,0.00035490952564,0.000346044299002,0.000337486443495,0.000329222595093
"I(1, 1, 2)",0.00252524690511,0.000451365664687,0.000452526849866,0.000453641840748,0.00045471138689,0.000455736201297,0.000456716981181,0.000457654409094,0.000458549152367,0.00045940186372,0.000460213182686,0.00046098373722,0.000461714143746,0.000462405009456
"U(0, 1, 0, 0)",0.00252524690511,0.000451365664687,0.000441730285488,0.000433023902695,0.000425202055187,0.000418222992631,0.000412046495349,0.000406633777932,0.000401947454771,0.000397951521618,0.00039461135022,0.000391893681194,0.000389766603236,0.000388199548024
"U(0, 1, 0, 1)",0.00252524690511,0.000451365664687,0.000448986800445,0.000446210185355,0.000443112993751,0.000439752347682,0.000436181798971,0.000432451335667,0.000428605146012,0.000424681837335,0.000420715530109,0.000416736825137,0.000412772094351,0.000408845130888
"U(0, 1, 0, 2)",0.00252524690511,0.000451365664687,0.000438785072897,0.000426598518541,0.000414792010364,0.000403352552062,0.000392267613825,0.000381525099633,0.000371113351078,0.000361021140876,0.000351237661425,0.000341752511517,0.000332555697072,0.000323637608113
"U(0, 1, 1, 0)",0.00252524690511,0.000451365664687,0.000449924760785,0.000448227847255,0.000446305761897,0.000444185472887,0.000441892370222,0.000439450403881,0.000436882093629,0.000434208551,0.000431449513471,0.000428623379625,0.000425747225389,0.000422836841117
"U(0, 1, 1, 1)",0.00252524690511,0.000451365664687,0.000448081265397,0.000444783371342,0.000441471222603,0.000438147037457,0.000434812825931,0.000431470273717,0.000428120855958,0.000424765935201,0.000421406848463,0.00041804492517,0.000414681627502,0.000411318364603
"U(0, 1, 1, 2)",0.00252524690511,0.000451365664687,0.000447232801509,0.00044299564823,0.000438664029345,0.000434246790025,0.000429752376386,0.000425188872579,0.000420564004559,0.000415885142973,0.000411159305347,0.000406393158727,0.000401593020433,0.000396764863323
"U(0, 1, 2, 0)",0.00252524690511,0.000451365664687,0.000448153769642,0.000444892405043,0.000441584367977,0.000438233256606,0.000434842605898,0.000431415834891,0.000427956242387,0.000424467014815,0.000420951245189,0.000417411950492,0.000413852077483,0.00041027451875
"U(0, 1, 2, 1)",0.00252524690511,0.000451365664687,0.00045054873004,0.000449429224544,0.000448045271029,0.00044642477475,0.000444594063722,0.000442577840659,0.000440397874127,0.000438073133879,0.000435620435345,0.000433054996698,0.000430390031966,0.000427637679622
"U(0, 1, 2, 2)",0.00252524690511,0.000451365664687,0.000450107119067,0.000448679573088,0.000447091876603,0.00044535263859,0.000443470091672,0.000441452087728,0.000439306107496,0.000437039275668,0.000434658385608,0.000432169921582,0.000429580074636,0.000426894756013
"U(0, 1, 3, 0)",0.00252524690511,0.000451365664687,0.00045434638063,0.000457058303513,0.00045951369586,0.00046172373732,0.000463699122907,0.00046545009718,0.000466986452348,0.000468317541378,0.000469452304337,0.000470399293959,0.000471166682287,0.000471762288092
"U(0, 1, 3, 1)",0.00252524690511,0.000451365664687,0.000457181766599,0.000462522519891,0.000467429925383,0.00047193623658,0.000476072008804,0.000479865948797,0.000483343387167,0.000486526491248,0.000489435042735,0.00049208707055,0.000494498444834,0.000496683841784
"U(0, 1, 3, 2)",0.00252524690511,0.000451365664687,0.000458838741877,0.000465879996218,0.00047251010099,0.000478747703045,0.000484610475357,0.000490115155364,0.000495277497849,0.00050011231134,0.000504633551752,0.000508854408468,0.000512787307864,0.00051644400863
"U(0, 2, 0, 0)",0.00252524690511,0.000451365664687,0.000442028102184,0.00043291733416,0.000424026471466,0.000415348937743,0.000406878428666,0.00039860890859,0.000390534611121,0.000382650027182,0.000374949882651,0.000367429118278,0.000360082881907,0.000352906510049
"U(0, 2, 0, 1)",0.00252524690511,0.000451365664687,0.000440090642482,0.000429313050598,0.000418990431551,0.000409089873084,0.000399580271854,0.000390432442007,0.000381620486776,0.000373121601056,0.000364915355545,0.000356983111462,0.00034930839224,0.000341875980204
"U(0, 2, 0, 2)",0.00252524690511,0.000451365664687,0.00044678928029,0.000442245120053,0.000437733333646,0.000433254005853,0.000428807216466,0.000424393040764,0.000420011543998,0.000415662780084,0.000411346792328,0.0004070636148,0.000402813269373,0.000398595770194
"U(0, 2, 1, 0)",0.00252524690511,0.000451365664687,0.000439855977357,0.000428693634164,0.00041786532706,0.000407358680126,0.000397161855154,0.000387263526672,0.000377652880389,0.000368319598055,0.000359253830099,0.000350446168934,0.000341887639106,0.00033356966965
"U(0, 2, 1, 1)",0.00252524690511,0.000451365664687,0.000440619685299,0.000430247217347,0.000420226526637,0.000410538475833,0.000401165132013,0.000392089760042,0.00038329699839,0.000374772780632,0.000366504130376,0.000358478993668,0.000350686252928,0.000343115553875
"U(0, 2, 1, 2)",0.00252524690511,0.000451365664687,0.000443407593427,0.000435593132485,0.000427919500776,0.000420383973226,0.000412983888668,0.000405716646449,0.000398579702195,0.000391570565341,0.000384686798299,0.00037792601615,0.000371285884219,0.00036476411872
"U(0, 2, 2, 0)",0.00252524690511,0.000451365664687,0.000440499018293,0.000429932687614,0.000419656261523,0.000409659898871,0.000399934168029,0.000390470035373,0.000381258863813,0.000372292399104,0.000363562745307,0.000355062341628,0.000346783952828,0.000338720646844
"U(0, 2, 2, 1)",0.00252524690511,0.000451365664687,0.00043860739976,0.000426395438892,0.00041468879217,0.000403454215222,0.000392660395,0.000382278014323,0.000372280733224,0.00036264501508,0.000353349536172,0.000344374700484,0.000335702883373,0.00032731774637
"U(0, 2, 2, 2)",0.00252524690511,0.000451365664687,0.00044063805249,0.000430199278991,0.000420039768775,0.000410150355794,0.000400522250759,0.000391147032172,0.000382016635563,0.000373123338126,0.000364459736809,0.000356018729937,0.000347793502616,0.000339777516393
"U(0, 2, 3, 0)",0.00252524690511,0.000451365664687,0.000438222908798,0.000425524785824,0.000413253358281,0.000401391915326,0.00038992446291,0.000378835692151,0.000368110978177,0.000357736361496,0.00034769851354,0.000337984702162,0.000328582779886,0.000319481146712
"U(0, 2, 3, 1)",0.00252524690511,0.000451365664687,0.000436441851043,0.000422207957277,0.000408612148135,0.000395612907663,0.000383170936322,0.000371249224096,0.000359814369271,0.000348836399764,0.000338288069579,0.000328144261021,0.000318382350755,0.000308981273816
"U(0, 2, 3, 2)",0.00252524690511,0.000451365664687,0.000437360134746,0.000423879074085,0.000410897177858,0.000398391474701,0.000386340169904,0.000374722601305,0.000363519288008,0.000352711890393,0.000342283109466,0.000332216592495,0.000322496927133,0.000313109535244
"U(1, 0, 0, 0)",0.00252524690511,0.000451365664687,0.000442655095448,0.000435155301016,0.000428805450855,0.000423548546954,0.000419329722843,0.000416096107658,0.000413796778312,0.000412382734455,0.000411806890956,0.000412024067466,0.000412990959522,0.000414666130724
"U(1, 0, 0, 1)",0.00252524690511,0.000451365664687,0.00045368020843,0.000455326477422,0.000456405489502,0.000456996075966,0.00045717199531,0.000457002076244,0.000456548262612,0.00045586584198,0.000455004521159,0.000454009397919,0.000452920347732,0.000451773619247
"U(1, 0, 0, 2)",0.00252524690511,0.000451365664687,0.000436394808132,0.000421970744659,0.00040807154636,0.000394676979613,0.00038176758925,0.000369324640331,0.00035733011816,0.000345766717541,0.000334617826349,0.000323867506722,0.000313500492883,0.000303502161453
"U(1, 0, 1, 0)",0.00252524690511,0.000451365664687,0.000450429874096,0.000449222931847,0.000447782483297,0.000446141092928,0.000444329332121,0.000442375962556,0.000440307945674,0.000438150469873,0.000435926994459,0.000433659295155,0.000431367482892,0.000429070053106
"U(1, 0, 1, 1)",0.00252524690511,0.000451365664687,0.000450389022108,0.00044937342032,0.000448314354803,0.0004472119306,0.000446066372414,0.000444877866446,0.000443646741882,0.000442373552582,0.000441059111463,0.000439704462494,0.000438311037026,0.000436880418563
"U(1, 0, 1, 2)",0.00252524690511,0.000451365664687,0.00044590495729,0.000440360874444,0.000434745342472,0.000429068759528,0.000423340982894,0.000417571389249,0.000411768878435,0.000405941876796,0.000400098340213,0.000394245758133,0.000388391153947,0.000382541092987
"U(1, 0, 2, 0)",0.00252524690511,0.000451365664687,0.000448652938598,0.000445864994199,0.000443006172888,0.00044008177326,0.000437096974429,0.00043405677004,0.000430965961335,0.000427829167683,0.000424650852181,0.000421435345104,0.000418186850856,0.000414909470311
"U(1, 0, 2, 1)",0.00252524690511,0.000451365664687,0.000453897000645,0.000456000969378,0.000457719402298,0.00045908493285,0.000460128202866,0.000460877876213,0.000461359693278,0.000461596605553,0.000461609330985,0.000461416835563,0.000461036056909,0.000460482638319
"U(1, 0, 2, 2)",0.00252524690511,0.000451365664687,0.000450134689178,0.000448686348265,0.000447033900415,0.000445189949555,0.000443166475389,0.000440974831857,0.000438625744527,0.000436129334566,0.000433495167719,0.000430732299371,0.000427849291804,0.000424854252736
"U(1, 0, 3, 0)",0.00252524690511,0.000451365664687,0.000454636350359,0.00045762968184,0.000460358395192,0.000462834044973,0.000465067685544,0.00046706990918,0.000468850842605,0.000470420160852,0.000471787116051,0.000472960565353,0.000473948977193,0.000474760461676
"U(1, 0, 3, 1)",0.00252524690511,0.000451365664687,0.000461187497507,0.000470474070235,0.000479266521549,0.000487597647284,0.000495498365068,0.000502997611661,0.00051012116851,0.000516891855386,0.000523330202045,0.000529454995599,0.000535282982114,0.000540829656035
"U(1, 0, 3, 2)",0.00252524690511,0.000451365664687,0.000459112054719,0.00046635702051,0.000473128147113,0.000479449701403,0.000485344608621,0.000490834500928,0.000495939575029,0.000500678644704,0.000505069305614,0.00050912808661,0.000512870425325,0.000516310857697
"U(1, 1, 0, 0)",0.00252524690511,0.000451365664687,0.000446192348423,0.000440948836797,0.000435642512128,0.000430281421162,0.000424873358631,0.000419425911744,0.000413946670825,0.000408443216816,0.000402922994195,0.000397393193738,0.000391860834161,0.000386332574355
"U(1, 1, 0, 1)",0.00252524690511,0.000451365664687,0.000469750035592,0.000487536798975,0.000504662768379,0.000521114511111,0.000536876762125,0.00055193311103,0.000566274926824,0.000579901214473,0.000592815909752,0.0006050254166,0.000616541894427,0.000627377438722
"U(1, 1, 0, 2)",0.00252524690511,0.000451365664687,0.000437393706882,0.000423904192982,0.000410880302033,0.000398305417651,0.000386163552662,0.000374439335505,0.000363117942699,0.000352185073061,0.000341626938135,0.000331430261907,0.000321582231821,0.000312070547831
"U(1, 1, 1, 0)",0.00252524690511,0.000451365664687,0.000455861184329,0.000460042940609,0.000463909910733,0.000467464492844,0.000470709729968,0.000473649229073,0.00047628730953,0.000478628974611,0.000480679785212,0.00048244574183,0.000483933325521,0.000485149340462
"U(1, 1, 1, 1)",0.00252524690511,0.000451365664687,0.000470584080372,0.000489734245584,0.000508790083577,0.000527721206429,0.000546500617744,0.000565104820634,0.000583513102814,0.000601707171543,0.000619670853519,0.000637389993532,0.000654851803854,0.000672045594608
