,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.00252541651529,0.000792122909717,0.00190004191839,0.00298992931549,0.00406211725534,0.0051169333198,0.00615469483577,0.00717570939276,0.00818027548101,0.00916868302089,0.0101412139136,0.0110981424968,0.0120397360069,0.0129662549362
S(1),0.00252525211009,0.000792067536937,0.000767890644576,0.000747800864429,0.000731554009296,0.00071893215597,0.000709729771297,0.000703754600352,0.00070082685802,0.000700777752921,0.000703449039543,0.000708691991004,0.000716366758027,0.000726340568398
S(2),0.00252525211009,0.000792067536937,0.000779688650757,0.000767557152805,0.000755668416241,0.000744017792648,0.000732600798233,0.000721413100547,0.000710450504489,0.000699708942048,0.000689184460023,0.000678873213272,0.000668771450602,0.00065887552609
"I(0, 1, 0)",0.00252525211009,0.000792067536937,0.000779166864688,0.000767148008466,0.000755983239191,0.000745645828074,0.000736109874923,0.000727350268622,0.000719342658638,0.000712063428825,0.000705489672356,0.000699599169355,0.000694370363396,0.000689782347084
"I(0, 1, 1)",0.00252525211009,0.000792067536937,0.000764282560013,0.000737833391648,0.000712622125055,0.000688565021233,0.000665584951891,0.000643612236738,0.000622584030671,0.000602443188897,0.00058313793501,0.000564621106018,0.000546849654465,0.000529783441047
"I(0, 1, 2)",0.00252525211009,0.000792067536937,0.000778138467442,0.000764503752819,0.000751154911363,0.000738083799505,0.000725282607685,0.000712743837392,0.000700460284544,0.0006884250258,0.000676631403926,0.00066507301747,0.0006537437045,0.000642637544987
"I(1, 0, 0)",0.00252525211009,0.000792067536937,0.000790080825689,0.000794633197154,0.000805536544948,0.000822607973966,0.000845669444513,0.000874547583888,0.00090907352192,0.000949082739514,0.00099441492588,0.00104491384882,0.0011004272262,0.00116080663207
"I(1, 0, 1)",0.00252525211009,0.000792067536937,0.000764947218957,0.000739156010174,0.000714613568573,0.000691251461869,0.000669006990499,0.000647824072607,0.00062765263813,0.000608447511736,0.000590168086808,0.000572777590709,0.000556242591468,0.00054053186328
"I(1, 0, 2)",0.00252525211009,0.000792067536937,0.000783063899425,0.000774196761468,0.000765462452289,0.000756857489877,0.000748378565944,0.000740022527873,0.000731786369164,0.000723667223144,0.000715662354968,0.000707769157987,0.000699985144426,0.000692307953161
"I(1, 1, 0)",0.00252525211009,0.000792067536937,0.000787385833813,0.000782726680544,0.000778096665368,0.000773502064235,0.000768948935796,0.00076444312505,0.000759990263814,0.000755595771584,0.000751264855845,0.000747002513474,0.000742813530385,0.000738702487308
"I(1, 1, 1)",0.00252525211009,0.000792067536937,0.00076491990768,0.000739085129204,0.000714465316162,0.000690976664334,0.000668541988434,0.000647091536302,0.000626562376683,0.00060689727537,0.000588044364008,0.00056995639722,0.000552590254278,0.000535905765767
"I(1, 1, 2)",0.00252525211009,0.000792067536937,0.00078371486878,0.000775476228283,0.000767348635901,0.000759329208624,0.000751415199553,0.000743603983488,0.000735893048332,0.000728279989781,0.000720762504156,0.000713338385631,0.000706005517755,0.000698761882667
