,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),126435,5293068,5337221,5379794,5420864,5460650,5499143,5536232,5572241,5607076,5640929,5673805,5705766,5736905,5767108
S(1),126324,300907,304150,307304,310370,313360,316275,319105,321871,324566,327200,329773,332289,334753,337157
S(2),126324,87154,86555,85935,85294,84638,83968,83284,82590,81888,81179,80465,79748,79029,78308
"I(0, 1, 0)",126324,85345,83953,82581,81228,79899,78594,77311,76057,74828,73628,72456,71313,70200,69115
"I(0, 1, 1)",126324,81749,78620,75653,72831,70142,67575,65119,62769,60515,58355,56282,54292,52381,50544
"I(0, 1, 2)",126324,87445,86961,86453,85921,85371,84804,84217,83619,83006,82384,81752,81112,80466,79813
"I(1, 0, 0)",126324,2423475,2458241,2492407,2525992,2559087,2591673,2623686,2655267,2686360,2717048,2747323,2777206,2806735,2835844
"I(1, 0, 1)",126324,119479,121604,123708,125791,127858,129906,131933,133945,135939,137918,139882,141832,143769,145690
"I(1, 0, 2)",126324,88090,87853,87587,87295,86981,86645,86286,85910,85517,85110,84689,84257,83813,83359
"I(1, 1, 0)",126324,88881,88968,89015,89025,89004,88952,88868,88758,88623,88466,88288,88090,87876,87644
"I(1, 1, 1)",126324,81864,78772,75842,73060,70412,67887,65473,63166,60956,58840,56812,54866,53000,51207
"I(1, 1, 2)",126324,89143,89299,89424,89519,89587,89630,89647,89642,89615,89569,89504,89423,89327,89214
"U(0, 1, 0, 0)",126324,1100513,1113010,1125182,1137042,1148634,1159953,1170972,1181758,1192288,1202601,1212696,1222585,1232286,1241773
"U(0, 1, 0, 1)",126324,163766,165925,168042,170119,172162,174171,176140,178079,179984,181862,183711,185533,187331,189099
"U(0, 1, 0, 2)",126324,89153,89523,89796,89978,90080,90108,90063,89957,89792,89574,89308,88996,88645,88254
"U(0, 1, 1, 0)",126324,600068,609477,618749,627889,636918,645830,654608,663286,671850,680320,688691,696971,705165,713259
"U(0, 1, 1, 1)",126324,87982,87184,86439,85739,85079,85181,85824,86469,87114,87951,89057,90155,91248,92333
"U(0, 1, 1, 2)",126324,90073,90577,91046,91482,91887,92261,92600,92911,93190,93442,93665,93860,94030,94171
"U(0, 1, 2, 0)",126324,241019,245413,249783,254131,258463,262778,267067,271344,275603,279851,284086,288309,292524,296723
"U(0, 1, 2, 1)",126324,89932,91225,92173,92843,93285,93535,93617,93560,93380,93092,92711,92248,91712,91111
"U(0, 1, 2, 2)",126324,109518,110480,111334,112088,112750,113324,113812,114224,114621,115267,115822,116293,116687,117138
"U(0, 1, 3, 0)",126324,198083,200966,203838,206703,209568,212431,215288,218151,221015,223887,226766,229656,232558,235467
"U(0, 1, 3, 1)",126324,97940,98391,98886,99600,100205,100711,101123,101809,102544,103170,103697,104132,104484,104755
"U(0, 1, 3, 2)",126324,196448,197781,199044,200240,201377,202455,203538,204617,205641,206618,207546,208430,209273,210116
"U(0, 2, 0, 0)",126324,125600,127425,129221,130989,132733,134451,136141,137810,139455,141079,142683,144267,145834,147379
"U(0, 2, 0, 1)",126324,81629,78217,75064,72128,69379,66793,64349,62036,59841,57755,55770,53877,52073,50349
"U(0, 2, 0, 2)",126324,85394,83978,82596,81245,79925,78635,77369,76130,74915,73725,72558,71414,70292,69190
"U(0, 2, 1, 0)",126324,83497,81274,79119,77032,75010,73051,71150,69309,67523,65794,64118,62495,60923,59399
"U(0, 2, 1, 1)",126324,83994,81999,80059,78172,76336,74549,72806,71108,69453,67840,66267,64734,63240,61782
"U(0, 2, 1, 2)",126324,86390,85514,84615,83697,82764,81818,80858,79891,78917,77939,76957,75975,74992,74010
"U(0, 2, 2, 0)",126324,84302,82409,80573,78793,77067,75393,73765,72187,70653,69164,67719,66315,64952,63628
"U(0, 2, 2, 1)",126324,81180,77497,74113,70976,68052,65312,62735,60305,58007,55831,53768,51808,49945,48170
"U(0, 2, 2, 2)",126324,81874,78683,75691,72875,70218,67705,65322,63060,60909,58864,56916,55059,53288,51597
"U(0, 2, 3, 0)",126324,82908,80372,77935,75593,73343,71180,69097,67095,65167,63312,61528,59810,58157,56565
"U(0, 2, 3, 1)",126324,80588,76719,73129,69777,66636,63681,60891,58256,55759,53392,51146,49012,46983,45052
"U(0, 2, 3, 2)",126324,78174,72604,67637,63151,59064,55319,51869,48685,45738,43005,40468,38109,35914,33869
"U(1, 0, 0, 0)",126324,87283,86793,86261,85691,85092,84467,83818,83153,82473,81782,81084,80380,79674,78965
"U(1, 0, 0, 1)",126324,139044,140762,142445,144094,145713,147301,148857,150386,151887,153364,154816,156246,157654,159038
"U(1, 0, 0, 2)",126324,86773,85997,85209,84414,83614,82812,82005,81199,80393,79590,78792,77998,77210,76427
