,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),221806,5638494,5681232,5721660,5760142,5797292,5835471,5872278,5907857,5941931,5974841,6006780,6037682,6069466,6100655
S(1),221677,273909,276318,278619,280826,282959,285020,287018,288959,290831,292649,294423,296148,297826,299457
S(2),221677,155234,153913,152545,151142,149717,148272,146816,145351,143873,142392,140912,139432,137954,136479
"I(0, 1, 0)",221677,218400,220318,222149,223907,225606,227249,228841,230390,231884,233336,234752,236131,237472,238777
"I(0, 1, 1)",221677,147381,142391,137607,133018,128616,124388,120325,116419,112655,109032,105544,102184,98945,95822
"I(0, 1, 2)",221677,155088,153713,152291,150834,149354,147854,146341,144818,143281,141738,140196,138651,137107,135563
"I(1, 0, 0)",221677,355596,358824,361909,364874,367743,370517,373209,375827,378355,380812,383212,385548,387821,390033
"I(1, 0, 1)",221677,147607,142719,138030,133532,129216,125070,121087,117259,113570,110020,106605,103317,100149,97096
"I(1, 0, 2)",221677,159104,159289,159400,159451,159451,159403,159314,159188,159018,158814,158583,158321,158031,157713
"I(1, 1, 0)",221677,150076,146435,142881,139418,136049,132772,129587,126492,123478,120549,117706,114944,112261,109655
"I(1, 1, 1)",221677,147560,142658,137955,133440,129106,124938,120930,117071,113349,109759,106299,102960,99735,96620
"I(1, 1, 2)",221677,160184,160772,161284,161733,162129,162474,162774,163035,163248,163424,163567,163678,163755,163801
"U(0, 1, 0, 0)",221677,678827,684397,689695,694763,699647,704351,708900,713312,717552,721661,725661,729545,733313,736967
"U(0, 1, 0, 1)",221677,159927,161894,163246,164109,164580,164727,164609,164272,163743,163060,162252,161338,160335,159260
"U(0, 1, 0, 2)",221677,168568,169989,171217,172273,173175,174596,176067,177362,178480,179442,180261,180943,181495,181925
"U(0, 1, 1, 0)",221677,248358,251054,253655,256175,258629,261019,263353,265637,267857,270028,272159,274245,276286,278283
"U(0, 1, 1, 1)",221677,156511,155786,154970,154081,153136,152139,151101,150028,148916,147775,146611,145426,144220,142995
"U(0, 1, 1, 2)",221677,196689,198127,199440,200642,202052,203402,204658,205824,206893,207966,209311,210566,211732,212811
"U(0, 1, 2, 0)",221677,158473,159175,159541,159631,159493,159158,158656,158012,157235,156349,155370,154308,153173,151974
"U(0, 1, 2, 1)",221677,158594,159315,159703,159819,159711,159411,158948,158346,157612,156769,155833,154811,153711,152541
"U(0, 1, 2, 2)",221677,220617,222386,224010,225506,226890,228166,229488,230966,232329,233592,234765,235847,237314,238700
"U(0, 1, 3, 0)",221677,160972,162475,163688,164653,165410,165980,166387,166649,166770,166770,166662,166452,166148,165755
"U(0, 1, 3, 1)",221677,171803,173445,174806,175927,176841,178386,180050,181468,182654,183636,184436,185065,185535,185858
"U(0, 1, 3, 2)",221677,402785,405798,408668,411521,414271,416921,419485,421974,424367,426721,429087,431389,433626,435799
"U(0, 2, 0, 0)",221677,149052,144786,140693,136764,132993,129369,125886,122537,119310,116203,113215,110339,107569,104903
"U(0, 2, 0, 1)",221677,145807,139647,133921,128564,123532,118785,114294,110036,105984,102127,98452,94944,91592,88385
"U(0, 2, 0, 2)",221677,152196,149373,146627,143958,141368,138850,136402,134023,131701,129439,127237,125089,122994,120947
"U(0, 2, 1, 0)",221677,147066,141857,136891,132150,127622,123286,119133,115151,111323,107644,104109,100708,97434,94281
"U(0, 2, 1, 1)",221677,148671,144210,139942,135852,131931,128163,124540,121052,117685,114435,111300,108270,105340,102505
"U(0, 2, 1, 2)",221677,153308,150930,148614,146364,144184,142069,140021,138036,136106,134233,132418,130657,128946,127283
"U(0, 2, 2, 0)",221677,145877,139996,134442,129184,124194,119448,114927,110614,106488,102541,98765,95146,91676,88347
"U(0, 2, 2, 1)",221677,145793,139848,134246,128947,123926,119153,114608,110274,106129,102165,98373,94740,91256,87913
"U(0, 2, 2, 2)",221677,147326,142229,137369,132731,128299,124057,119994,116098,112352,108752,105294,101967,98764,95679
"U(0, 2, 3, 0)",221677,146210,140482,135067,129936,125068,120439,116031,111829,107812,103974,100305,96794,93430,90205
"U(0, 2, 3, 1)",221677,144127,137162,130686,124633,118958,113616,108578,103816,99302,95021,90959,87099,83428,79933
"U(0, 2, 3, 2)",221677,146850,141024,135630,130618,125949,121586,117505,113681,110087,106711,103539,100556,97750,95107
"U(1, 0, 0, 0)",221677,3518046,3549930,3580391,3609651,3637941,3665284,3691809,3717601,3742482,3766661,3790256,3813221,3835563,3857289
"U(1, 0, 0, 1)",221677,363112,367421,371596,375657,379628,383510,387314,391049,394695,398273,401795,405254,408651,411985
"U(1, 0, 0, 2)",221677,151131,148067,145029,142025,139067,136156,133297,130493,127736,125035,122392,119805,117273,114796
"U(1, 0, 1, 0)",221677,1888531,1914685,1940137,1964993,1989370,2013270,2036754,2059863,2082489,2104743,2126681,2148274,2169518,2190413
"U(1, 0, 1, 1)",221677,261139,265195,269178,273104,276986,280826,284631,288405,292134,295831,299504,303149,306764,310348
"U(1, 0, 1, 2)",221677,157880,157762,157528,157191,156766,156257,155674,155024,154302,153520,152686,151800,150867,149888
"U(1, 0, 2, 0)",221677,711541,724957,738195,751291,764285,777175,789981,802714,815329,827867,840346,852751,865079,877327
"U(1, 0, 2, 1)",221677,174892,175700,177243,178547,179643,180551,182072,183704,185094,186273,187262,188075,188726,189228
"U(1, 0, 2, 2)",221677,196432,198209,199762,201110,202274,203262,204090,205288,206646,207816,208814,209647,210966,212532
"U(1, 0, 3, 0)",221677,410867,419131,427377,435628,443908,452215,460562,468956,477371,485831,494348,502913,511524,520178
"U(1, 0, 3, 1)",221677,193275,194742,196110,197395,198635,200009,201315,202560,203733,204847,205909,206917,208027,209117
"U(1, 0, 3, 2)",221677,274105,276177,278117,279945,281732,283642,285466,287212,288866,290444,291955,293443,295044,296573
"U(1, 1, 0, 0)",221677,1158639,1172563,1186044,1199149,1211952,1224457,1236702,1248715,1260431,1271919,1283214,1294301,1305178,1315846
"U(1, 1, 0, 1)",221677,455832,460178,464382,468473,472481,476407,480267,484072,487797,491469,495102,498690,502232,505728
"U(1, 1, 0, 2)",221677,161696,163479,164988,166252,167296,168137,168792,169279,169600,169774,169817,169736,169539,169233
"U(1, 1, 1, 0)",221677,1338576,1359340,1379727,1399811,1419670,1439306,1458758,1478053,1497112,1516011,1534788,1553420,1571902,1590229
"U(1, 1, 1, 1)",221677,704487,712192,719695,727038,734266,741384,748416,755377,762231,769019,775763,782452,789087,795668
"U(1, 1, 1, 2)",221677,213089,214568,216189,217841,219383,220820,222159,223408,224557,225731,227069,228318,229479,230555
"U(1, 1, 2, 0)",221677,870119,884210,898139,911955,925710,939404,953065,966709,980286,993844,1007410,1020967,1034512,1048042
"U(1, 1, 2, 1)",221677,928490,937380,945982,954356,962564,970610,978531,986347,994013,1001582,1009087,1016515,1023868,1031147
"U(1, 1, 2, 2)",221677,457100,460612,463899,466991,469919,472914,476032,479009,481825,484507,487071,489514,491946,494566
"U(1, 1, 3, 0)",221677,1313206,1331181,1348872,1366358,1383724,1400977,1418163,1435312,1452353,1469366,1486394,1503417,1520436,1537451
"U(1, 1, 3, 1)",221677,2684872,2724799,2764061,2802812,2841222,2879299,2917132,2954784,2992101,3029244,3066300,3103225,3140020,3176681
"U(1, 1, 3, 2)",221677,1410536,1429232,1447517,1465474,1483192,1500676,1517973,1535115,1552024,1568782,1585435,1601960,1618357,1634625
"U(1, 2, 0, 0)",221677,157127,157090,156805,156318,155665,154873,153966,152965,151875,150719,149511,148258,146969,145652
"U(1, 2, 0, 1)",221677,153416,151727,149831,147807,145709,143567,141407,139244,137081,134931,132805,130703,128628,126581
"U(1, 2, 0, 2)",221677,146541,141205,136074,131149,126425,121893,117547,113380,109378,105538,101857,98324,94932,91676
"U(1, 2, 1, 0)",221677,195861,197029,197949,198648,199812,201327,202564,203552,204478,206564,208326,209789,210978,211915
"U(1, 2, 1, 1)",221677,174867,176187,177389,178489,179502,180441,181658,182778,183799,184735,185855,187070,188182,189200
"U(1, 2, 1, 2)",221677,154196,152372,150538,148705,146884,145075,143283,141513,139757,138024,136316,134633,132974,131339
