,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),122650,6569574,6621472,6672134,6721518,6769817,6816733,6862230,6906886,6950604,6993404,7035344,7076495,7117073,7156898
S(1),122542,826207,837975,849647,861213,872695,884051,895273,906432,917513,928515,939445,950309,961134,971894
S(2),122542,88341,88376,88399,88408,88409,88404,89099,89794,90488,91182,91876,92574,93552,94534
"I(0, 1, 0)",122542,1151065,1166554,1181879,1197027,1212029,1226827,1241410,1255879,1270211,1284408,1298477,1312428,1326298,1340052
"I(0, 1, 1)",122542,111944,113728,115513,117295,119079,120858,122631,124407,126185,127963,129744,131526,133315,135106
"I(0, 1, 2)",122542,89654,90102,90529,90937,91326,91694,92040,92372,92688,92990,93278,93553,93818,94071
"I(1, 0, 0)",122542,1503599,1524262,1544718,1564951,1585001,1604790,1624305,1643677,1662877,1681906,1700774,1719493,1738113,1756586
"I(1, 0, 1)",122542,141150,143570,145991,148412,150836,153254,155667,158085,160506,162930,165357,167788,170227,172671
"I(1, 0, 2)",122542,87096,86603,86097,85577,85046,84502,83945,83382,82812,82236,81656,81071,80486,79897
"I(1, 1, 0)",122542,478564,487996,497446,506910,516399,525885,535363,544875,554409,563965,573544,583151,592800,602474
"I(1, 1, 1)",122542,86501,85759,85014,84267,83519,82769,82015,81266,80519,79777,79038,78305,77581,76862
"I(1, 1, 2)",122542,89629,90072,90494,90894,91274,91632,91967,92286,92589,92876,93147,93405,93651,93884
"U(0, 1, 0, 0)",122542,241173,243500,245781,248015,250209,252351,254440,256496,258517,260502,262454,264375,266273,268141
"U(0, 1, 0, 1)",122542,236323,239896,243458,247008,250550,254073,257575,261075,264569,268056,271539,275019,278503,281984
"U(0, 1, 0, 2)",122542,83636,81716,79837,78000,76207,74453,72737,71065,69435,67846,66299,64793,63328,61902
"U(0, 1, 1, 0)",122542,97527,98638,99736,100818,101888,102941,103975,105000,106014,107016,108007,108988,109963,110927
"U(0, 1, 1, 1)",122542,176264,178621,180980,183339,185703,188062,190416,192780,195150,197528,199913,202309,204719,207140
"U(0, 1, 1, 2)",122542,86904,86420,85898,85341,84754,84134,83484,82811,82118,81405,80675,79930,79174,78406
"U(0, 1, 2, 0)",122542,86217,85439,84639,83817,82978,82119,81242,80355,79457,78551,77638,76721,75802,74881
"U(0, 1, 2, 1)",122542,128445,129524,130598,131665,132731,133788,134837,135889,136942,137997,139055,140117,141187,142264
"U(0, 1, 2, 2)",122542,88218,88220,88180,88100,87984,87827,87632,87408,87153,86870,86560,86225,85868,85490
"U(0, 1, 3, 0)",122542,88878,89200,89455,89646,89777,89847,89858,89820,89733,89600,89423,89206,88953,88664
"U(0, 1, 3, 1)",122542,283696,286283,288834,291349,293834,296278,298678,301060,303420,305758,308078,310382,312679,314963
"U(0, 1, 3, 2)",122542,105113,105615,106074,106623,107156,107642,108080,108480,108896,109421,109905,110348,110756,111126
"U(0, 2, 0, 0)",122542,83389,81383,79419,77495,75614,73771,71966,70204,68483,66803,65164,63566,62009,60491
"U(0, 2, 0, 1)",122542,86193,85254,84340,83448,82578,81723,80883,80061,79256,78466,77690,76929,76184,75451
"U(0, 2, 0, 2)",122542,88192,88117,88022,87905,87770,87614,87436,87244,87038,86818,86585,86341,86088,85824
"U(0, 2, 1, 0)",122542,82807,80560,78363,76217,74122,72075,70074,68124,66225,64373,62570,60815,59108,57446
"U(0, 2, 1, 1)",122542,86635,85959,85274,84581,83883,83177,82462,81746,81029,80310,79591,78872,78156,77442
"U(0, 2, 1, 2)",122542,86597,85921,85233,84532,83823,83101,82367,81628,80885,80137,79387,78633,77881,77127
"U(0, 2, 2, 0)",122542,83028,80881,78779,76721,74708,72737,70807,68924,67085,65290,63539,61831,60167,58545
"U(0, 2, 2, 1)",122542,85747,84673,83616,82573,81546,80531,79526,78538,77565,76605,75660,74729,73814,72913
"U(0, 2, 2, 2)",122542,85259,84044,82835,81630,80434,79242,78055,76880,75715,74561,73419,72290,71175,70073
"U(0, 2, 3, 0)",122542,82166,79619,77145,74740,72406,70138,67933,65796,63724,61715,59768,57882,56056,54288
"U(0, 2, 3, 1)",122542,84612,83086,81591,80123,78684,77269,75878,74516,73181,71873,70590,69334,68104,66900
"U(0, 2, 3, 2)",122542,83671,81754,79882,78054,76271,74527,72821,71158,69536,67952,66407,64900,63432,62000
"U(1, 0, 0, 0)",122542,289267,292171,295021,297813,300557,303238,305854,308432,310966,313457,315907,318319,320703,323051
"U(1, 0, 0, 1)",122542,85371,84193,83020,81855,80702,79559,78429,77319,76230,75163,74119,73099,72106,71140
