,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),215053,12614224,12717025,12817607,12916307,13012862,13107776,13201122,13292796,13382746,13471010,13557840,13642983,13726407,13808472
S(1),215039,934596,945466,956185,966776,977216,987543,997759,1007856,1017828,1027675,1037417,1047032,1056515,1065895
S(2),215039,149684,148323,146954,145581,144204,142829,141457,140089,138725,137365,136014,134669,133330,132003
"I(0, 1, 0)",215039,321775,325626,329437,333217,336958,340672,344360,348019,351646,355242,358814,362352,365857,369336
"I(0, 1, 1)",215039,143442,139314,135345,131529,127851,124308,120891,117593,114406,111325,108347,105465,102675,99975
"I(0, 1, 2)",215039,148896,147236,145572,143910,142247,140590,138939,137294,135655,134022,132400,130785,129178,127582
"I(1, 0, 0)",215039,3629075,3683149,3736868,3790315,3843400,3896257,3948896,4001275,4053365,4105167,4156746,4208014,4258948,4309650
"I(1, 0, 1)",215039,220938,224990,229042,233099,237154,241216,245285,249357,253431,257505,261585,265662,269736,273813
"I(1, 0, 2)",215039,151312,150579,149824,149052,148260,147455,146638,145808,144967,144114,143253,142382,141500,140613
"I(1, 1, 0)",215039,208598,211443,214289,217141,219994,222856,225728,228607,231493,234384,237285,240192,243102,246021
"I(1, 1, 1)",215039,143741,139729,135874,132168,128597,125157,121840,118637,115542,112549,109655,106853,104138,101509
"I(1, 1, 2)",215039,151626,151015,150378,149722,149043,148348,147639,146914,146174,145420,144655,143876,143085,142285
"U(0, 1, 0, 0)",215039,275970,278586,281157,283692,286183,288643,291071,293466,295826,298152,300449,302711,304937,307135
"U(0, 1, 0, 1)",215039,244388,247632,250850,254049,257221,260377,263517,266637,269737,272815,275876,278915,281929,284926
"U(0, 1, 0, 2)",215039,145426,142344,139314,136337,133413,130545,127733,124977,122274,119626,117032,114491,112002,109566
"U(0, 1, 1, 0)",215039,175476,177020,178546,180057,181551,183033,184505,185965,187412,188846,190271,191682,193079,194467
"U(0, 1, 1, 1)",215039,151198,150498,149752,148969,148148,147298,146422,145521,144598,143653,142693,141716,140723,139720
"U(0, 1, 1, 2)",215039,152521,152462,152307,152066,151739,151335,150860,150315,149704,149030,148298,147510,146668,145779
"U(0, 1, 2, 0)",215039,155767,156547,157445,158272,159025,159714,160340,160905,161409,161855,162248,162585,162869,163105
"U(0, 1, 2, 1)",215039,150907,150199,149408,148551,147633,146669,145666,144628,143558,142462,141345,140207,139050,137880
"U(0, 1, 2, 2)",215039,164571,165042,166036,166887,167599,168187,168667,169802,170781,171614,172311,172879,173322,173653
"U(0, 1, 3, 0)",215039,204131,205123,206060,206955,207963,208923,209839,210708,211531,212308,213045,213859,214648,215396
"U(0, 1, 3, 1)",215039,166774,167514,168159,168719,169463,170297,171029,171665,172209,173000,173904,174696,175384,175977
"U(0, 1, 3, 2)",215039,220800,221854,222830,223737,224832,225856,226813,227700,228520,229338,230356,231302,232176,232985
"U(0, 2, 0, 0)",215039,148668,146872,145090,143325,141574,139842,138130,136436,134759,133100,131460,129838,128232,126647
"U(0, 2, 0, 1)",215039,145019,141467,138079,134839,131729,128740,125863,123086,120402,117804,115288,112847,110476,108175
"U(0, 2, 0, 2)",215039,153189,153205,153176,153107,152995,152847,152667,152452,152204,151924,151616,151277,150908,150514
"U(0, 2, 1, 0)",215039,147103,144647,142235,139869,137544,135266,133032,130841,128690,126579,124509,122476,120479,118521
"U(0, 2, 1, 1)",215039,145043,141602,138286,135088,131996,129007,126114,123309,120587,117944,115377,112879,110448,108083
"U(0, 2, 1, 2)",215039,148526,146716,144908,143106,141309,139521,137745,135980,134226,132483,130754,129037,127332,125642
"U(0, 2, 2, 0)",215039,147530,145266,143035,140838,138671,136540,134444,132381,130349,128349,126381,124444,122535,120658
"U(0, 2, 2, 1)",215039,144525,140840,137300,133896,130612,127444,124384,121423,118555,115774,113076,110457,107910,105437
"U(0, 2, 2, 2)",215039,144909,141384,137995,134734,131588,128555,125626,122795,120053,117398,114825,112329,109905,107552
"U(0, 2, 3, 0)",215039,146041,143117,140263,137481,134767,132121,129544,127032,124582,122193,119865,117594,115377,113217
"U(0, 2, 3, 1)",215039,142091,137238,132629,128241,124052,120048,116216,112541,109013,105621,102359,99218,96191,93274
"U(0, 2, 3, 2)",215039,143919,139908,136074,132406,128890,125520,122287,119181,116195,113321,110556,107892,105323,102848
"U(1, 0, 0, 0)",215039,857165,866469,875631,884673,893576,902373,911067,919651,928119,936473,944730,952871,960892,968818
"U(1, 0, 0, 1)",215039,437429,443575,449679,455749,461776,467775,473747,479687,485591,491460,497300,503101,508860,514590
"U(1, 0, 0, 2)",215039,145945,143067,140235,137452,134715,132030,129395,126811,124275,121788,119351,116961,114618,112324
"U(1, 0, 1, 0)",215039,482268,488862,495409,501921,508386,514820,521226,527598,533931,540226,546492,552715,558895,565043
"U(1, 0, 1, 1)",215039,208334,211223,214111,217005,219898,222798,225705,228617,231533,234452,237377,240303,243230,246162
"U(1, 0, 1, 2)",215039,153390,153663,153834,153912,153897,153800,153625,153374,153049,152655,152197,151676,151094,150458
"U(1, 0, 2, 0)",215039,226433,229317,232197,235081,237961,240848,243741,246637,249536,252437,255344,258251,261158,264070
"U(1, 0, 2, 1)",215039,155181,156230,157127,157892,158534,159068,159507,159855,160119,160307,160426,160477,160466,160400
"U(1, 0, 2, 2)",215039,179101,180106,180962,181680,182264,182726,183463,184366,185122,185738,186225,187001,188072,188985
"U(1, 0, 3, 0)",215039,264318,266401,268469,270528,272573,274615,276655,278693,280727,282758,284791,286822,288849,290881
"U(1, 0, 3, 1)",215039,207290,208309,209257,210142,211122,212161,213135,214044,214890,215674,216402,217090,217939,218729
"U(1, 0, 3, 2)",215039,255587,256853,258036,259144,260234,261512,262716,263846,264903,265887,266805,267667,268713,269692
"U(1, 1, 0, 0)",215039,155437,156578,157584,158459,159201,159820,160319,160701,160969,161130,161189,161149,161014,160794
"U(1, 1, 0, 1)",215039,402273,406343,410393,414433,418455,422474,426491,430502,434506,438502,442497,446484,450460,454435
"U(1, 1, 0, 2)",215039,146946,144479,142040,139636,137262,134925,132626,130362,128135,125942,123788,121668,119582,117534
"U(1, 1, 1, 0)",215039,222945,224053,225056,225962,226873,228102,229231,230259,231188,232021,232765,233416,234357,235248
"U(1, 1, 1, 1)",215039,589860,594422,598934,603412,607844,612256,616651,621025,625376,629706,634027,638327,642606,646881
"U(1, 1, 1, 2)",215039,166746,167742,168672,169527,170304,171012,171654,172229,172926,173667,174340,174943,175477,175948
"U(1, 1, 2, 0)",215039,229668,230747,231746,232812,233990,235096,236131,237094,237985,238806,239668,240631,241520,242342
"U(1, 1, 2, 1)",215039,654566,658518,662370,666142,669822,673437,676992,680483,683909,687273,690588,693845,697041,700197
"U(1, 1, 2, 2)",215039,281024,282256,283821,285287,286646,287912,289088,290173,291169,292338,293525,294618,295617,296532
"U(1, 1, 3, 0)",215039,475438,477874,480204,482441,484576,486629,488604,490671,492672,494589,496432,498193,499871,501674
"U(1, 1, 3, 1)",215039,2176994,2201451,2225636,2249605,2273310,2296834,2320190,2343356,2366321,2389089,2411704,2434117,2456320,2478377
"U(1, 1, 3, 2)",215039,776752,782802,788720,794526,800204,805786,811276,816668,821958,827150,832259,837268,842178,847009
"U(1, 2, 0, 0)",215039,148374,146701,144964,143179,141352,139498,137623,135732,133830,131921,130011,128101,126192,124292
"U(1, 2, 0, 1)",215039,154957,156320,157380,158190,158785,159202,159467,159597,159608,159514,159328,159058,158710,158296
"U(1, 2, 0, 2)",215039,147559,145337,143137,140963,138812,136689,134597,132532,130495,128486,126506,124554,122629,120734
"U(1, 2, 1, 0)",215039,154257,155019,155619,156075,156393,156591,156679,156663,156549,156345,156060,155696,155257,154754
"U(1, 2, 1, 1)",215039,190583,191547,192440,193267,194026,194811,195706,196534,197297,197997,198641,199511,200337,201100
"U(1, 2, 1, 2)",215039,156233,156886,157941,158880,159703,160420,161036,161554,161977,162309,162556,162719,162800,162808
"U(1, 2, 2, 0)",215039,153470,153785,153989,154095,154109,154045,153911,153711,153448,153129,152760,152341,151876,151371
"U(1, 2, 2, 1)",215039,194933,195918,196847,197727,198554,199457,200377,201248,202070,202845,203578,204265,204930,205690
"U(1, 2, 2, 2)",215039,155233,156535,157591,158443,159118,159646,160046,160331,160514,160604,160613,160545,160406,160205
"U(1, 2, 3, 0)",215039,166031,166793,167640,168512,169324,170085,170797,171461,172078,172650,173340,174007,174623,175194
"U(1, 2, 3, 1)",215039,190692,191656,192646,193586,194475,195322,196130,196899,197630,198340,199120,199857,200553,201215
"U(1, 2, 3, 2)",215039,156482,157262,158503,159546,160418,161150,161762,162266,162677,163004,163259,163446,163572,163647
"U(2, 0, 0, 0)",215039,147580,145314,143087,140901,138753,136648,134584,132559,130574,128627,126719,124850,123016,121222
"U(2, 0, 0, 1)",215039,145014,141399,137969,134706,131587,128603,125742,122991,120343,117788,115322,112938,110630,108397
"U(2, 0, 0, 2)",215039,154216,154626,154983,155291,155550,155765,155938,156071,156162,156213,156229,156206,156146,156054
"U(2, 0, 1, 0)",215039,146049,143131,140283,137506,134795,132151,129573,127057,124600,122201,119860,117573,115337,113155
"U(2, 0, 1, 1)",215039,145877,142815,139851,136982,134197,131497,128876,126329,123850,121436,119086,116795,114560,112380
"U(2, 0, 1, 2)",215039,148566,146776,144986,143201,141418,139645,137881,136127,134382,132648,130927,129216,127517,125832
"U(2, 0, 2, 0)",215039,146513,143809,141160,138568,136028,133544,131113,128733,126401,124117,121881,119689,117540,115436
"U(2, 0, 2, 1)",215039,144513,140851,137324,133925,130640,127465,124395,121420,118535,115734,113016,110374,107804,105305
"U(2, 0, 2, 2)",215039,142205,137449,132915,128587,124444,120476,116670,113015,109499,106114,102856,99713,96681,93757
"U(2, 0, 3, 0)",215039,145127,141802,138570,135432,132380,129418,126541,123747,121031,118390,115826,113331,110906,108548
"U(2, 0, 3, 1)",215039,141443,136247,131333,126674,122240,118017,113987,110134,106445,102909,99518,96261,93131,90122
"U(2, 0, 3, 2)",215039,141591,136470,131619,127015,122634,118462,114485,110687,107056,103582,100256,97068,94011,91080
"U(2, 1, 0, 0)",215039,145641,142723,139823,136953,134113,131313,128558,125846,123180,120562,117992,115471,112997,110574
"U(2, 1, 0, 1)",215039,150421,149645,148728,147712,146617,145470,144286,143074,141841,140595,139342,138084,136823,135566
"U(2, 1, 0, 2)",215039,137941,131093,124627,118526,112766,107334,102211,97378,92819,88519,84463,80637,77026,73621
"U(2, 1, 1, 0)",215039,151115,150580,149936,149198,148372,147473,146508,145483,144403,143275,142104,140893,139645,138368
"U(2, 1, 1, 1)",215039,162685,163383,164011,164661,165483,166224,166892,167489,168251,169096,169855,170532,171131,171662
"U(2, 1, 1, 2)",215039,140437,134997,129780,124782,119993,115410,111026,106831,102819,98981,95313,91807,88454,85251
"U(2, 1, 2, 0)",215039,150425,149468,148456,147399,146301,145173,144020,142844,141648,140435,139210,137973,136724,135469
"U(2, 1, 2, 1)",215039,156798,157466,158490,159539,160438,161211,161870,162426,162888,163265,163566,163795,163956,164059
"U(2, 1, 2, 2)",215039,141175,136408,131714,127118,122633,118274,114048,109956,106000,102179,98494,94941,91517,88221
"U(2, 1, 3, 0)",215039,154723,155490,156144,156700,157164,157549,157861,158105,158286,158408,158478,158496,158466,158394
"U(2, 1, 3, 1)",215039,156661,157389,158682,159758,160649,161387,161994,162484,162869,163161,163371,163504,163566,163567
"U(2, 1, 3, 2)",215039,141806,137265,132796,128425,124166,120033,116033,112168,108438,104844,101387,98061,94864,91795
"U(2, 2, 0, 0)",215039,145182,141844,138613,135486,132450,129505,126644,123862,121154,118515,115945,113438,110990,108602
"U(2, 2, 0, 1)",215039,144422,140497,136792,133282,129941,126755,123710,120791,117986,115287,112689,110181,107757,105416
"U(2, 2, 0, 2)",215039,151066,150337,149559,148736,147869,146965,146027,145057,144055,143023,141967,140885,139778,138651
"U(2, 2, 1, 0)",215039,144263,140494,136864,133366,129988,126727,123576,120528,117576,114715,111943,109253,106642,104107
"U(2, 2, 1, 1)",215039,147076,144456,141930,139495,137141,134866,132666,130534,128466,126458,124509,122613,120766,118971
"U(2, 2, 1, 2)",215039,145232,142056,138938,135881,132883,129948,127075,124263,121511,118817,116182,113605,111082,108617
