,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),126435,1473994,1853927,2211037,2547528,2865019,3166229,3451890,3723867,3983266,4231810,4468780,4695147,4911705,5119007
S(1),126324,273820,266677,261097,256843,253711,247855,241170,235858,231758,228776,226707,225468,224979,225163
S(2),126324,107220,104381,101785,99389,97156,95100,93178,91390,89723,88178,86711,85320,84001,82748
"I(0, 1, 0)",126324,122523,119812,117350,115092,112959,111007,109192,107519,105971,104553,103213,101938,100715,99561
"I(0, 1, 1)",126324,10521,10159,9829,9525,9243,8984,8742,8518,8310,8118,7937,7766,7605,7453
"I(0, 1, 2)",126324,83419,80671,78138,75783,73576,71525,69596,67786,66084,64488,62966,61514,60129,58805
"I(1, 0, 0)",126324,387702,387811,392247,400543,412279,427286,445177,465784,488883,514370,541878,571276,602433,635209
"I(1, 0, 1)",126324,129455,126836,124655,122229,119406,116999,114936,113207,111779,110647,109460,107784,106368,105193
"I(1, 0, 2)",126324,119864,116457,113331,110438,107735,105238,102897,100714,98669,96767,94957,93236,91601,90044
"I(1, 1, 0)",126324,191053,186759,182860,179284,175969,172944,170134,167543,165146,162943,160801,158783,156882,155088
"I(1, 1, 1)",126324,15993,15497,15045,14628,14241,13885,13554,13247,12961,12697,12448,12213,11991,11782
"I(1, 1, 2)",126324,161019,156379,152111,148149,144437,140995,137758,134726,131876,129212,126668,124240,121923,119705
"U(0, 1, 0, 0)",126324,370154,369437,371607,376301,383188,392165,402916,415323,429214,444518,460931,478361,496711,515877
"U(0, 1, 0, 1)",126324,304837,297662,291265,285526,280337,275738,271523,267064,263044,259472,256216,253270,250620,247707
"U(0, 1, 0, 2)",126324,93134,90132,87370,84808,82411,80189,78103,76152,74320,72608,70979,69429,67953,66546
"U(0, 1, 1, 0)",126324,337056,335222,333491,331865,330336,329051,327948,327105,326534,326303,326297,326550,327082,327898
"U(0, 1, 1, 1)",126324,182639,178705,175202,171667,168420,165513,162871,160495,158357,156128,153942,151933,150094,148410
"U(0, 1, 1, 2)",126324,155831,151026,146600,142489,138637,135062,131698,128547,125584,122811,120164,117641,115234,112933
"U(0, 1, 2, 0)",126324,330252,326222,322398,318722,315136,311741,308443,305286,302256,299397,296588,293846,291181,288590
"U(0, 1, 2, 1)",126324,124550,121823,119377,117146,114885,112845,110973,109271,107720,106325,105010,103643,102379,101208
"U(0, 1, 2, 2)",126324,194826,188787,183222,178051,173204,168702,164466,160493,156756,153256,149913,146724,143679,140766
"U(0, 1, 3, 0)",126324,345328,346407,347358,348161,348781,349357,349806,350196,350528,350864,351075,351188,351222,351178
"U(0, 1, 3, 1)",126324,163785,159471,155541,151931,148582,145517,142669,140038,137602,135364,133257,131276,129417,127667
"U(0, 1, 3, 2)",126324,373712,388816,401272,411692,420447,427993,434439,440029,444890,449201,452877,456019,458255,459328
"U(0, 2, 0, 0)",126324,197215,192589,188143,184216,180728,177694,175026,172716,170223,167696,165450,163472,161747,160255
"U(0, 2, 0, 1)",126324,43973,43029,42153,41287,40497,39787,39140,38555,38025,37551,37041,36567,36132,35732
"U(0, 2, 0, 2)",126324,46004,44335,42796,41366,40025,38779,37606,36507,35472,34502,33577,32696,31857,31055
"U(0, 2, 1, 0)",126324,76976,75305,73819,72454,71010,69718,68547,67494,66548,65709,64941,64069,63274,62550
"U(0, 2, 1, 1)",126324,36292,35382,34558,33808,33118,32491,31915,31387,30904,30466,30057,29677,29324,28996
"U(0, 2, 1, 2)",126324,47120,45352,43720,42202,40780,39457,38213,37045,35946,34915,33932,32996,32104,31252
"U(0, 2, 2, 0)",126324,86306,84320,82541,80936,79474,78166,76954,75715,74592,73585,72659,71809,71033,70131
"U(0, 2, 2, 1)",126324,18134,17653,17217,16820,16455,16124,15818,15539,15283,15051,14835,14634,14448,14275
"U(0, 2, 2, 2)",126324,26464,25607,24818,24085,23399,22763,22165,21605,21079,20586,20117,19669,19243,18835
"U(0, 2, 3, 0)",126324,52157,51021,49943,48964,48064,47252,46505,45822,45126,44496,43908,43361,42854,42382
"U(0, 2, 3, 1)",126324,8959,8658,8383,8130,7895,7678,7477,7290,7116,6955,6804,6661,6526,6400
"U(0, 2, 3, 2)",126324,13057,12738,12445,12175,11923,11691,11474,11272,11083,10908,10741,10582,10432,10288
"U(1, 0, 0, 0)",126324,131850,128635,125702,123000,120485,118175,116019,114019,112157,110437,108806,107260,105796,104405
"U(1, 0, 0, 1)",126324,294679,288332,282689,277360,271889,266988,262533,258527,254924,251731,248431,245164,242179,239453
"U(1, 0, 0, 2)",126324,95101,92336,89795,87440,85238,83200,81287,79499,77822,76258,74767,73349,71998,70708
"U(1, 0, 1, 0)",126324,153949,149242,144916,140909,137162,133694,130440,127400,124551,121893,119364,116959,114673,112493
"U(1, 0, 1, 1)",126324,176171,172323,168859,165546,162410,159571,156957,154570,152385,150409,148442,146551,144793,143155
"U(1, 0, 1, 2)",126324,157896,153151,148783,144729,140932,137411,134100,131000,128087,125363,122765,120287,117925,115667
"U(1, 0, 2, 0)",126324,139587,135209,131174,127425,123910,120646,117574,114695,111986,109449,107027,104717,102513,100404
"U(1, 0, 2, 1)",126324,83832,81821,79996,78324,76775,75362,74052,72845,71729,70709,69748,68845,67997,67200
"U(1, 0, 2, 2)",126324,223094,216111,209674,203692,198084,192873,187969,183369,179041,174985,171113,167417,163889,160513
"U(1, 0, 3, 0)",126324,218785,212572,206853,201541,196560,191938,187588,183510,179674,176085,172654,169376,166243,163242
"U(1, 0, 3, 1)",126324,120805,117138,113767,110643,107721,105016,102477,100104,97878,95802,93825,91944,90155,88450
"U(1, 0, 3, 2)",126324,358329,363524,368406,372978,377224,381308,385154,388846,392393,395873,399144,402240,405185,407981
"U(1, 1, 0, 0)",126324,160940,155832,151131,146769,142687,138902,135347,132020,128896,125977,123196,120549,118029,115624
"U(1, 1, 0, 1)",126324,397695,416690,434831,451804,467435,481873,495024,507027,517942,527928,536854,544822,551916,558196
"U(1, 1, 0, 2)",126324,103347,100181,97275,94584,92072,89748,87572,85540,83638,81867,80184,78586,77069,75625
"U(1, 1, 1, 0)",126324,363086,369261,375364,381270,386876,392290,397393,402245,404205,399172,394316,387752,379809,372200
"U(1, 1, 1, 1)",126324,376359,386152,395759,405156,414296,423332,432152,440828,449349,457787,465963,473903,481618,489103
"U(1, 1, 1, 2)",126324,302809,294613,287088,280116,273593,267561,261897,256605,251643,247021,242612,238413,234413,230593
"U(1, 1, 2, 0)",126324,347721,348432,349377,350483,351674,353051,354498,356057,357706,359489,361253,363011,364766,366506
"U(1, 1, 2, 1)",126324,395987,414303,431487,447546,462495,476582,489766,502207,513965,525189,535732,545675,555078,563976
"U(1, 1, 2, 2)",126324,379458,392930,405373,415275,422741,429594,435769,441386,446482,451175,455329,459008,462261,465114
"U(1, 1, 3, 0)",126324,363115,368855,374579,380240,385784,391348,396827,402289,407727,413210,418578,423859,429066,434198
"U(1, 1, 3, 1)",126324,447009,477274,507258,536808,565802,594426,622531,650235,677547,704607,731167,757283,782995,808311
"U(1, 1, 3, 2)",126324,426122,454778,481454,506391,529747,551896,572849,592830,611937,630366,647953,664798,680980,696541
"U(1, 2, 0, 0)",126324,39841,38396,37063,35825,34666,33589,32577,31629,30737,29902,29106,28349,27628,26940
"U(1, 2, 0, 1)",126324,100071,97827,95793,93934,92215,90653,89206,87818,86526,85347,84237,83196,82220,81303
"U(1, 2, 0, 2)",126324,16051,15468,14932,14436,13973,13544,13142,12767,12415,12086,11775,11479,11198,10932
"U(1, 2, 1, 0)",126324,81665,78819,76194,73753,71466,69339,67338,65460,63692,62035,60453,58946,57508,56134
"U(1, 2, 1, 1)",126324,309699,302352,295660,289509,283794,278561,273688,269181,264998,261153,257515,254081,250841,247777
"U(1, 2, 1, 2)",126324,62345,60167,58162,56301,54560,52945,51428,50008,48675,47428,46242,45114,44041,43018
"U(1, 2, 2, 0)",126324,131662,127921,124478,121281,118284,115504,112888,110436,108131,105974,103912,101942,100060,98258
"U(1, 2, 2, 1)",126324,263642,257819,252542,247579,242942,238726,234822,231234,227924,224901,222052,219358,216716,214233
"U(1, 2, 2, 2)",126324,88218,85615,83223,81004,78928,77004,75197,73507,71920,70438,69025,67679,66396,65170
"U(1, 2, 3, 0)",126324,185376,181167,177330,173797,170508,167491,164674,162061,159628,157384,155251,153227,151307,149481
"U(1, 2, 3, 1)",126324,215871,211139,206885,202975,199148,195692,192517,189626,186989,184518,181982,179627,177443,175414
"U(1, 2, 3, 2)",126324,56397,55159,54022,52970,51996,51109,50285,49518,48790,48124,47496,46906,46351,45828
"U(2, 0, 0, 0)",126324,22484,21555,20700,19905,19163,18473,17826,17221,16652,16119,15613,15133,14677,14243
"U(2, 0, 0, 1)",126324,62686,61286,60024,58877,57822,56853,55907,55043,54252,53537,52868,52203,51548,50938
"U(2, 0, 0, 2)",126324,150686,146114,141903,137991,134325,130922,127720,124719,121897,119255,116733,114326,112029,109831
"U(2, 0, 1, 0)",126324,13971,13417,12906,12432,11990,11579,11194,10834,10496,10180,9879,9594,9323,9065
"U(2, 0, 1, 1)",126324,27334,26379,25502,24691,23936,23238,22586,21978,21410,20882,20381,19908,19460,19035
"U(2, 0, 1, 2)",126324,49633,47740,45992,44365,42840,41420,40083,38827,37645,36534,35475,34466,33503,32583
"U(2, 0, 2, 0)",126324,49735,48010,46419,44941,43557,42272,41063,39930,38865,37867,36916,36010,35147,34323
"U(2, 0, 2, 1)",126324,27081,26005,25014,24093,23233,22433,21683,20980,20320,19702,19115,18557,18027,17523
