,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),221806,2600479,3293663,3929554,4513877,5052513,5549621,6009128,6433898,6826919,7191642,7529958,7843594,8134335,8405970
S(1),221677,480380,470414,461893,454652,446144,436621,428546,421715,415988,407632,398735,391154,384745,379477
S(2),221677,140910,136506,132379,128503,124879,121475,118271,115241,112369,109657,107083,104631,102293,100083
"I(0, 1, 0)",221677,462119,449794,438905,429297,420902,413559,407155,401554,394331,387482,381504,376290,371756,365052
"I(0, 1, 1)",221677,43535,42365,41273,40253,39304,38418,37589,36808,36072,35381,34728,34109,33521,32970
"I(0, 1, 2)",221677,100497,96723,93183,89857,86741,83810,81048,78433,75954,73608,71381,69259,67233,65315
"I(1, 0, 0)",221677,531653,519249,506663,496079,487348,480221,468591,456939,447140,439041,432430,427126,422982,419981
"I(1, 0, 1)",221677,74248,72537,70938,69442,68052,66751,65534,64377,63272,62236,61257,60328,59445,58618
"I(1, 0, 2)",221677,248247,240518,233257,226424,220020,213989,208301,202906,197781,192928,188311,183902,179684,175688
"I(1, 1, 0)",221677,116377,113670,111140,108772,106568,104508,102577,100755,99034,97416,95886,94432,93046,91747
"I(1, 1, 1)",221677,16456,15723,15043,14409,13820,13272,12759,12279,11827,11405,11007,10632,10278,9946
"I(1, 1, 2)",221677,299784,290648,282060,273973,266390,259246,252501,246100,240015,234248,228757,223509,218485,213721
"U(0, 1, 0, 0)",221677,643688,625018,611335,601954,596387,594070,594557,597406,602286,608974,617170,626618,637116,648653
"U(0, 1, 0, 1)",221677,375007,366528,358488,350790,343667,337042,330868,325078,319640,314559,309607,304873,300399,296238
"U(0, 1, 0, 2)",221677,227371,219525,212161,205236,198747,192640,186882,181427,176251,171351,166694,162253,158011,153992
"U(0, 1, 1, 0)",221677,522708,510711,499015,488358,478738,470031,462163,454057,445472,437670,430563,424081,418177,412914
"U(0, 1, 1, 1)",221677,206713,201681,196980,192581,188491,184668,181087,177713,174527,171534,168706,166022,163469,161076
"U(0, 1, 1, 2)",221677,442875,428862,415686,403273,391627,380649,370280,360437,351079,342205,333753,325674,317939,310601
"U(0, 1, 2, 0)",221677,279469,273124,267227,261665,256272,251265,246611,242257,238179,234379,230819,227281,223901,220767
"U(0, 1, 2, 1)",221677,118054,114169,110540,107145,103982,101022,98248,95634,93168,90850,88659,86584,84613,82760
"U(0, 1, 2, 2)",221677,544882,528446,512991,498434,484779,471909,459757,448220,437249,426848,416941,407469,398398,389795
"U(0, 1, 3, 0)",221677,195496,189714,184311,179254,174543,170134,166001,162105,158429,154972,151705,148607,145664,142899
"U(0, 1, 3, 1)",221677,190126,183116,176542,170367,164585,159148,154027,149181,144590,140248,136128,132205,128464,124924
"U(0, 1, 3, 2)",221677,692821,707455,719910,730585,739915,748077,755255,761529,767021,771919,776249,780039,783340,786400
"U(0, 2, 0, 0)",221677,152995,149535,146193,143071,140181,137490,134979,132622,130405,128331,126295,124373,122553,120858
"U(0, 2, 0, 1)",221677,28279,27439,26657,25927,25250,24618,24027,23472,22950,22461,21999,21563,21150,20763
"U(0, 2, 0, 2)",221677,87241,84160,81270,78555,76012,73621,71368,69235,67213,65300,63483,61751,60098,58533
"U(0, 2, 1, 0)",221677,38432,37437,36510,35647,34847,34101,33406,32752,32138,31563,31022,30510,30025,29572
"U(0, 2, 1, 1)",221677,35141,33881,32707,31611,30591,29638,28746,27908,27118,26377,25679,25018,24392,23805
"U(0, 2, 1, 2)",221677,151220,146457,141983,137771,133823,130104,126595,123266,120103,117107,114255,111531,108924,106453
"U(0, 2, 2, 0)",221677,11198,10705,10248,9823,9430,9063,8722,8403,8104,7824,7562,7315,7082,6865
"U(0, 2, 2, 1)",221677,8302,7862,7454,7075,6723,6396,6091,5806,5539,5289,5054,4834,4627,4432
"U(0, 2, 2, 2)",221677,32930,31844,30829,29881,28997,28169,27393,26661,25971,25321,24707,24124,23569,23047
"U(0, 2, 3, 0)",221677,20271,19478,18738,18047,17404,16802,16239,15710,15211,14742,14301,13882,13486,13114
"U(0, 2, 3, 1)",221677,8858,8455,8080,7731,7405,7102,6818,6551,6300,6064,5841,5631,5432,5245
"U(0, 2, 3, 2)",221677,175886,171888,168154,164549,161209,158098,155195,152468,149902,147499,145236,143014,140906,138941
"U(1, 0, 0, 0)",221677,885549,901896,934219,980098,1037645,1105022,1180717,1263312,1351665,1444941,1542185,1642560,1745376,1850504
"U(1, 0, 0, 1)",221677,623765,615507,606511,597075,587525,577977,568556,559305,550301,541662,533387,525476,517948,510944
"U(1, 0, 0, 2)",221677,87826,85424,83181,81080,79124,77294,75578,73960,72431,70994,69634,68343,67115,65961
"U(1, 0, 1, 0)",221677,668440,674811,679503,683202,686556,689921,693616,697828,702754,708626,715506,723444,732492,742879
"U(1, 0, 1, 1)",221677,524773,513198,502560,491523,481308,471901,463242,455231,447824,440370,433171,426472,420238,414546
"U(1, 0, 1, 2)",221677,150419,145828,141537,137521,133779,130276,126991,123895,120972,118223,115625,113160,110819,108618
"U(1, 0, 2, 0)",221677,590570,577230,565047,552430,540707,529969,520151,511151,502927,495494,488592,480634,473245,466522
"U(1, 0, 2, 1)",221677,472337,461845,451477,441822,432941,424735,417147,410090,403023,396186,389812,383849,378264,373124
"U(1, 0, 2, 2)",221677,270854,261425,252586,244287,236521,229223,222354,215856,209703,203889,198375,193127,188125,183397
"U(1, 0, 3, 0)",221677,650558,650154,648921,647016,644673,641932,638871,635493,631855,628073,624136,620044,615818,611638
"U(1, 0, 3, 1)",221677,627846,619642,611782,604251,597137,590364,583910,575461,565553,556282,547559,539316,531515,524046
"U(1, 0, 3, 2)",221677,659425,659578,659593,659487,659390,659251,659076,658804,657699,654933,652237,649567,646911,644426
"U(1, 1, 0, 0)",221677,669718,672586,675287,678041,681138,684657,688701,693283,698465,704366,710961,718227,726162,734948
"U(1, 1, 0, 1)",221677,738830,766770,792913,817040,839234,859454,877775,894213,908881,921999,933612,943783,952606,960421
"U(1, 1, 0, 2)",221677,193019,186979,181324,176021,171070,166426,162062,157941,154042,150366,146885,143575,140424,137453
"U(1, 1, 1, 0)",221677,761345,796303,829024,859507,887977,914484,939161,962061,983328,1003209,1021764,1039061,1055205,1070572
"U(1, 1, 1, 1)",221677,731997,753632,774578,794825,814510,833568,852004,869743,886796,903274,919123,934307,948829,962942
"U(1, 1, 1, 2)",221677,555723,539824,524903,510877,497755,485419,473801,462798,452363,442499,433131,424200,415669,407611
"U(1, 1, 2, 0)",221677,721854,741193,759782,777560,794641,810961,826535,841308,855311,868671,881355,893351,904679,915599
"U(1, 1, 2, 1)",221677,807132,853581,898279,940962,981698,1020415,1057168,1091937,1124817,1156034,1185602,1213552,1239960,1265223
"U(1, 1, 2, 2)",221677,739164,767348,793457,817485,839652,860008,878679,895711,911228,925449,938410,950161,960650,966079
"U(1, 1, 3, 0)",221677,793568,833198,871950,909654,946385,982039,1016614,1050033,1082324,1113647,1143960,1173242,1201515,1229125
"U(1, 1, 3, 1)",221677,865815,924484,982583,1039887,1096471,1152216,1207117,1261077,1314119,1366424,1417927,1468588,1518416,1567828
"U(1, 1, 3, 2)",221677,772423,807134,840468,872525,903563,933610,962756,990991,1018383,1045113,1071158,1096512,1121204,1145556
"U(1, 2, 0, 0)",221677,325246,317760,310834,304419,298521,292812,287336,282239,277489,273090,268994,264763,260687,256929
"U(1, 2, 0, 1)",221677,140832,137314,134031,130963,128113,125452,122963,120620,118413,116343,114390,112540,110784,109142
"U(1, 2, 0, 2)",221677,23264,22389,21572,20808,20096,19429,18804,18216,17661,17138,16645,16177,15733,15315
"U(1, 2, 1, 0)",221677,427161,417553,408132,399375,391293,383797,376837,370333,364198,358126,352445,347107,342084,337437
