,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),122650,1426653,1801985,2160353,2503137,2831901,3146858,3449716,3740991,4021490,4291577,4552404,4803638,5045829,5279779
S(1),122542,310604,305390,301504,298857,297398,296955,297534,299035,301402,304558,308491,313094,318330,324183
S(2),122542,222434,218967,215748,212527,209507,206660,204029,201577,199294,197112,194911,192827,190857,189009
"I(0, 1, 0)",122542,319575,315362,313028,312440,313510,316027,319968,325204,331651,339203,347832,357401,367853,379157
"I(0, 1, 1)",122542,205839,202378,199209,196317,193710,191308,188872,186426,184191,182140,180284,178579,176886,174907
"I(0, 1, 2)",122542,271392,267085,263047,259246,255640,252208,249002,245979,243129,240421,237813,235304,232899,230609
"I(1, 0, 0)",122542,328622,325991,325602,327300,330978,336396,343520,352201,362340,373815,386587,400500,415486,431505
"I(1, 0, 1)",122542,216341,212656,209298,206251,203520,201023,198797,196094,193575,191271,189193,187294,185568,183831
"I(1, 0, 2)",122542,103667,101493,99447,97523,95723,94010,92401,90878,89437,88065,86769,85527,84337,83202
"I(1, 1, 0)",122542,298696,294151,290000,286237,282254,278373,274805,271513,268494,265724,263233,260964,258923,257125
"I(1, 1, 1)",122542,149942,147536,145207,143059,141098,139268,137596,136016,134308,132717,131251,129878,128596,127410
"I(1, 1, 2)",122542,229297,224928,220802,216906,213250,209751,206451,203312,200326,197466,194749,192126,189596,187166
"U(0, 1, 0, 0)",122542,271918,266808,262488,258895,256000,253663,249038,244787,241224,238274,235919,234064,232675,231731
"U(0, 1, 0, 1)",122542,307144,305046,302869,300650,298453,296205,294002,291826,289691,287587,285559,283560,281602,279715
"U(0, 1, 0, 2)",122542,54731,53837,52990,52203,51480,50799,50170,49584,48998,48434,47909,47414,46946,46507
"U(0, 1, 1, 0)",122542,208936,205529,202417,199583,197034,194429,191821,189437,187265,185278,183485,181548,179457,177539
"U(0, 1, 1, 1)",122542,310531,308837,307267,305815,304509,303241,302083,300992,299963,298967,298037,297110,296189,295293
"U(0, 1, 1, 2)",122542,75450,73887,72424,71054,69781,68576,67451,66393,65399,64459,63577,62739,61941,61187
"U(0, 1, 2, 0)",122542,107767,106104,104509,102947,101514,100169,98931,97781,96630,95477,94410,93404,92457,91573
"U(0, 1, 2, 1)",122542,312488,311823,311121,310398,309703,308943,308205,307456,306703,305925,305162,304355,303513,302661
"U(0, 1, 2, 2)",122542,91504,89190,87007,84946,83011,81165,79423,77770,76200,74701,73279,71913,70603,69351
"U(0, 1, 3, 0)",122542,94852,92642,90564,88611,86783,85046,83415,81873,80414,79028,77718,76465,75267,74127
"U(0, 1, 3, 1)",122542,328587,332910,337105,341194,345234,349128,352975,356744,360444,364054,367623,371083,374447,377744
"U(0, 1, 3, 2)",122542,238675,233595,228793,224253,219985,215901,212043,208370,204873,201524,198337,195264,192302,189458
"U(0, 2, 0, 0)",122542,38343,37641,36985,36372,35803,35264,34762,34290,33846,33426,33032,32656,32297,31957
"U(0, 2, 0, 1)",122542,125360,123357,121490,119753,118138,116526,115031,113631,112322,111089,109940,108746,107602,106522
"U(0, 2, 0, 2)",122542,124665,121614,118722,115979,113390,110906,108550,106300,104149,102082,100107,98198,96353,94575
"U(0, 2, 1, 0)",122542,12292,11882,11498,11138,10801,10482,10183,9901,9635,9383,9145,8919,8704,8499
"U(0, 2, 1, 1)",122542,81611,79620,77740,75964,74294,72699,71192,69760,68398,67096,65858,64667,63523,62425
"U(0, 2, 1, 2)",122542,63498,61624,59849,58166,56575,55053,53608,52228,50911,49647,48439,47275,46152,45072
"U(0, 2, 2, 0)",122542,11758,11319,10907,10520,10157,9814,9491,9186,8898,8625,8367,8121,7887,7664
"U(0, 2, 2, 1)",122542,73540,71852,70261,68761,67355,66014,64752,63555,62419,61335,60309,59323,58378,57475
"U(0, 2, 2, 2)",122542,36879,35667,34520,33435,32410,31432,30504,29621,28779,27973,27204,26465,25754,25072
"U(0, 2, 3, 0)",122542,8041,7715,7409,7122,6852,6597,6357,6130,5916,5712,5519,5336,5161,4995
"U(0, 2, 3, 1)",122542,49518,48376,47302,46292,45346,44446,43599,42798,42040,41318,40635,39980,39353,38755
"U(0, 2, 3, 2)",122542,23245,22485,21768,21091,20454,19847,19272,18727,18208,17713,17242,16790,16356,15941
"U(1, 0, 0, 0)",122542,268716,263863,259918,256806,254487,250498,245487,241353,238027,235425,233515,232196,231426,231175
"U(1, 0, 0, 1)",122542,149130,146795,144630,142549,140534,138640,136896,135273,133766,132236,130731,129311,127972,126720
"U(1, 0, 0, 2)",122542,20573,20116,19687,19283,18906,18548,18211,17893,17592,17306,17036,16777,16528,16292
"U(1, 0, 1, 0)",122542,241493,237830,234507,231095,227593,224360,221436,218777,216371,214186,211738,209366,207186,205203
"U(1, 0, 1, 1)",122542,171313,168272,165421,162748,160262,157900,155693,153613,151652,149791,148041,146367,144766,143245
"U(1, 0, 1, 2)",122542,26028,25239,24498,23800,23144,22522,21936,21381,20855,20355,19881,19428,18994,18580
"U(1, 0, 2, 0)",122542,188509,185387,182487,179798,177326,175002,172859,170798,168745,166820,165035,163349,161759,160182
"U(1, 0, 2, 1)",122542,183965,179612,175500,171616,167963,164474,161179,158045,155064,152214,149504,146896,144388,141984
"U(1, 0, 2, 2)",122542,52708,50873,49140,47501,45956,44483,43089,41763,40500,39295,38147,37045,35989,34977
"U(1, 0, 3, 0)",122542,233904,228849,224085,219594,215384,211369,207589,204004,200602,197357,194282,191329,188494,185784
"U(1, 0, 3, 1)",122542,324200,327719,330933,333892,336671,339193,341570,343783,345850,347758,349563,351205,352702,353796
"U(1, 0, 3, 2)",122542,159113,154651,150420,146408,142615,138982,135532,132238,129090,126069,123180,120393,117704,115115
"U(1, 1, 0, 0)",122542,90855,89395,88029,86750,85563,84435,83357,82327,81357,80438,79574,78748,77957,77202
"U(1, 1, 0, 1)",122542,191789,187991,184413,181045,177893,174886,172059,169381,166841,164419,162126,159922,157806,155782
"U(1, 1, 0, 2)",122542,11960,11600,11262,10945,10648,10367,10102,9852,9615,9391,9178,8975,8782,8597
"U(1, 1, 1, 0)",122542,138269,135324,132553,129944,127502,125176,122990,120919,118957,117088,115319,113621,111993,110438
"U(1, 1, 1, 1)",122542,328998,333391,337682,341869,345990,349931,353781,357496,361080,364503,367814,370938,373886,376688
"U(1, 1, 1, 2)",122542,49052,47730,46483,45307,44200,43145,42149,41203,40304,39445,38629,37845,37092,36371
"U(1, 1, 2, 0)",122542,204593,199207,194107,189275,184716,180353,176218,172274,168512,164905,161464,158146,154949,151875
