,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),215053,2557138,3225346,3865194,4478940,5067220,5632631,6176848,6701500,7207946,7696661,8168093,8624029,9065722,9492452
S(1),215039,503060,498763,487845,475085,464909,457167,451645,448156,446527,446557,448078,451013,455266,460658
S(2),215039,214093,210516,207214,204149,201241,198515,195916,193400,191041,188808,186679,184669,182777,180933
"I(0, 1, 0)",215039,466716,458138,450495,443677,437485,431958,427048,421456,415969,411037,406595,402656,399203,394429
"I(0, 1, 1)",215039,81031,79663,78413,77265,76187,75188,74145,73167,72262,71416,70621,69881,69195,68480
"I(0, 1, 2)",215039,93947,91107,88439,85922,83519,81236,79066,77002,75035,73153,71344,69612,67954,66356
"I(1, 0, 0)",215039,595030,593704,596882,604210,615225,629799,647713,668778,692810,719569,748845,780571,814645,850806
"I(1, 0, 1)",215039,250104,245362,241228,237637,234480,231772,229441,225691,222395,219503,216978,214822,213022,211366
"I(1, 0, 2)",215039,199203,194826,190743,186915,183265,179814,176549,173460,170534,167743,165068,162518,160093,157757
"I(1, 1, 0)",215039,468726,461058,454039,447248,440663,434533,428832,423539,418628,414035,409127,404513,400208,396127
"I(1, 1, 1)",215039,64389,63251,62210,61252,60354,59522,58752,58040,57383,56674,56000,55372,54790,54242
"I(1, 1, 2)",215039,182609,177869,173416,169214,165190,161362,157718,154247,150935,147758,144696,141757,138940,136213
"U(0, 1, 0, 0)",215039,477875,469748,462527,456101,450267,444420,438078,432396,427325,422779,418692,413629,408507,403859
"U(0, 1, 0, 1)",215039,417197,410580,404679,399096,392677,386830,381520,376721,372402,368497,364397,360072,356159,352579
"U(0, 1, 0, 2)",215039,64842,63403,62069,60827,59650,58545,57507,56532,55616,54749,53925,53145,52410,51707
"U(0, 1, 1, 0)",215039,511640,503246,495522,488119,481014,474369,468154,462350,456927,451707,446447,441490,436836,432394
"U(0, 1, 1, 1)",215039,298555,293626,289128,285004,281041,276958,273171,269665,266421,263396,260558,257777,254965,252313
"U(0, 1, 1, 2)",215039,120972,117483,114215,111142,108215,105444,102817,100327,97964,95709,93549,91489,89525,87637
"U(0, 1, 2, 0)",215039,371897,365514,359610,354117,348896,343992,339383,335057,330991,327136,323455,319971,316684,313456
"U(0, 1, 2, 1)",215039,170747,167421,164345,161487,158781,156245,153869,151644,149559,147591,145721,143959,142304,140726
"U(0, 1, 2, 2)",215039,195611,189806,184349,179198,174273,169593,165138,160898,156856,152983,149259,145690,142272,138973
"U(0, 1, 3, 0)",215039,548312,545842,543524,541311,539033,536798,534610,532477,530397,525799,520086,514552,507940,501548
"U(0, 1, 3, 1)",215039,295408,288352,281745,275527,269583,263946,258593,253510,248677,244053,239607,235354,231291,227369
"U(0, 1, 3, 2)",215039,533824,532644,524620,516967,507803,497410,487502,478056,469034,460364,451988,443938,436208,428708
"U(0, 2, 0, 0)",215039,143821,140783,137955,135308,132789,130411,128166,126046,124042,122134,120308,118570,116920,115332
"U(0, 2, 0, 1)",215039,95407,93785,92294,90919,89622,88413,87288,86170,85092,84079,83121,82224,81386,80590
"U(0, 2, 0, 2)",215039,215135,209605,204409,199505,194807,190339,186083,182029,178160,174448,170869,167433,164139,160950
"U(0, 2, 1, 0)",215039,94665,92377,90244,88244,86342,84545,82847,81242,79723,78277,76894,75577,74326,73123
"U(0, 2, 1, 1)",215039,57044,55535,54131,52818,51572,50399,49294,48252,47270,46338,45449,44607,43810,43048
"U(0, 2, 1, 2)",215039,83479,80828,78338,75988,73744,71612,69585,67656,65818,64059,62369,60750,59201,57707
"U(0, 2, 2, 0)",215039,89977,87550,85278,83141,81105,79176,77347,75612,73966,72393,70885,69446,68072,66750
"U(0, 2, 2, 1)",215039,42263,40896,39616,38412,37268,36186,35162,34192,33271,32395,31556,30757,29996,29266
"U(0, 2, 2, 2)",215039,55816,54079,52449,50912,49445,48053,46730,45473,44275,43130,42030,40977,39971,39000
"U(0, 2, 3, 0)",215039,94304,92061,89964,87995,86115,84336,82649,81050,79532,78082,76690,75360,74091,72867
"U(0, 2, 3, 1)",215039,23509,22707,21957,21253,20585,19953,19356,18791,18255,17746,17259,16795,16354,15931
"U(0, 2, 3, 2)",215039,79499,77563,75749,74040,72405,70853,69378,67975,66638,65358,64124,62942,61810,60715
"U(1, 0, 0, 0)",215039,545054,536286,529547,524632,521240,519347,518843,519634,521623,524671,528662,533580,539380,545907
"U(1, 0, 0, 1)",215039,538292,535592,532104,528015,523346,518356,513169,507893,502335,496929,491816,486941,481994,477179
"U(1, 0, 0, 2)",215039,90801,89111,87553,86108,84741,83464,82269,81152,80107,79122,78188,77309,76484,75698
"U(1, 0, 1, 0)",215039,543174,539810,536469,533150,529725,526335,523014,519798,516708,513712,510794,508026,505442,502969
"U(1, 0, 1, 1)",215039,484534,476517,469180,462438,456108,449728,443600,437904,432613,427661,423001,418328,413788,409487
"U(1, 0, 1, 2)",215039,156171,152206,148504,145032,141728,138606,135655,132865,130224,127710,125305,123016,120842,118754
"U(1, 0, 2, 0)",215039,537258,531582,526119,520887,515716,510704,505848,501152,496609,492164,487292,482367,477459,472780
"U(1, 0, 2, 1)",215039,349620,343950,338752,333598,328678,324091,319815,315836,312133,308574,304981,301610,298460,295469
"U(1, 0, 2, 2)",215039,230001,223413,217228,211396,205826,200537,195510,190730,186180,181825,177642,173638,169810,166118
"U(1, 0, 3, 0)",215039,559047,560562,562005,563347,564433,565389,566233,566988,567664,568212,568603,568907,569154,569254
"U(1, 0, 3, 1)",215039,539227,541704,543471,539881,533121,524544,516442,508793,501564,494678,488078,481799,475840,470103
"U(1, 0, 3, 2)",215039,566528,571926,576611,580663,584000,586821,589197,591196,589411,582558,575851,568171,558993,550087
"U(1, 1, 0, 0)",215039,231943,227124,222639,218445,214450,210682,207124,203766,200592,197571,194677,191925,189312,186799
"U(1, 1, 0, 1)",215039,607276,625986,643804,660576,676047,690344,703490,715543,726549,736493,745381,753354,760502,766754
"U(1, 1, 0, 2)",215039,93688,91664,89788,88041,86385,84831,83371,82000,80713,79495,78336,77241,76210,75225
"U(1, 1, 1, 0)",215039,502266,492356,481598,471480,461808,452637,443933,435671,427820,420309,413087,406181,399587,393219
"U(1, 1, 1, 1)",215039,625056,646781,668142,689063,709311,729008,748151,766755,784821,802274,819061,835279,850969,866000
