,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),126435,5778584,5848556,5916833,5983453,6048453,6111872,6173744,6234105,6292989,6350431,6406462,6461116,6514423,6566415
S(1),126324,296055,298168,300391,302711,305119,307603,310156,312770,315436,318150,320903,323692,326510,329354
S(2),126324,80452,79547,78658,77787,76931,76092,75268,74461,73668,72891,72129,71381,70648,69929
"I(0, 1, 0)",126324,74776,73871,73000,72162,71355,70579,69832,69114,68423,67758,67119,66505,65915,65348
"I(0, 1, 1)",126324,36677,35229,33858,32558,31322,30147,29028,27961,26943,25971,25043,24155,23307,22495
"I(0, 1, 2)",126324,78342,77352,76375,75412,74462,73526,72602,71691,70793,69907,69034,68172,67322,66484
"I(1, 0, 0)",126324,1901510,1930574,1959926,1989545,2019410,2049502,2079801,2110289,2140948,2171760,2202710,2233780,2264957,2296224
"I(1, 0, 1)",126324,111728,111814,111991,112253,112592,113006,113489,114038,114650,115321,116049,116830,117663,118546
"I(1, 0, 2)",126324,89026,88177,87339,86512,85695,84888,84091,83304,82527,81760,81002,80255,79516,78787
"I(1, 1, 0)",126324,105493,104928,104371,103820,103277,102741,102213,101693,101181,100677,100181,99693,99213,98742
"I(1, 1, 1)",126324,38655,37226,35874,34592,33374,32216,31114,30064,29063,28107,27194,26321,25487,24689
"I(1, 1, 2)",126324,104836,104136,103440,102747,102058,101372,100691,100012,99338,98666,97999,97335,96675,96018
"U(0, 1, 0, 0)",126324,991059,1003160,1015369,1027670,1040051,1052498,1064999,1077541,1090114,1102707,1115310,1127913,1140508,1153085
"U(0, 1, 0, 1)",126324,179537,180630,181661,182647,183604,184541,185467,186387,187307,188231,189161,190101,191053,192017
"U(0, 1, 0, 2)",126324,86230,85357,84476,83590,82701,81809,80916,80023,79132,78242,77356,76473,75595,74722
"U(0, 1, 1, 0)",126324,486957,493619,500302,507008,513741,520503,527296,534123,540984,547880,554812,561781,568787,575829
"U(0, 1, 1, 1)",126324,102956,102640,102369,102141,101951,101799,101681,101596,101544,101521,101528,101563,101625,101713
"U(0, 1, 1, 2)",126324,109433,108730,108026,107320,106613,105903,105192,104480,103766,103051,102335,101617,100899,100179
"U(0, 1, 2, 0)",126324,227317,229432,231557,233694,235845,238012,240197,242400,244624,246869,249137,251428,253744,256084
"U(0, 1, 2, 1)",126324,87591,87024,86404,85746,85060,84356,83639,82915,82187,81459,80734,80014,79301,78597
"U(0, 1, 2, 2)",126324,134315,133990,133592,133132,132617,132053,131445,130798,130117,129405,128665,127900,127113,126306
"U(0, 1, 3, 0)",126324,236700,238268,239811,241332,242834,244320,245792,247252,248702,250145,251582,253015,254445,255875
"U(0, 1, 3, 1)",126324,114005,113535,113012,112447,111847,111219,110568,109897,109210,108510,107798,107078,106350,105617
"U(0, 1, 3, 2)",126324,280048,281635,283032,284270,285371,286354,287229,288008,288698,289308,289843,290309,290710,291051
"U(0, 2, 0, 0)",126324,132642,132889,133188,133536,133932,134374,134859,135388,135957,136565,137211,137893,138610,139361
"U(0, 2, 0, 1)",126324,44104,42743,41481,40304,39202,38169,37198,36283,35422,34609,33841,33116,32431,31784
"U(0, 2, 0, 2)",126324,60767,59579,58426,57305,56216,55156,54125,53120,52141,51186,50254,49346,48458,47592
"U(0, 2, 1, 0)",126324,58049,57012,56029,55099,54217,53382,52592,51845,51139,50471,49841,49247,48687,48160
"U(0, 2, 1, 1)",126324,50163,48917,47717,46562,45449,44377,43342,42344,41381,40452,39554,38687,37850,37041
"U(0, 2, 1, 2)",126324,64234,63106,61997,60907,59837,58786,57754,56740,55745,54767,53808,52865,51940,51031
"U(0, 2, 2, 0)",126324,62662,61658,60704,59796,58932,58110,57329,56586,55880,55209,54572,53968,53396,52853
"U(0, 2, 2, 1)",126324,37804,36302,34905,33601,32378,31227,30142,29117,28147,27228,26356,25527,24740,23991
"U(0, 2, 2, 2)",126324,42663,41243,39906,38644,37450,36319,35244,34223,33252,32326,31443,30600,29796,29026
"U(0, 2, 3, 0)",126324,49956,48716,47536,46413,45343,44325,43355,42430,41548,40706,39904,39139,38409,37712
"U(0, 2, 3, 1)",126324,33284,31742,30305,28960,27697,26510,25391,24334,23335,22390,21495,20647,19842,19078
"U(0, 2, 3, 2)",126324,28402,26657,25091,23671,22376,21189,20098,19093,18164,17306,16511,15774,15090,14455
"U(1, 0, 0, 0)",126324,85547,84743,83951,83173,82408,81657,80921,80199,79492,78799,78121,77457,76808,76172
"U(1, 0, 0, 1)",126324,163420,164164,164852,165501,166123,166725,167317,167902,168486,169073,169665,170265,170875,171496
"U(1, 0, 0, 2)",126324,77404,76435,75486,74556,73645,72753,71878,71022,70182,69360,68554,67763,66988,66228
"U(1, 0, 1, 0)",126324,118155,117660,117110,116512,115871,115191,114479,113736,112966,112173,111359,110527,109679,108818
"U(1, 0, 1, 1)",126324,94980,94389,93829,93297,92791,92311,91855,91422,91010,90619,90249,89898,89565,89251
"U(1, 0, 1, 2)",126324,109649,108981,108305,107623,106935,106241,105543,104840,104133,103422,102709,101993,101274,100554
"U(1, 0, 2, 0)",126324,101633,100835,100046,99265,98491,97725,96964,96209,95459,94714,93974,93238,92505,91777
"U(1, 0, 2, 1)",126324,68077,67046,66046,65078,64139,63228,62345,61489,60659,59853,59072,58313,57577,56863
"U(1, 0, 2, 2)",126324,149524,149313,149023,148664,148242,147763,147232,146655,146035,145376,144682,143954,143197,142413
"U(1, 0, 3, 0)",126324,126322,125846,125361,124869,124370,123865,123354,122837,122315,121787,121255,120719,120178,119633
"U(1, 0, 3, 1)",126324,94935,94143,93345,92543,91739,90933,90126,89321,88516,87713,86913,86116,85322,84531
"U(1, 0, 3, 2)",126324,289114,290644,292107,293505,294842,296120,297343,298511,299627,300692,301709,302678,303602,304481
"U(1, 1, 0, 0)",126324,123472,122938,122369,121766,121130,120463,119767,119044,118294,117521,116726,115911,115078,114227
"U(1, 1, 0, 1)",126324,362969,365768,368482,371093,373594,375984,378262,380434,382501,384470,386346,388134,389839,391466
"U(1, 1, 0, 2)",126324,90075,89243,88405,87562,86714,85863,85009,84154,83298,82442,81587,80734,79883,79036
