,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),221806,7168983,7251641,7330764,7406492,7478957,7548285,7614594,7677999,7738607,7796521,7851841,7904659,7955068,8003153
S(1),221677,331748,332495,333394,334428,335583,336845,338203,339645,341162,342744,344385,346075,347809,349579
S(2),221677,129200,127383,125600,123850,122132,120446,118791,117167,115573,114009,112474,110967,109489,108038
"I(0, 1, 0)",221677,278580,278718,278980,279357,279838,280412,281072,281810,282617,283488,284415,285393,286415,287478
"I(0, 1, 1)",221677,73953,71489,69146,66915,64788,62759,60822,58971,57202,55509,53890,52340,50856,49434
"I(0, 1, 2)",221677,121010,119050,117123,115229,113368,111538,109739,107971,106233,104524,102844,101193,99570,97974
"I(1, 0, 0)",221677,410144,411977,413949,416045,418252,420557,422950,425419,427956,430551,433195,435882,438603,441353
"I(1, 0, 1)",221677,80806,78456,76224,74103,72085,70164,68333,66587,64922,63334,61817,60369,58987,57666
"I(1, 0, 2)",221677,174304,172926,171555,170192,168836,167487,166146,164813,163488,162170,160860,159558,158264,156979
"I(1, 1, 0)",221677,98542,96460,94463,92549,90711,88947,87254,85628,84066,82565,81123,79738,78407,77129
"I(1, 1, 1)",221677,69418,66870,64441,62121,59904,57783,55751,53804,51937,50145,48425,46773,45185,43659
"I(1, 1, 2)",221677,191737,190548,189359,188171,186984,185798,184614,183431,182250,181071,179893,178718,177545,176374
"U(0, 1, 0, 0)",221677,767572,773405,779395,785518,791747,798061,804439,810864,817319,823787,830256,836711,843143,849539
"U(0, 1, 0, 1)",221677,187301,186783,186170,185489,184760,183998,183215,182420,181622,180825,180034,179253,178487,177736
"U(0, 1, 0, 2)",221677,188148,186944,185686,184379,183027,181638,180214,178759,177278,175773,174248,172705,171147,169575
"U(0, 1, 1, 0)",221677,297695,298762,299825,300893,301971,303064,304177,305312,306472,307656,308867,310105,311369,312660
"U(0, 1, 1, 1)",221677,143553,142038,140545,139075,137628,136207,134810,133438,132091,130769,129472,128200,126953,125731
"U(0, 1, 1, 2)",221677,264464,263982,263434,262824,262154,261428,260650,259821,258945,258024,257060,256056,255014,253936
"U(0, 1, 2, 0)",221677,160133,159112,158060,156988,155904,154817,153732,152653,151583,150527,149485,148462,147457,146473
"U(0, 1, 2, 1)",221677,133373,131733,130056,128354,126637,124911,123182,121455,119733,118020,116317,114626,112950,111289
"U(0, 1, 2, 2)",221677,300918,300999,300953,300791,300523,300159,299706,299170,298558,297875,297127,296317,295449,294528
"U(0, 1, 3, 0)",221677,162488,161141,159754,158336,156895,155435,153963,152481,150993,149501,148009,146518,145031,143548
"U(0, 1, 3, 1)",221677,181423,180245,178958,177584,176139,174634,173079,171482,169849,168186,166498,164788,163060,161318
"U(0, 1, 3, 2)",221677,546614,550271,553755,557083,560267,563319,566248,569061,571766,574369,576874,579286,581610,583849
"U(0, 2, 0, 0)",221677,103770,101747,99831,98015,96292,94656,93101,91623,90218,88881,87610,86400,85250,84156
"U(0, 2, 0, 1)",221677,67047,64375,61876,59529,57317,55228,53249,51373,49591,47897,46284,44749,43285,41888
"U(0, 2, 0, 2)",221677,106423,104279,102206,100200,98257,96373,94545,92770,91045,89368,87737,86149,84603,83097
"U(0, 2, 1, 0)",221677,71678,69170,66793,64535,62388,60343,58394,56534,54759,53063,51442,49892,48409,46990
"U(0, 2, 1, 1)",221677,78550,76096,73754,71515,69372,67318,65346,63453,61632,59882,58196,56574,55010,53503
"U(0, 2, 1, 2)",221677,126878,124969,123122,121334,119600,117919,116286,114700,113158,111658,110198,108775,107389,106037
"U(0, 2, 2, 0)",221677,62705,60028,57502,55114,52851,50702,48660,46717,44866,43101,41418,39810,38275,36808
"U(0, 2, 2, 1)",221677,61826,59130,56590,54188,51914,49755,47704,45752,43893,42120,40429,38815,37273,35799
"U(0, 2, 2, 2)",221677,72699,70177,67782,65504,63334,61264,59287,57398,55591,53861,52204,50617,49094,47634
"U(0, 2, 3, 0)",221677,66844,64209,61720,59364,57130,55008,52991,51070,49240,47494,45828,44237,42716,41262
"U(0, 2, 3, 1)",221677,57425,54608,51982,49524,47217,45047,43001,41069,39243,37515,35878,34325,32852,31454
"U(0, 2, 3, 2)",221677,106064,103913,101929,100093,98389,96807,95333,93960,92680,91484,90368,89325,88351,87440
