,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),122650,6681873,6767355,6851300,6933736,7014688,7094183,7172246,7248902,7324176,7398092,7470674,7541945,7611927,7680643
S(1),122542,646111,655347,664699,674162,683730,693399,703163,713018,722960,732983,743084,753258,763501,773809
S(2),122542,116826,116677,116546,116431,116334,116255,116192,116147,116118,116107,116113,116136,116176,116232
"I(0, 1, 0)",122542,896689,909877,923215,936695,950307,964045,977901,991866,1005933,1020096,1034346,1048679,1063087,1077563
"I(0, 1, 1)",122542,124796,125039,125314,125622,125961,126332,126735,127168,127632,128127,128652,129207,129791,130404
"I(0, 1, 2)",122542,132414,132242,132073,131907,131742,131581,131421,131265,131112,130961,130814,130670,130529,130392
"I(1, 0, 0)",122542,1148013,1165679,1183536,1201575,1219786,1238158,1256681,1275347,1294145,1313067,1332105,1351249,1370492,1389826
"I(1, 0, 1)",122542,141231,141874,142555,143274,144030,144823,145653,146519,147423,148362,149337,150347,151393,152473
"I(1, 0, 2)",122542,82801,81954,81119,80298,79489,78692,77907,77135,76374,75626,74889,74164,73450,72748
"I(1, 1, 0)",122542,348128,353425,358805,364268,369815,375447,381164,386967,392855,398829,404890,411036,417268,423586
"I(1, 1, 1)",122542,89549,89017,88509,88026,87568,87135,86725,86339,85976,85637,85321,85028,84757,84509
"I(1, 1, 2)",122542,125699,125342,124984,124624,124263,123901,123537,123173,122808,122442,122076,121709,121342,120974
"U(0, 1, 0, 0)",122542,244068,245672,247332,249044,250805,252611,254458,256343,258262,260212,262190,264194,266220,268267
"U(0, 1, 0, 1)",122542,227286,229288,231295,233311,235337,237375,239427,241494,243579,245681,247803,249944,252107,254291
"U(0, 1, 0, 2)",122542,54205,53092,52019,50984,49986,49024,48096,47201,46339,45508,44708,43936,43192,42476
"U(0, 1, 1, 0)",122542,121149,121179,121224,121286,121365,121462,121577,121711,121864,122036,122227,122438,122669,122918
"U(0, 1, 1, 1)",122542,202098,203275,204458,205646,206840,208040,209247,210460,211681,212910,214146,215392,216646,217911
"U(0, 1, 1, 2)",122542,73096,72169,71252,70346,69451,68567,67695,66835,65987,65152,64329,63519,62721,61937
"U(0, 1, 2, 0)",122542,75108,74313,73535,72776,72035,71312,70607,69921,69252,68601,67969,67354,66757,66178
"U(0, 1, 2, 1)",122542,181132,181660,182172,182668,183152,183623,184082,184532,184972,185405,185830,186249,186662,187070
"U(0, 1, 2, 2)",122542,85497,84641,83786,82934,82084,81238,80396,79557,78723,77894,77070,76251,75437,74630
"U(0, 1, 3, 0)",122542,87553,86746,85934,85119,84301,83482,82661,81841,81021,80202,79386,78573,77762,76956
"U(0, 1, 3, 1)",122542,319583,322086,324562,327012,329436,331836,334211,336563,338893,341201,343487,345754,348000,350227
