,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),215053,12523643,12685308,12844427,13001035,13155168,13306862,13456151,13603070,13747653,13889933,14029944,14167718,14303287,14436684
S(1),215039,795089,804106,813312,822693,832234,841922,851744,861689,871745,881901,892149,902478,912880,923346
S(2),215039,141587,140196,138838,137513,136221,134960,133730,132530,131361,130221,129110,128028,126974,125947
"I(0, 1, 0)",215039,328177,329999,331889,333844,335861,337938,340073,342263,344505,346798,349140,351528,353959,356433
"I(0, 1, 1)",215039,85158,83086,81106,79212,77399,75664,74002,72410,70884,69421,68018,66674,65384,64148
"I(0, 1, 2)",215039,115420,113557,111727,109930,108165,106432,104730,103058,101416,99803,98219,96663,95134,93632
"I(1, 0, 0)",215039,2637444,2681299,2725644,2770457,2815720,2861412,2907514,2954007,3000873,3048094,3095652,3143531,3191713,3240183
"I(1, 0, 1)",215039,201824,202394,203086,203894,204813,205841,206972,208203,209532,210954,212468,214070,215758,217528
"I(1, 0, 2)",215039,150479,149043,147628,146233,144858,143502,142166,140848,139550,138269,137007,135764,134538,133329
"I(1, 1, 0)",215039,250261,250884,251540,252229,252951,253706,254494,255316,256172,257061,257985,258942,259933,260958
"I(1, 1, 1)",215039,83771,81639,79595,77636,75756,73951,72216,70550,68947,67406,65923,64496,63123,61801
"I(1, 1, 2)",215039,150715,149208,147717,146242,144782,143337,141908,140493,139094,137708,136338,134981,133638,132309
"U(0, 1, 0, 0)",215039,310858,312033,313262,314542,315872,317248,318669,320131,321631,323169,324741,326346,327981,329644
"U(0, 1, 0, 1)",215039,260340,261457,262577,263710,264862,266038,267243,268480,269752,271060,272407,273793,275219,276685
"U(0, 1, 0, 2)",215039,89877,87837,85858,83938,82076,80270,78519,76820,75172,73574,72024,70521,69062,67648
"U(0, 1, 1, 0)",215039,248854,249083,249300,249505,249702,249892,250079,250263,250446,250630,250816,251005,251199,251399
"U(0, 1, 1, 1)",215039,168112,167300,166516,165759,165030,164329,163657,163013,162398,161812,161254,160725,160225,159754
"U(0, 1, 1, 2)",215039,135950,134313,132677,131045,129416,127793,126176,124566,122965,121372,119790,118218,116657,115109
"U(0, 1, 2, 0)",215039,205505,204816,204122,203424,202721,202017,201310,200602,199894,199186,198480,197775,197073,196374
"U(0, 1, 2, 1)",215039,138034,136549,135079,133623,132185,130766,129366,127987,126629,125293,123978,122685,121415,120167
"U(0, 1, 2, 2)",215039,180239,179023,177754,176438,175081,173688,172261,170805,169323,167818,166293,164751,163194,161624
"U(0, 1, 3, 0)",215039,297241,297463,297642,297779,297877,297936,297958,297946,297900,297822,297713,297574,297408,297214
"U(0, 1, 3, 1)",215039,204981,204117,203199,202232,201224,200180,199104,198000,196871,195721,194552,193366,192166,190952
"U(0, 1, 3, 2)",215039,304337,304422,304422,304343,304189,303965,303674,303320,302906,302435,301909,301332,300706,300033
"U(0, 2, 0, 0)",215039,123740,122052,120404,118794,117222,115686,114185,112719,111286,109886,108518,107181,105874,104597
"U(0, 2, 0, 1)",215039,96058,94061,92150,90317,88558,86868,85242,83677,82170,80718,79318,77968,76665,75408
"U(0, 2, 0, 2)",215039,166261,164902,163548,162199,160854,159515,158182,156854,155532,154216,152906,151602,150305,149015
"U(0, 2, 1, 0)",215039,106270,104359,102500,100691,98931,97216,95547,93921,92337,90794,89290,87824,86395,85002
"U(0, 2, 1, 1)",215039,89130,87004,84955,82977,81067,79221,77435,75707,74035,72415,70845,69323,67848,66417
"U(0, 2, 1, 2)",215039,111346,109436,107562,105724,103920,102151,100414,98711,97038,95397,93787,92206,90654,89130
"U(0, 2, 2, 0)",215039,107708,105791,103921,102096,100315,98577,96880,95223,93605,92024,90480,88971,87496,86055
"U(0, 2, 2, 1)",215039,84073,81870,79749,77705,75732,73827,71987,70206,68484,66816,65200,63635,62118,60646
"U(0, 2, 2, 2)",215039,89811,87661,85588,83589,81658,79792,77987,76241,74549,72910,71322,69781,68286,66835
"U(0, 2, 3, 0)",215039,102025,100072,98181,96348,94571,92848,91177,89556,87983,86456,84974,83535,82138,80780
"U(0, 2, 3, 1)",215039,69787,67418,65160,63004,60943,58970,57080,55268,53528,51858,50254,48711,47227,45800
"U(0, 2, 3, 2)",215039,91385,89273,87250,85311,83451,81664,79947,78295,76706,75175,73700,72278,70907,69584
"U(1, 0, 0, 0)",215039,772190,780496,788900,797396,805975,814631,823357,832145,840990,849886,858825,867803,876814,885852
"U(1, 0, 0, 1)",215039,407710,411525,415309,419074,422831,426590,430359,434142,437947,441777,445636,449528,453453,457416
"U(1, 0, 0, 2)",215039,97433,95502,93629,91814,90054,88348,86694,85091,83537,82030,80570,79154,77783,76453
"U(1, 0, 1, 0)",215039,451829,456092,460363,464646,468944,473260,477597,481956,486340,490750,495187,499654,504150,508676
"U(1, 0, 1, 1)",215039,253808,254500,255212,255942,256694,257466,258261,259079,259920,260786,261677,262593,263536,264505
"U(1, 0, 1, 2)",215039,147887,146396,144902,143406,141911,140416,138924,137436,135952,134473,133001,131536,130079,128632
"U(1, 0, 2, 0)",215039,280859,281822,282785,283752,284724,285702,286688,287683,288688,289705,290735,291779,292838,293912
"U(1, 0, 2, 1)",215039,194454,193786,193106,192417,191723,191026,190330,189635,188945,188261,187584,186915,186257,185609
"U(1, 0, 2, 2)",215039,200485,199513,198453,197317,196112,194845,193523,192151,190734,189278,187785,186261,184708,183130
"U(1, 0, 3, 0)",215039,359190,360602,361975,363310,364610,365877,367113,368320,369500,370655,371787,372896,373985,375055
