,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),18390,18540,18687,18831,18971,19110,19246,19380,19511,19639,19766,19890,20012,20131
S(1),1362,1378,1394,1409,1424,1439,1454,1469,1483,1498,1512,1526,1540,1554
S(2),1824,1807,1790,1774,1757,1740,1723,1707,1690,1674,1657,1641,1624,1608
"I(0, 1, 0)",17663,17874,18084,18291,18496,18700,18903,19104,19303,19500,19696,19890,20083,20274
"I(0, 1, 1)",7874,7647,7429,7220,7018,6823,6636,6455,6280,6111,5947,5789,5636,5488
"I(0, 1, 2)",8173,8082,7991,7899,7808,7717,7626,7536,7446,7356,7267,7179,7091,7003
"I(1, 0, 0)",198212,201165,204099,207019,209918,212805,215680,218541,221386,224215,227032,229832,232614,235384
"I(1, 0, 1)",12067,12288,12509,12731,12952,13174,13396,13619,13841,14064,14287,14509,14732,14955
"I(1, 0, 2)",8264,8224,8183,8140,8097,8053,8009,7963,7917,7871,7824,7776,7728,7679
"I(1, 1, 0)",11517,11674,11831,11989,12146,12304,12463,12622,12781,12941,13101,13262,13422,13583
"I(1, 1, 1)",7936,7715,7502,7297,7100,6910,6727,6550,6379,6214,6054,5899,5749,5604
"I(1, 1, 2)",8371,8338,8303,8266,8229,8190,8151,8111,8070,8029,7987,7944,7900,7856
"U(0, 1, 0, 0)",402,406,409,413,417,420,424,427,431,434,438,441,444,447
"U(0, 1, 0, 1)",1637,1658,1680,1701,1722,1744,1765,1786,1806,1827,1847,1868,1888,1908
"U(0, 1, 0, 2)",3099,3033,2968,2905,2843,2781,2722,2663,2605,2549,2493,2439,2386,2334
"U(0, 1, 1, 0)",255,258,260,262,264,266,268,271,273,275,277,279,281,283
"U(0, 1, 1, 1)",1012,1008,1003,997,992,986,980,974,968,962,955,949,942,935
"U(0, 1, 1, 2)",3250,3249,3245,3240,3233,3224,3214,3203,3190,3175,3160,3143,3125,3106
"U(0, 1, 2, 0)",227,228,229,230,231,232,233,234,235,235,236,237,237,237
"U(0, 1, 2, 1)",1010,1006,1000,995,988,982,975,968,961,954,946,939,931,923
"U(0, 1, 2, 2)",3507,3517,3538,3556,3571,3584,3594,3618,3639,3657,3672,3684,3693,3700
"U(0, 1, 3, 0)",297,299,300,301,303,304,305,307,308,309,310,311,312,314
"U(0, 1, 3, 1)",1117,1122,1126,1130,1135,1140,1145,1149,1153,1158,1164,1170,1174,1178
"U(0, 1, 3, 2)",4705,4727,4748,4767,4791,4813,4833,4852,4869,4887,4908,4929,4947,4964
"U(0, 2, 0, 0)",216,214,211,208,206,203,201,198,196,194,191,189,186,184
"U(0, 2, 0, 1)",211,206,201,196,192,187,183,179,175,171,168,164,161,157
"U(0, 2, 0, 2)",1866,1867,1866,1865,1864,1862,1860,1857,1854,1851,1847,1843,1839,1834
"U(0, 2, 1, 0)",214,210,207,203,200,197,193,190,187,184,181,178,175,172
"U(0, 2, 1, 1)",211,206,201,196,192,188,183,179,175,171,168,164,161,157
"U(0, 2, 1, 2)",1810,1788,1766,1744,1722,1700,1678,1657,1635,1614,1593,1572,1551,1531
"U(0, 2, 2, 0)",215,211,208,205,202,199,196,193,190,187,184,181,178,175
"U(0, 2, 2, 1)",210,205,200,195,190,185,181,177,172,168,164,161,157,153
"U(0, 2, 2, 2)",1766,1723,1681,1642,1603,1566,1531,1496,1463,1430,1399,1369,1339,1310
"U(0, 2, 3, 0)",212,208,204,200,196,192,188,185,181,178,174,171,168,165
"U(0, 2, 3, 1)",207,200,193,186,180,175,169,164,158,153,149,144,140,135
"U(0, 2, 3, 2)",1754,1705,1658,1613,1570,1529,1490,1452,1416,1381,1347,1314,1283,1253
"U(1, 0, 0, 0)",1249,1263,1276,1289,1302,1315,1328,1340,1353,1365,1377,1389,1400,1412
"U(1, 0, 0, 1)",2930,2971,3012,3052,3093,3133,3173,3213,3252,3292,3331,3370,3408,3446
"U(1, 0, 0, 2)",3110,3048,2988,2929,2870,2813,2757,2702,2648,2595,2543,2492,2442,2393
"U(1, 0, 1, 0)",703,712,722,731,741,750,759,769,778,787,796,805,814,823
"U(1, 0, 1, 1)",1395,1414,1434,1453,1472,1492,1511,1531,1550,1570,1590,1609,1629,1648
"U(1, 0, 1, 2)",3268,3274,3278,3279,3279,3277,3273,3268,3261,3253,3243,3232,3219,3206
"U(1, 0, 2, 0)",330,334,338,342,346,351,355,359,363,368,372,376,380,384
"U(1, 0, 2, 1)",1039,1046,1052,1057,1061,1065,1068,1070,1072,1073,1074,1074,1074,1074
"U(1, 0, 2, 2)",3816,3838,3856,3871,3884,3893,3909,3928,3945,3958,3968,3985,4007,4027
"U(1, 0, 3, 0)",385,388,391,394,397,400,403,406,409,412,415,418,421,424
"U(1, 0, 3, 1)",1388,1395,1401,1407,1414,1421,1427,1433,1439,1444,1449,1454,1459,1465
"U(1, 0, 3, 2)",5446,5473,5498,5522,5545,5572,5598,5622,5645,5666,5685,5704,5726,5747
