,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),697,876,1045,1204,1354,1497,1632,1760,1883,2001,2113,2220,2322,2420
S(1),129,126,123,121,119,117,114,111,109,108,107,106,106,106
S(2),1039,1011,986,963,941,921,903,886,869,854,840,827,814,802
"I(0, 1, 0)",6725,6576,6441,6317,6200,6093,5993,5902,5817,5739,5665,5595,5528,5465
"I(0, 1, 1)",577,557,539,522,507,493,479,467,456,445,435,426,417,409
"I(0, 1, 2)",4579,4428,4289,4160,4038,3926,3820,3721,3627,3539,3456,3376,3300,3228
"I(1, 0, 0)",21175,21181,21423,21876,22517,23337,24314,25440,26701,28093,29596,31201,32903,34693
"I(1, 0, 1)",7070,6927,6808,6675,6521,6390,6277,6183,6105,6043,5978,5886,5809,5745
"I(1, 0, 2)",6546,6360,6189,6031,5884,5747,5620,5500,5389,5285,5186,5092,5003,4918
"I(1, 1, 0)",10548,10311,10096,9899,9715,9548,9393,9250,9118,8996,8878,8767,8662,8563
"I(1, 1, 1)",883,855,830,807,786,766,748,731,715,701,687,674,662,650
"I(1, 1, 2)",8890,8634,8398,8179,7974,7784,7606,7438,7281,7134,6993,6859,6731,6609
"U(0, 1, 0, 0)",175,174,175,177,181,185,190,196,202,210,217,226,234,243
"U(0, 1, 0, 1)",516,504,493,484,475,467,460,452,446,439,434,429,424,420
"U(0, 1, 0, 2)",1544,1494,1448,1406,1366,1329,1295,1262,1232,1204,1177,1151,1126,1103
"U(0, 1, 1, 0)",159,158,157,156,156,155,155,154,154,154,154,154,154,155
"U(0, 1, 1, 1)",309,303,297,291,285,280,276,272,268,264,261,257,254,251
"U(0, 1, 1, 2)",2584,2504,2431,2362,2298,2239,2183,2131,2082,2036,1992,1950,1910,1872
"U(0, 1, 2, 0)",156,154,152,150,149,147,145,144,142,141,140,138,137,136
"U(0, 1, 2, 1)",211,206,202,198,194,191,188,185,182,180,178,175,173,171
"U(0, 1, 2, 2)",3230,3130,3038,2952,2872,2797,2727,2661,2599,2541,2485,2433,2382,2334
"U(0, 1, 3, 0)",163,163,164,164,164,165,165,165,165,165,166,166,166,166
"U(0, 1, 3, 1)",277,270,263,257,251,246,241,237,233,229,225,222,219,216
"U(0, 1, 3, 2)",6197,6447,6654,6826,6972,7097,7204,7296,7377,7448,7509,7562,7599,7616
"U(0, 2, 0, 0)",93,91,88,87,85,84,82,81,80,79,78,77,76,75
"U(0, 2, 0, 1)",20,20,19,19,19,18,18,18,17,17,17,17,17,16
"U(0, 2, 0, 2)",446,429,414,401,388,375,364,353,343,334,325,316,308,301
"U(0, 2, 1, 0)",36,35,34,34,33,32,32,31,31,31,30,30,29,29
"U(0, 2, 1, 1)",17,16,16,15,15,15,15,14,14,14,14,14,13,13
"U(0, 2, 1, 2)",456,439,423,409,395,382,370,359,348,338,328,319,311,302
"U(0, 2, 2, 0)",40,39,39,38,37,36,36,35,35,34,34,33,33,33
"U(0, 2, 2, 1)",8,8,8,7,7,7,7,7,7,7,7,6,6,6
"U(0, 2, 2, 2)",256,248,240,233,226,220,214,209,204,199,195,190,186,182
"U(0, 2, 3, 0)",24,24,23,23,22,22,21,21,21,21,20,20,20,20
"U(0, 2, 3, 1)",4,4,3,3,3,3,3,3,3,3,3,3,3,3
"U(0, 2, 3, 2)",126,123,120,118,115,113,111,109,107,105,104,102,101,99
"U(1, 0, 0, 0)",62,60,59,58,56,55,54,53,53,52,51,50,50,49
"U(1, 0, 0, 1)",499,488,479,470,461,452,445,438,432,426,421,415,410,406
"U(1, 0, 0, 2)",1577,1531,1489,1449,1413,1379,1347,1318,1290,1264,1239,1216,1193,1172
"U(1, 0, 1, 0)",72,70,68,66,64,63,61,60,58,57,56,55,54,53
"U(1, 0, 1, 1)",298,292,286,280,275,270,266,262,258,255,251,248,245,242
"U(1, 0, 1, 2)",2618,2539,2467,2400,2337,2278,2223,2172,2124,2078,2035,1994,1955,1918
"U(1, 0, 2, 0)",66,63,62,60,58,57,55,54,52,51,50,49,48,47
"U(1, 0, 2, 1)",142,138,135,132,130,127,125,123,121,119,118,116,115,113
"U(1, 0, 2, 2)",3699,3583,3476,3377,3284,3198,3117,3040,2968,2901,2837,2776,2717,2661
"U(1, 0, 3, 0)",103,100,97,95,92,90,88,86,84,83,81,80,78,77
"U(1, 0, 3, 1)",204,198,192,187,182,178,173,169,165,162,159,155,152,149
"U(1, 0, 3, 2)",5942,6028,6109,6184,6255,6323,6386,6448,6506,6564,6618,6670,6719,6765
"U(1, 1, 0, 0)",76,73,71,69,67,65,64,62,60,59,58,57,55,54
"U(1, 1, 0, 1)",674,706,737,766,792,817,839,859,878,895,910,923,935,946
"U(1, 1, 0, 2)",1713,1661,1613,1568,1526,1488,1452,1418,1386,1357,1329,1303,1278,1254
"U(1, 1, 1, 0)",171,174,177,180,182,185,187,190,191,188,186,183,179,176
"U(1, 1, 1, 1)",638,654,671,686,702,717,732,747,761,776,790,803,816,829
"U(1, 1, 1, 2)",5021,4885,4760,4645,4536,4436,4342,4255,4172,4096,4023,3953,3887,3823
"U(1, 1, 2, 0)",164,164,165,165,166,166,167,168,169,169,170,171,172,173
"U(1, 1, 2, 1)",671,702,731,758,784,808,830,851,871,890,908,925,941,956
"U(1, 1, 2, 2)",6292,6515,6722,6886,7010,7123,7226,7319,7403,7481,7550,7611,7665,7712
"U(1, 1, 3, 0)",171,174,177,179,182,185,187,190,192,195,197,200,202,205
"U(1, 1, 3, 1)",757,809,860,910,959,1007,1055,1102,1148,1194,1239,1284,1327,1370
"U(1, 1, 3, 2)",7066,7541,7983,8397,8784,9151,9499,9830,10147,10453,10744,11024,11292,11550
"U(1, 2, 0, 0)",18,18,17,16,16,15,15,14,14,14,13,13,13,12
"U(1, 2, 0, 1)",169,165,162,159,156,153,151,148,146,144,142,141,139,137
"U(1, 2, 0, 2)",266,256,247,239,231,224,217,211,205,200,195,190,185,181
"U(1, 2, 1, 0)",38,37,36,34,33,32,31,30,30,29,28,27,27,26
"U(1, 2, 1, 1)",525,512,501,490,481,472,464,456,449,442,436,430,425,420
"U(1, 2, 1, 2)",1033,997,964,933,904,877,852,829,807,786,766,748,730,713
"U(1, 2, 2, 0)",62,60,58,57,55,54,53,52,51,50,49,48,47,46
"U(1, 2, 2, 1)",447,437,428,419,411,404,398,392,386,381,376,371,367,363
"U(1, 2, 2, 2)",1462,1419,1380,1343,1308,1276,1246,1218,1192,1168,1144,1122,1101,1080
"U(1, 2, 3, 0)",87,85,83,82,80,79,77,76,75,74,73,72,71,70
"U(1, 2, 3, 1)",366,357,350,344,337,331,326,321,317,312,308,304,300,297
"U(1, 2, 3, 2)",935,914,895,878,862,847,833,821,809,798,787,777,768,759
"U(2, 0, 0, 0)",10,10,9,9,9,8,8,8,7,7,7,7,6,6
"U(2, 0, 0, 1)",29,28,28,27,27,26,26,26,25,25,25,24,24,24
"U(2, 0, 0, 2)",1460,1416,1375,1337,1302,1269,1238,1209,1181,1156,1131,1108,1086,1064
"U(2, 0, 1, 0)",6,6,6,5,5,5,5,5,4,4,4,4,4,4
"U(2, 0, 1, 1)",12,12,12,11,11,10,10,10,10,9,9,9,9,9
"U(2, 0, 1, 2)",481,462,445,430,415,401,388,376,364,354,343,334,324,315
"U(2, 0, 2, 0)",23,22,21,21,20,19,19,18,18,17,17,17,16,16
"U(2, 0, 2, 1)",12,12,11,11,10,10,10,9,9,9,9,8,8,8
"U(2, 0, 2, 2)",92,88,85,81,78,75,73,70,68,66,64,62,60,58
"U(2, 0, 3, 0)",35,34,33,32,31,30,30,29,28,28,27,26,26,25
