,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),1926,2439,2910,3343,3742,4110,4451,4765,5056,5327,5577,5809,6025,6226
S(1),355,348,342,336,330,323,317,312,308,301,295,289,284,281
S(2),1490,1443,1400,1359,1320,1284,1250,1218,1188,1159,1132,1106,1081,1058
"I(0, 1, 0)",25367,24690,24093,23565,23104,22701,22350,22042,21646,21270,20942,20656,20407,20039
"I(0, 1, 1)",2389,2325,2265,2209,2157,2108,2063,2020,1980,1942,1906,1872,1840,1809
"I(0, 1, 2)",5516,5309,5115,4932,4761,4600,4449,4305,4169,4040,3918,3801,3690,3585
"I(1, 0, 0)",29037,28360,27672,27094,26617,26228,25593,24957,24421,23979,23618,23328,23102,22938
"I(1, 0, 1)",4055,3961,3874,3792,3716,3645,3579,3516,3455,3399,3345,3294,3246,3201
"I(1, 0, 2)",13558,13136,12740,12366,12017,11687,11376,11082,10802,10537,10285,10044,9813,9595
"I(1, 1, 0)",6425,6276,6136,6005,5884,5770,5663,5563,5468,5378,5294,5213,5137,5065
"I(1, 1, 1)",908,868,830,795,763,732,704,677,653,629,607,587,567,549
"I(1, 1, 2)",16552,16047,15573,15127,14708,14314,13941,13588,13252,12933,12630,12340,12063,11800
"U(0, 1, 0, 0)",476,462,452,445,441,440,440,442,446,451,457,464,471,480
"U(0, 1, 0, 1)",523,511,500,489,479,470,461,453,445,438,431,425,419,413
"U(0, 1, 0, 2)",3656,3529,3411,3300,3195,3097,3005,2917,2834,2755,2680,2609,2540,2476
"U(0, 1, 1, 0)",387,378,369,361,354,348,342,336,329,324,318,314,309,305
"U(0, 1, 1, 1)",288,281,274,268,262,257,252,247,243,239,235,231,228,224
"U(0, 1, 1, 2)",7121,6896,6684,6484,6297,6120,5954,5795,5645,5502,5366,5236,5112,4994
"U(0, 1, 2, 0)",207,202,197,193,189,186,182,179,176,173,170,168,165,163
"U(0, 1, 2, 1)",164,159,154,149,145,140,137,133,129,126,123,120,118,115
