,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),1692,2137,2562,2969,3359,3733,4092,4437,4770,5091,5400,5698,5985,6263
S(1),368,362,357,354,352,352,352,354,357,361,365,371,377,384
S(2),3037,2989,2945,2901,2860,2821,2785,2752,2721,2691,2661,2632,2606,2580
"I(0, 1, 0)",17542,17311,17183,17151,17209,17347,17564,17851,18205,18620,19093,19619,20192,20813
"I(0, 1, 1)",11299,11109,10935,10776,10633,10501,10367,10233,10110,9998,9896,9802,9709,9601
"I(0, 1, 2)",14897,14661,14439,14231,14033,13844,13668,13502,13346,13197,13054,12916,12784,12659
"I(1, 0, 0)",17948,17804,17783,17876,18077,18373,18762,19236,19790,20416,21114,21874,22692,23567
"I(1, 0, 1)",11816,11614,11431,11264,11115,10979,10857,10710,10572,10446,10333,10229,10135,10040
"I(1, 0, 2)",5662,5543,5431,5326,5228,5134,5046,4963,4884,4809,4739,4671,4606,4544
"I(1, 1, 0)",16492,16241,16012,15804,15584,15370,15173,14991,14824,14671,14534,14408,14296,14196
"I(1, 1, 1)",8278,8146,8017,7898,7790,7689,7597,7510,7415,7327,7246,7171,7100,7034
"I(1, 1, 2)",12660,12419,12191,11976,11774,11581,11399,11225,11060,10902,10752,10608,10468,10334
"U(0, 1, 0, 0)",322,316,311,307,303,300,295,290,286,282,279,277,276,274
"U(0, 1, 0, 1)",805,800,794,788,782,776,771,765,759,754,748,743,738,733
"U(0, 1, 0, 2)",1096,1078,1061,1045,1031,1017,1004,993,981,970,959,949,940,931
"U(0, 1, 1, 0)",247,243,240,236,233,230,227,224,222,219,217,215,212,210
"U(0, 1, 1, 1)",814,809,805,802,798,795,792,789,786,784,781,779,776,774
"U(0, 1, 1, 2)",1511,1479,1450,1423,1397,1373,1350,1329,1309,1291,1273,1256,1240,1225
"U(0, 1, 2, 0)",127,125,123,122,120,118,117,115,114,113,111,110,109,108
"U(0, 1, 2, 1)",819,817,815,814,812,810,808,806,804,802,800,798,795,793
"U(0, 1, 2, 2)",1832,1786,1742,1701,1662,1625,1590,1557,1526,1496,1467,1440,1414,1389
"U(0, 1, 3, 0)",112,109,107,105,102,100,98,97,95,93,92,90,89,87
"U(0, 1, 3, 1)",861,873,884,894,905,915,925,935,945,954,964,973,982,990
"U(0, 1, 3, 2)",4780,4678,4582,4491,4406,4324,4247,4173,4103,4036,3972,3910,3851,3794
"U(0, 2, 0, 0)",45,44,43,43,42,41,41,40,40,39,39,38,38,37
"U(0, 2, 0, 1)",148,146,144,142,140,138,136,134,133,131,130,129,127,126
"U(0, 2, 0, 2)",1702,1660,1621,1583,1548,1514,1482,1451,1422,1393,1366,1340,1315,1291
"U(0, 2, 1, 0)",14,14,13,13,12,12,12,11,11,11,10,10,10,10
"U(0, 2, 1, 1)",96,94,92,90,88,86,84,82,81,79,78,76,75,74
"U(0, 2, 1, 2)",867,841,817,794,772,751,731,713,695,677,661,645,630,615
"U(0, 2, 2, 0)",13,13,12,12,12,11,11,10,10,10,9,9,9,9
"U(0, 2, 2, 1)",87,85,83,81,79,78,76,75,74,72,71,70,69,68
"U(0, 2, 2, 2)",503,487,471,456,442,429,416,404,392,381,371,361,351,342
"U(0, 2, 3, 0)",9,9,8,8,8,7,7,7,7,6,6,6,6,5
