,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),3728,4702,5635,6530,7387,8212,9005,9770,10508,11221,11908,12573,13217,13839
S(1),733,727,711,692,677,666,658,653,651,651,653,657,663,671
S(2),2609,2565,2525,2488,2452,2419,2387,2357,2328,2301,2275,2250,2227,2205
"I(0, 1, 0)",25619,25148,24729,24355,24015,23711,23442,23135,22834,22563,22319,22103,21913,21651
"I(0, 1, 1)",4448,4373,4304,4241,4182,4127,4070,4016,3966,3920,3876,3836,3798,3759
"I(0, 1, 2)",5157,5001,4854,4716,4584,4459,4340,4226,4118,4015,3916,3821,3730,3642
"I(1, 0, 0)",32499,32426,32600,33000,33602,34398,35376,36527,37839,39301,40900,42633,44494,46469
"I(1, 0, 1)",13660,13401,13175,12979,12806,12658,12531,12326,12146,11988,11850,11733,11634,11544
"I(1, 0, 2)",10880,10640,10417,10208,10009,9821,9642,9474,9314,9161,9015,8876,8743,8616
"I(1, 1, 0)",25880,25456,25069,24694,24330,23992,23677,23385,23114,22860,22589,22334,22097,21871
"I(1, 1, 1)",3555,3492,3434,3381,3332,3286,3243,3204,3168,3129,3091,3057,3025,2994
"I(1, 1, 2)",10082,9820,9575,9343,9120,8909,8708,8516,8333,8158,7989,7827,7671,7520
"U(0, 1, 0, 0)",696,684,674,664,656,647,638,630,623,616,610,603,595,588
"U(0, 1, 0, 1)",2794,2750,2710,2673,2630,2591,2555,2523,2494,2468,2440,2411,2385,2361
"U(0, 1, 0, 2)",1381,1351,1322,1296,1271,1247,1225,1204,1185,1166,1149,1132,1116,1101
"U(0, 1, 1, 0)",745,733,722,711,701,691,682,674,666,658,650,643,636,630
"U(0, 1, 1, 1)",1999,1966,1936,1909,1882,1855,1829,1806,1784,1764,1745,1726,1707,1690
"U(0, 1, 1, 2)",2577,2503,2433,2368,2306,2247,2191,2137,2087,2039,1993,1949,1907,1867
"U(0, 1, 2, 0)",542,532,524,516,508,501,494,488,482,476,471,466,461,456
"U(0, 1, 2, 1)",1143,1121,1100,1081,1063,1046,1030,1015,1001,988,976,964,953,942
"U(0, 1, 2, 2)",4168,4044,3928,3818,3713,3614,3519,3428,3342,3260,3180,3104,3031,2961
"U(0, 1, 3, 0)",799,795,792,789,785,782,779,776,773,766,758,750,740,731
"U(0, 1, 3, 1)",1978,1931,1887,1845,1805,1768,1732,1698,1665,1634,1605,1576,1549,1523
"U(0, 1, 3, 2)",11375,11350,11179,11016,10821,10599,10388,10187,9995,9810,9632,9460,9295,9135
"U(0, 2, 0, 0)",209,205,201,197,193,190,186,183,180,178,175,172,170,168
"U(0, 2, 0, 1)",139,136,134,132,130,128,127,125,124,122,121,119,118,117
"U(0, 2, 0, 2)",2621,2554,2491,2431,2374,2319,2267,2218,2171,2126,2082,2040,2000,1961
"U(0, 2, 1, 0)",138,134,131,128,125,123,120,118,116,114,112,110,108,106
"U(0, 2, 1, 1)",83,80,78,77,75,73,71,70,68,67,66,65,63,62
"U(0, 2, 1, 2)",1017,985,954,926,898,872,848,824,802,780,760,740,721,703
"U(0, 2, 2, 0)",131,127,124,121,118,115,112,110,107,105,103,101,99,97
"U(0, 2, 2, 1)",61,59,57,56,54,52,51,49,48,47,46,44,43,42
"U(0, 2, 2, 2)",680,659,639,620,602,585,569,554,539,525,512,499,487,475
"U(0, 2, 3, 0)",137,134,131,128,125,122,120,118,115,113,111,109,108,106
"U(0, 2, 3, 1)",34,33,32,30,30,29,28,27,26,25,25,24,23,23
"U(0, 2, 3, 2)",968,945,923,902,882,863,845,828,812,796,781,767,753,739
"U(1, 0, 0, 0)",794,781,772,764,759,757,756,757,760,764,770,777,786,795
"U(1, 0, 0, 1)",3605,3587,3564,3536,3505,3472,3437,3402,3364,3328,3294,3261,3228,3196
"U(1, 0, 0, 2)",1934,1898,1865,1834,1805,1778,1753,1729,1707,1686,1666,1647,1629,1613
"U(1, 0, 1, 0)",791,787,782,777,772,767,762,757,753,748,744,740,736,733
"U(1, 0, 1, 1)",3245,3191,3142,3097,3055,3012,2971,2933,2897,2864,2833,2802,2771,2742
"U(1, 0, 1, 2)",3328,3243,3164,3090,3020,2953,2890,2831,2775,2721,2670,2621,2575,2530
"U(1, 0, 2, 0)",783,775,767,759,751,744,737,730,724,717,710,703,696,689
"U(1, 0, 2, 1)",2341,2303,2269,2234,2201,2170,2142,2115,2090,2066,2042,2020,1999,1979
"U(1, 0, 2, 2)",4901,4761,4629,4504,4386,4273,4166,4064,3967,3874,3785,3700,3618,3540
