,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),7926,8028,8127,8225,8321,8415,8508,8599,8688,8776,8862,8946,9029,9111
S(1),766,777,788,799,811,822,834,845,857,869,881,893,905,917
S(2),1595,1593,1591,1589,1588,1587,1586,1585,1585,1585,1585,1585,1586,1587
"I(0, 1, 0)",49222,49946,50678,51418,52166,52920,53680,54447,55219,55997,56779,57566,58356,59151
"I(0, 1, 1)",6850,6863,6878,6895,6914,6934,6956,6980,7006,7033,7062,7092,7124,7158
"I(0, 1, 2)",7268,7259,7250,7240,7231,7222,7214,7205,7197,7188,7180,7172,7165,7157
"I(1, 0, 0)",62702,63666,64642,65627,66622,67625,68637,69656,70683,71716,72756,73802,74853,75909
"I(1, 0, 1)",7713,7748,7786,7825,7866,7909,7955,8002,8051,8103,8156,8211,8268,8327
"I(1, 0, 2)",4522,4476,4430,4385,4341,4297,4255,4212,4171,4130,4090,4050,4011,3973
"I(1, 1, 0)",19221,19514,19811,20112,20419,20730,21045,21366,21691,22021,22355,22695,23039,23387
"I(1, 1, 1)",4944,4915,4886,4860,4835,4811,4788,4767,4747,4728,4710,4694,4679,4666
"I(1, 1, 2)",6940,6920,6900,6881,6861,6841,6821,6800,6780,6760,6740,6720,6699,6679
"U(0, 1, 0, 0)",289,291,293,295,297,299,301,304,306,308,311,313,315,318
"U(0, 1, 0, 1)",596,601,606,611,617,622,627,633,638,644,649,655,661,666
"U(0, 1, 0, 2)",1085,1063,1041,1021,1001,981,963,945,928,911,895,879,865,850
"U(0, 1, 1, 0)",143,143,143,143,143,144,144,144,144,144,144,145,145,145
"U(0, 1, 1, 1)",530,533,536,539,542,545,548,551,555,558,561,564,568,571
"U(0, 1, 1, 2)",1464,1445,1427,1408,1391,1373,1355,1338,1321,1304,1288,1272,1256,1240
"U(0, 1, 2, 0)",89,88,87,86,85,84,83,82,82,81,80,79,79,78
"U(0, 1, 2, 1)",475,476,477,479,480,481,482,483,485,486,487,488,489,490
"U(0, 1, 2, 2)",1712,1695,1678,1661,1644,1627,1610,1593,1576,1560,1543,1527,1510,1494
"U(0, 1, 3, 0)",103,102,101,100,100,99,98,97,96,95,94,93,92,91
"U(0, 1, 3, 1)",838,844,851,857,863,870,876,882,888,894,900,906,912,918
