,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),18258,18494,18726,18954,19179,19400,19618,19832,20043,20250,20454,20655,20853,21047
S(1),1159,1172,1185,1199,1213,1227,1241,1256,1270,1285,1300,1315,1330,1346
S(2),1725,1708,1692,1675,1660,1644,1629,1615,1600,1587,1573,1560,1547,1534
"I(0, 1, 0)",18014,18114,18218,18325,18436,18550,18667,18788,18911,19037,19165,19296,19430,19565
"I(0, 1, 1)",4674,4560,4452,4348,4248,4153,4062,3974,3891,3810,3733,3659,3589,3521
"I(0, 1, 2)",6335,6233,6133,6034,5937,5842,5749,5657,5567,5478,5391,5306,5222,5139
"I(1, 0, 0)",144051,146446,148868,151316,153788,156284,158802,161341,163901,166480,169078,171693,174324,176972
"I(1, 0, 1)",11023,11054,11092,11136,11186,11242,11304,11371,11444,11521,11604,11692,11784,11880
"I(1, 0, 2)",8218,8140,8063,7986,7911,7837,7764,7692,7621,7551,7483,7415,7348,7282
"I(1, 1, 0)",13817,13852,13888,13926,13966,14008,14051,14097,14144,14193,14244,14297,14352,14408
"I(1, 1, 1)",4625,4507,4394,4286,4182,4083,3987,3895,3806,3721,3639,3561,3485,3412
"I(1, 1, 2)",8321,8238,8156,8074,7994,7914,7835,7757,7679,7603,7527,7452,7378,7305
"U(0, 1, 0, 0)",453,454,456,458,460,462,464,466,468,471,473,475,478,480
"U(0, 1, 0, 1)",1743,1751,1758,1766,1774,1782,1790,1798,1806,1815,1824,1834,1843,1853
"U(0, 1, 0, 2)",1915,1871,1829,1788,1749,1710,1673,1637,1601,1567,1534,1502,1471,1441
"U(0, 1, 1, 0)",362,363,363,363,364,364,364,364,365,365,365,365,366,366
"U(0, 1, 1, 1)",1126,1120,1115,1110,1105,1100,1096,1091,1087,1083,1080,1076,1073,1070
"U(0, 1, 1, 2)",2897,2862,2827,2792,2757,2723,2688,2654,2620,2586,2552,2519,2485,2453
"U(0, 1, 2, 0)",299,298,297,296,295,294,293,292,291,290,289,288,287,286
"U(0, 1, 2, 1)",924,914,904,895,885,875,866,857,848,839,830,821,813,804
"U(0, 1, 2, 2)",3840,3815,3787,3759,3731,3701,3670,3639,3608,3576,3543,3510,3477,3444
"U(0, 1, 3, 0)",433,433,433,434,434,434,434,434,434,434,434,433,433,433
"U(0, 1, 3, 1)",1373,1367,1361,1354,1347,1340,1333,1326,1318,1311,1303,1295,1287,1279
"U(0, 1, 3, 2)",6485,6487,6487,6485,6482,6477,6471,6463,6455,6444,6433,6421,6408,6393
"U(0, 2, 0, 0)",180,177,175,173,170,168,166,164,162,160,158,156,154,152
"U(0, 2, 0, 1)",140,137,134,131,129,126,124,121,119,117,115,113,111,109
"U(0, 2, 0, 2)",2026,2009,1993,1976,1960,1944,1927,1911,1895,1879,1863,1847,1831,1816
"U(0, 2, 1, 0)",154,152,149,146,144,141,139,136,134,132,130,128,125,123
"U(0, 2, 1, 1)",129,126,123,120,118,115,112,110,107,105,103,101,98,96
"U(0, 2, 1, 2)",1357,1333,1310,1288,1266,1244,1223,1203,1182,1162,1143,1123,1104,1086
"U(0, 2, 2, 0)",157,154,151,148,146,143,141,138,136,134,131,129,127,125
"U(0, 2, 2, 1)",122,119,116,113,110,107,104,102,99,97,95,92,90,88
"U(0, 2, 2, 2)",1094,1068,1043,1018,995,972,950,929,908,888,869,850,832,814
"U(0, 2, 3, 0)",148,145,143,140,137,135,132,130,128,126,123,121,119,117
"U(0, 2, 3, 1)",101,98,94,91,88,85,83,80,78,75,73,71,68,66
"U(0, 2, 3, 2)",1113,1088,1063,1039,1017,995,974,954,934,916,898,880,864,848
"U(1, 0, 0, 0)",1125,1137,1150,1162,1175,1187,1200,1213,1226,1239,1252,1265,1278,1291
"U(1, 0, 0, 1)",2731,2756,2781,2807,2832,2857,2882,2908,2933,2959,2985,3011,3037,3064
"U(1, 0, 0, 2)",2076,2035,1995,1956,1919,1882,1847,1813,1780,1748,1716,1686,1657,1629
"U(1, 0, 1, 0)",658,664,671,677,683,689,696,702,709,715,721,728,735,741
"U(1, 0, 1, 1)",1700,1704,1709,1714,1719,1724,1729,1735,1741,1746,1752,1758,1765,1771
"U(1, 0, 1, 2)",3151,3119,3087,3056,3024,2992,2960,2928,2897,2865,2834,2803,2772,2741
"U(1, 0, 2, 0)",409,410,412,413,415,416,417,419,420,422,423,425,426,428
"U(1, 0, 2, 1)",1302,1298,1293,1288,1284,1279,1274,1270,1265,1261,1256,1252,1247,1243
"U(1, 0, 2, 2)",4272,4251,4229,4204,4179,4152,4124,4094,4064,4033,4001,3969,3936,3902
"U(1, 0, 3, 0)",523,525,527,529,531,533,535,536,538,540,542,543,545,546
"U(1, 0, 3, 1)",1965,1966,1968,1968,1968,1968,1967,1966,1965,1963,1961,1959,1956,1954
"U(1, 0, 3, 2)",7559,7574,7586,7596,7604,7610,7614,7616,7617,7616,7613,7609,7603,7597
"U(1, 1, 0, 0)",248,246,245,243,241,239,238,236,234,232,230,229,227,225
"U(1, 1, 0, 1)",3360,3384,3408,3430,3452,3474,3495,3515,3534,3553,3571,3589,3607,3624
"U(1, 1, 0, 2)",2212,2172,2133,2094,2057,2021,1985,1951,1917,1885,1853,1822,1792,1763
"U(1, 1, 1, 0)",430,430,429,429,429,428,427,427,426,425,424,423,422,421
"U(1, 1, 1, 1)",4763,4801,4838,4874,4910,4945,4979,5013,5046,5079,5111,5142,5173,5203
"U(1, 1, 1, 2)",4607,4590,4572,4553,4534,4515,4495,4475,4454,4433,4411,4390,4367,4345
"U(1, 1, 2, 0)",463,463,463,463,463,463,463,463,462,462,461,461,460,460
"U(1, 1, 2, 1)",5258,5300,5341,5381,5421,5460,5498,5535,5572,5607,5642,5676,5709,5741
"U(1, 1, 2, 2)",8129,8147,8163,8176,8187,8196,8202,8207,8209,8209,8208,8204,8199,8192
"U(1, 1, 3, 0)",860,865,871,876,881,887,892,896,901,906,910,915,919,923
"U(1, 1, 3, 1)",13139,13312,13484,13656,13828,13999,14169,14339,14508,14677,14845,15012,15179,15345
"U(1, 1, 3, 2)",18033,18200,18365,18527,18688,18846,19002,19156,19308,19457,19604,19749,19892,20033
"U(1, 2, 0, 0)",151,148,145,143,140,137,135,132,130,127,125,122,120,118
"U(1, 2, 0, 1)",1147,1140,1133,1125,1118,1110,1102,1094,1086,1078,1071,1063,1055,1047
"U(1, 2, 0, 2)",2281,2240,2200,2161,2123,2085,2049,2013,1978,1944,1910,1878,1846,1815
"U(1, 2, 1, 0)",221,219,217,215,213,210,208,206,203,201,199,197,194,192
"U(1, 2, 1, 1)",1780,1779,1778,1777,1775,1773,1770,1767,1764,1761,1757,1754,1750,1746
"U(1, 2, 1, 2)",3678,3651,3623,3594,3565,3536,3506,3476,3446,3416,3386,3355,3325,3294
"U(1, 2, 2, 0)",231,229,227,224,222,220,218,216,214,212,210,208,206,203
"U(1, 2, 2, 1)",1894,1895,1896,1896,1896,1895,1894,1893,1891,1889,1887,1885,1883,1880
"U(1, 2, 2, 2)",3722,3697,3672,3645,3618,3590,3563,3534,3506,3478,3449,3421,3392,3363
"U(1, 2, 3, 0)",342,341,341,340,339,338,337,336,336,335,334,333,332,331
"U(1, 2, 3, 1)",1927,1930,1933,1935,1937,1938,1939,1940,1941,1941,1941,1941,1941,1941
"U(1, 2, 3, 2)",4542,4532,4521,4510,4498,4486,4474,4461,4448,4436,4423,4410,4397,4384
"U(2, 0, 0, 0)",189,187,185,183,181,179,177,175,174,172,171,169,168,167
"U(2, 0, 0, 1)",154,152,149,147,145,143,141,139,137,135,133,132,130,129
"U(2, 0, 0, 2)",2201,2187,2172,2158,2143,2128,2114,2099,2085,2070,2055,2041,2026,2012
"U(2, 0, 1, 0)",151,148,146,143,141,138,136,134,132,130,128,126,124,122
"U(2, 0, 1, 1)",143,140,138,135,132,130,127,125,123,121,118,116,114,112
"U(2, 0, 1, 2)",1359,1336,1313,1291,1269,1247,1226,1206,1185,1165,1146,1126,1108,1089
"U(2, 0, 2, 0)",147,144,141,139,136,134,131,129,126,124,122,120,118,116
"U(2, 0, 2, 1)",121,118,115,112,109,106,104,101,99,96,94,92,89,87
"U(2, 0, 2, 2)",845,816,789,762,737,713,690,668,646,626,606,587,569,551
"U(2, 0, 3, 0)",139,136,134,131,128,126,123,121,119,116,114,112,110,108
"U(2, 0, 3, 1)",98,94,91,88,85,82,79,77,74,72,69,67,65,63
"U(2, 0, 3, 2)",897,868,841,816,792,768,746,725,705,685,667,649,632,616
"U(2, 1, 0, 0)",127,124,121,118,115,112,110,107,104,102,100,97,95,93
"U(2, 1, 0, 1)",957,948,939,930,921,912,904,896,887,879,872,864,856,849
"U(2, 1, 0, 2)",1262,1208,1157,1109,1064,1021,981,944,908,875,843,814,786,759
"U(2, 1, 1, 0)",181,179,176,174,171,169,166,164,161,159,157,154,152,150
"U(2, 1, 1, 1)",1474,1470,1466,1462,1458,1454,1449,1444,1440,1435,1430,1425,1420,1415
"U(2, 1, 1, 2)",1437,1387,1339,1293,1249,1208,1168,1131,1095,1061,1028,997,967,939
"U(2, 1, 2, 0)",188,186,183,181,178,176,174,171,169,167,165,162,160,158
"U(2, 1, 2, 1)",1329,1323,1318,1312,1306,1300,1293,1287,1281,1274,1268,1261,1255,1248
"U(2, 1, 2, 2)",1376,1327,1279,1234,1190,1148,1107,1068,1031,996,961,929,897,868
"U(2, 1, 3, 0)",275,273,272,270,269,267,266,264,263,261,260,258,257,255
"U(2, 1, 3, 1)",1362,1358,1354,1350,1345,1340,1336,1331,1326,1321,1316,1311,1307,1302
"U(2, 1, 3, 2)",1730,1686,1644,1604,1565,1528,1492,1459,1426,1396,1366,1339,1312,1287
"U(2, 2, 0, 0)",125,121,118,115,112,110,107,104,102,99,97,94,92,90
"U(2, 2, 0, 1)",132,129,126,123,120,117,115,112,110,108,105,103,101,99
"U(2, 2, 0, 2)",1586,1565,1544,1523,1503,1483,1463,1443,1423,1403,1384,1365,1346,1327
"U(2, 2, 1, 0)",120,116,113,110,107,105,102,99,97,94,92,90,87,85
"U(2, 2, 1, 1)",168,166,163,160,158,156,153,151,149,147,145,143,141,139
"U(2, 2, 1, 2)",1048,1022,997,972,949,926,903,881,860,840,820,800,781,763
"U(2, 2, 2, 0)",123,120,117,114,111,108,106,103,101,98,96,94,91,89
"U(2, 2, 2, 1)",132,129,126,123,120,118,115,112,110,108,106,103,101,99
"U(2, 2, 2, 2)",707,677,647,620,594,569,546,523,502,482,463,444,427,410
"U(2, 2, 3, 0)",123,120,117,114,111,108,106,103,101,98,96,94,92,90
"U(2, 2, 3, 1)",92,89,85,82,79,76,73,71,68,66,64,61,59,57
"U(2, 2, 3, 2)",704,673,644,616,590,566,543,521,500,480,461,443,425,409
"Z(0, 1, 0, 1, 0, 0)",5927,5825,5724,5625,5528,5433,5340,5249,5159,5071,4985,4901,4818,4738
"Z(0, 1, 0, 1, 0, 1)",5879,5781,5682,5582,5484,5385,5288,5191,5095,5001,4907,4815,4725,4635
"Z(0, 1, 0, 1, 0, 2)",4546,4427,4312,4200,4092,3986,3884,3784,3688,3594,3503,3415,3329,3245
"Z(0, 1, 0, 1, 1, 0)",8689,8610,8530,8449,8367,8285,8202,8119,8035,7952,7868,7784,7699,7615
"Z(0, 1, 0, 1, 1, 1)",6478,6376,6276,6177,6079,5983,5888,5794,5702,5611,5521,5433,5345,5259
"Z(0, 1, 0, 1, 1, 2)",7037,6941,6846,6751,6657,6562,6469,6376,6284,6192,6101,6011,5921,5832
"Z(0, 1, 0, 1, 2, 0)",9077,8999,8921,8843,8764,8686,8607,8529,8450,8371,8293,8215,8136,8058
"Z(0, 1, 0, 1, 2, 1)",6429,6328,6229,6130,6033,5937,5842,5748,5656,5565,5476,5387,5301,5215
"Z(0, 1, 0, 1, 2, 2)",9261,9188,9112,9034,8953,8872,8788,8704,8618,8531,8444,8355,8266,8177
"Z(0, 1, 0, 1, 3, 0)",13684,13656,13625,13593,13558,13522,13484,13443,13402,13358,13314,13267,13220,13171
"Z(0, 1, 0, 1, 3, 1)",9588,9521,9450,9378,9304,9228,9151,9073,8994,8914,8833,8752,8671,8589
"Z(0, 1, 0, 1, 3, 2)",15270,15257,15240,15218,15193,15165,15133,15098,15060,15019,14976,14930,14881,14830
"Z(0, 1, 1, 0, 0, 0)",10440,10415,10391,10369,10349,10330,10312,10296,10282,10269,10258,10248,10240,10233
"Z(0, 1, 1, 0, 0, 1)",7021,6952,6884,6816,6749,6683,6618,6554,6492,6432,6373,6316,6261,6207
"Z(0, 1, 1, 0, 0, 2)",5685,5580,5476,5375,5276,5180,5085,4993,4903,4814,4728,4644,4561,4480
"Z(0, 1, 1, 0, 1, 0)",13573,13565,13555,13544,13532,13518,13504,13488,13472,13455,13437,13419,13400,13381
"Z(0, 1, 1, 0, 1, 1)",6897,6806,6717,6629,6543,6459,6376,6294,6214,6135,6058,5982,5908,5835
"Z(0, 1, 1, 0, 1, 2)",9589,9518,9446,9373,9300,9226,9152,9078,9002,8927,8851,8775,8699,8623
"Z(0, 1, 1, 0, 2, 0)",13602,13583,13563,13542,13521,13498,13475,13450,13425,13400,13373,13346,13318,13290
"Z(0, 1, 1, 0, 2, 1)",6684,6589,6495,6403,6311,6221,6132,6045,5959,5874,5790,5708,5628,5549
"Z(0, 1, 1, 0, 2, 2)",12805,12767,12725,12680,12633,12582,12529,12474,12417,12357,12296,12232,12168,12101
"Z(0, 1, 1, 0, 3, 0)",22548,22647,22742,22835,22926,23014,23099,23182,23263,23341,23417,23491,23563,23632
"Z(0, 1, 1, 0, 3, 1)",10162,10106,10048,9988,9926,9863,9798,9733,9667,9600,9532,9464,9396,9327
"Z(0, 1, 1, 0, 3, 2)",23840,23942,24038,24130,24217,24300,24379,24454,24524,24591,24654,24714,24770,24823
"Z(0, 1, 1, 1, 0, 0)",8687,8608,8530,8452,8374,8296,8218,8141,8064,7987,7911,7835,7760,7685
"Z(0, 1, 1, 1, 0, 1)",6066,5967,5868,5769,5671,5573,5475,5379,5283,5188,5095,5003,4913,4823
"Z(0, 1, 1, 1, 0, 2)",6296,6194,6093,5993,5896,5800,5705,5612,5521,5431,5343,5256,5171,5087
"Z(0, 1, 1, 1, 1, 0)",14372,14346,14317,14286,14253,14217,14179,14139,14096,14052,14006,13957,13907,13856
"Z(0, 1, 1, 1, 1, 1)",6844,6746,6649,6553,6458,6365,6274,6183,6094,6006,5920,5834,5750,5667
"Z(0, 1, 1, 1, 1, 2)",11154,11095,11034,10972,10909,10845,10779,10712,10644,10576,10506,10436,10364,10293
"Z(0, 1, 1, 1, 2, 0)",15551,15542,15531,15518,15503,15487,15468,15448,15426,15403,15378,15351,15323,15293
"Z(0, 1, 1, 1, 2, 1)",6850,6754,6659,6566,6473,6382,6292,6203,6116,6030,5945,5861,5779,5698
"Z(0, 1, 1, 1, 2, 2)",14965,14946,14923,14896,14865,14831,14794,14754,14711,14665,14617,14566,14513,14458
"Z(0, 1, 1, 1, 3, 0)",27137,27289,27438,27584,27727,27866,28002,28135,28265,28391,28515,28635,28752,28866
"Z(0, 1, 1, 1, 3, 1)",10608,10557,10504,10448,10391,10332,10273,10212,10150,10088,10025,9962,9898,9834
"Z(0, 1, 1, 1, 3, 2)",28909,29074,29234,29389,29539,29683,29823,29959,30090,30216,30338,30456,30569,30678
"Z(0, 2, 0, 1, 0, 0)",5760,5651,5545,5442,5341,5242,5145,5050,4958,4867,4778,4692,4607,4523
"Z(0, 2, 0, 1, 0, 1)",4443,4319,4200,4086,3976,3870,3767,3668,3573,3480,3391,3304,3221,3139
"Z(0, 2, 0, 1, 0, 2)",8467,8385,8304,8223,8143,8063,7984,7906,7828,7751,7674,7598,7523,7448
"Z(0, 2, 0, 1, 1, 0)",5908,5801,5696,5594,5494,5396,5301,5207,5116,5027,4939,4853,4770,4687
"Z(0, 2, 0, 1, 1, 1)",4787,4668,4553,4441,4333,4229,4128,4029,3934,3842,3752,3664,3580,3497
"Z(0, 2, 0, 1, 1, 2)",6822,6724,6627,6532,6438,6345,6254,6164,6076,5989,5903,5819,5735,5653
"Z(0, 2, 0, 1, 2, 0)",5967,5861,5757,5656,5557,5460,5365,5273,5182,5093,5006,4921,4838,4756
"Z(0, 2, 0, 1, 2, 1)",4484,4362,4244,4131,4021,3915,3813,3714,3618,3525,3435,3348,3263,3182
"Z(0, 2, 0, 1, 2, 2)",4894,4775,4661,4551,4444,4341,4242,4145,4051,3961,3873,3787,3704,3624
"Z(0, 2, 0, 1, 3, 0)",5674,5566,5461,5359,5260,5164,5070,4979,4890,4804,4719,4637,4558,4480
