,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.159278487523,0.0162807908014,0.0164165988442,0.0165475477086,0.0166738736012,0.0167962515852,0.0169146507004,0.0170287313204,0.0171394901064,0.0172466364078,0.0173507659771,0.0174518865734,0.0175501937111,0.0176459740329,0.0177388744683
S(1),0.0099920097498,0.000925550827443,0.000935528673526,0.000945227264327,0.000954657786335,0.00096385681519,0.000972820743723,0.000981528223595,0.000990034991252,0.000998322819449,0.00100642481024,0.00101434022531,0.00102207931058,0.00102965776298,0.00103705404943
S(2),0.000884038204248,0.000268074524102,0.000266234606781,0.000264325353276,0.000262354997492,0.000260338123725,0.000258277708438,0.000256171939819,0.000254038951727,0.000251877050467,0.000249697420065,0.000247502280546,0.000245296363963,0.000243085400105,0.000240866115373
"I(0, 1, 0)",0.00105062779066,0.000262510280836,0.000258231497679,0.000254008417151,0.000249847044923,0.000245759152787,0.000241745222282,0.00023780125181,0.000233941707044,0.000230162452419,0.000226471133575,0.000222867077013,0.000219351856737,0.000215927874285,0.000212589510862
"I(0, 1, 1)",7.99120301987e-05,0.000251450340133,0.000241826816236,0.000232699834911,0.00022401916058,0.00021574990319,0.000207854860758,0.00020029944075,0.000193069579974,0.000186139160585,0.000179494848912,0.000173118916127,0.000166997473034,0.00016111886304,0.000155466839531
"I(0, 1, 2)",0.000611048783435,0.000268970134389,0.000267483203477,0.000265918579205,0.000264283579082,0.00026259202121,0.000260846124583,0.000259043326974,0.000257201295157,0.000255317728926,0.000253403428756,0.000251460178734,0.000249492364678,0.000247505444506,0.000245495757766
"I(1, 0, 0)",0.0816203520392,0.00745429656766,0.00756123117438,0.00766631973942,0.00776962536094,0.00787141997022,0.00797165052078,0.00807011789696,0.00816725674676,0.00826289584913,0.0083572884094,0.00845040947589,0.0085423259813,0.00863315181779,0.00872268955463
"I(1, 0, 1)",0.00441295977603,0.00036750280899,0.000374039763301,0.000380511404609,0.000386919398583,0.000393275908522,0.000399577007149,0.000405811408356,0.000411999690403,0.000418132070401,0.000424220221484,0.000430261832503,0.000436259288221,0.000442217438632,0.0004481252269
"I(1, 0, 2)",0.000952499424307,0.000270953629421,0.000270225586157,0.00026940873082,0.000268509921765,0.00026754273082,0.000266509042779,0.000265405874306,0.000264251001084,0.000263041833062,0.000261789291764,0.000260495084019,0.000259163641912,0.000257800565897,0.000256401996276
"I(1, 1, 0)",0.00165417387779,0.000273389453949,0.000273654871149,0.000273799900673,0.000273832204398,0.000273766437199,0.000273605451914,0.0002733471105,0.00027301067363,0.000272594507107,0.000272110963068,0.00027156289274,0.000270955982765,0.000270297160582,0.000269583433353
"I(1, 1, 1)",0.000128076819714,0.000251803055916,0.000242292556976,0.0002332830562,0.000224723844207,0.000216579572803,0.000208812559503,0.000201387716403,0.000194290580893,0.000187494577898,0.00018098600054,0.000174746727203,0.000168762513535,0.000163021382182,0.000157506719364
"I(1, 1, 2)",0.00125981407414,0.00027419260588,0.000274674541517,0.00027505798907,0.000275348843215,0.000275560022479,0.000275692586341,0.000275742557912,0.000275727555824,0.000275644165157,0.000275503133793,0.000275305656967,0.00027505584389,0.000274759119896,0.000274410877897
"U(0, 1, 0, 0)",0.0286120416682,0.00338503716604,0.00342347409312,0.00346091392795,0.00349739560623,0.00353305124059,0.0035678658858,0.00360175948254,0.00363493483803,0.00366732351198,0.00369904559353,0.00373009700029,0.00376051407131,0.00379035330302,0.00381953420236
"U(0, 1, 0, 1)",0.00532497376873,0.000503725245771,0.000510364012991,0.000516875787366,0.000523264984268,0.000529550035799,0.000535727445632,0.000541783918791,0.000547748712847,0.000553610370066,0.00055938588469,0.000565073583727,0.000570677939871,0.000576206544831,0.000581646205215
"U(0, 1, 0, 2)",0.000666272536204,0.00027422404415,0.000275363514735,0.000276201466791,0.00027676268527,0.000277077154416,0.000277161281062,0.000277024943446,0.00027669843573,0.000276189772394,0.000275520164161,0.000274700332989,0.000273743115229,0.000272661924617,0.000271459574667
"U(0, 1, 1, 0)",0.0164213304383,0.00184573251023,0.0018746721985,0.00190319276793,0.00193130636622,0.00195907726996,0.00198648918385,0.00201348937209,0.00204018324418,0.00206652527567,0.00209257607939,0.00211832690252,0.00214379208718,0.00216899791293,0.00219389254465
"U(0, 1, 1, 1)",0.00262094976588,0.000270621770747,0.000268167976782,0.00026587607636,0.000263722006835,0.000261694125785,0.000262006926783,0.000263984096087,0.000265969114347,0.000267953209611,0.00027052761153,0.000273928016571,0.000277307322922,0.000280668612526,0.000284004849571
"U(0, 1, 1, 2)",0.00112479777295,0.00027705573938,0.000278603868049,0.000280047667626,0.000281388196099,0.000282634315866,0.000283783329995,0.000284827761331,0.000285782825959,0.000286642442596,0.00028741555336,0.000288101512011,0.000288702984983,0.000289224291504,0.000289659420866
"U(0, 1, 2, 0)",0.00686620260318,0.000741343840908,0.000754860195165,0.000768302740145,0.000781674673541,0.000795000314749,0.000808271401484,0.000821464669047,0.000834621254251,0.000847720793287,0.000860786329248,0.000873812525334,0.000886803520893,0.000899768440667,0.000912684007322
"U(0, 1, 2, 1)",0.00115011381557,0.000276619736845,0.00028059823878,0.000283514421251,0.00028557379579,0.000286933533577,0.000287701821483,0.000287956675262,0.000287781363969,0.000287224814614,0.000286341599106,0.000285169414039,0.000283743639618,0.000282096752247,0.00028024750191
"U(0, 1, 2, 2)",0.00140650347545,0.000336864325363,0.0003398229766,0.000342451590253,0.000344769824658,0.000346805489943,0.000348570937231,0.000350071418884,0.00035133897526,0.000352562086708,0.000354547012567,0.000356254820452,0.000357704818795,0.000358916948983,0.000360301834309
"U(0, 1, 3, 0)",0.00566947849598,0.00060927753668,0.000618145327559,0.000626981866557,0.000635793908941,0.00064460509449,0.000653412288834,0.000662200165042,0.000671005198411,0.000679814023846,0.000688648008231,0.000697505540236,0.000706392454892,0.000715318388438,0.000724267082775
"U(0, 1, 3, 1)",0.00135680414623,0.000301253640688,0.000302639292567,0.000304160864696,0.000306357548185,0.000308220226165,0.000309776272764,0.00031104235728,0.000313153838703,0.000315412238823,0.000317339363905,0.000318959982199,0.000320298929911,0.000321380069433,0.000322213517906
"U(0, 1, 3, 2)",0.0053172592422,0.000604250340107,0.000608350936921,0.000612235155108,0.000615912983906,0.00061941054058,0.000622727782001,0.000626056475418,0.000629376971991,0.000632527255689,0.000635530247245,0.000638387233063,0.000641106342561,0.000643698976372,0.000646291368751
"U(0, 2, 0, 0)",0.00393132263126,0.000386329945018,0.000391944940561,0.000397469453435,0.000402906393151,0.000408269504996,0.000413555689585,0.000418754269705,0.000423887456684,0.000428946034987,0.000433942825198,0.000438876220008,0.000443749391131,0.000448567960711,0.000453321384227
"U(0, 2, 0, 1)",0.000460674990689,0.000251081461399,0.000240586799411,0.000230889067405,0.000221857457523,0.000213402022874,0.000205447010861,0.000197930087075,0.000190816470294,0.000184064467658,0.00017764856079,0.000171541455593,0.000165721566388,0.000160170979685,0.000154868347589
"U(0, 2, 0, 2)",0.000329142851307,0.000262663189507,0.000258307228276,0.000254055184008,0.000249899885525,0.000245841856342,0.000241871988696,0.000237978115243,0.000234167776647,0.000230430959607,0.000226770355662,0.000223181116208,0.000219661322406,0.000216210471892,0.000212820540519
"U(0, 2, 1, 0)",0.000859343008459,0.000256827263436,0.000249988554814,0.000243362738741,0.0002369413391,0.000230722951857,0.000224696862253,0.000218849616213,0.000213185939938,0.000207694295408,0.000202374721147,0.000197220406081,0.00019222720842,0.00018739223621,0.000182706131283
"U(0, 2, 1, 1)",0.00031420161449,0.00025835514574,0.000252218487771,0.00024625233476,0.000240447276741,0.000234801550372,0.000229304337922,0.000223942274773,0.00021872080058,0.000213628907472,0.000208667577793,0.000203830842095,0.000199115519639,0.000194519749342,0.000190034956009
