,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.0931740041838,0.0173432766373,0.0174747322897,0.0175990815655,0.0177174490067,0.0178317163734,0.0179491514281,0.0180623633468,0.0181718010658,0.0182766065132,0.018377835939,0.0184760736351,0.018571125785,0.0186688898706,0.0187648228677
S(1),0.00496203194139,0.000842508578804,0.000849921144271,0.000856996162772,0.000863786540284,0.000870347969587,0.000876685755012,0.000882830568053,0.000888803135324,0.000894560300155,0.000900152578835,0.00090560752903,0.00091091465203,0.000916075258645,0.000921090867679
S(2),0.000573821572746,0.000477482262669,0.000473417917902,0.000469209107731,0.000464894323284,0.000460511066993,0.000456068209106,0.000451587068403,0.000447082604567,0.000442537226325,0.000437980105645,0.000433427567298,0.000428876976238,0.000424331342341,0.000419793584503
"I(0, 1, 0)",0.00393293184931,0.00067177105019,0.000677670021689,0.000683302256311,0.000688709873358,0.000693937209029,0.000698988421165,0.000703887891462,0.000708652071512,0.000713246477559,0.000717711311999,0.000722068472811,0.000726309515403,0.000730435411609,0.000734447299729
"I(0, 1, 1)",0.00019776950675,0.00045332588792,0.000437978989625,0.00042326375273,0.000409148386816,0.000395608629371,0.000382602549817,0.000370105376621,0.000358091835112,0.000346515176578,0.000335369887882,0.00032464228942,0.000314306671763,0.0003043440344,0.000294737230788
"I(0, 1, 2)",0.000362620989527,0.00047703077485,0.000472801450633,0.000468427440125,0.000463946373352,0.00045939492574,0.000454781245045,0.000450125948752,0.000445443353484,0.000440715398249,0.000435970665566,0.000431224959954,0.00042647525386,0.000421724186528,0.000416974349139
"I(1, 0, 0)",0.00643012957317,0.00109376840047,0.00110369689221,0.00111318722392,0.00112230774904,0.00113113052626,0.00113966219499,0.00114794239351,0.00115599787221,0.00116377230502,0.00117133120906,0.00117871028787,0.00118589573843,0.00119288912668,0.00119969229475
"I(1, 0, 1)",0.000355006266144,0.000454022062252,0.000438985994957,0.000424564158095,0.000410727135587,0.000397452851679,0.000384701281217,0.000372449434912,0.000360673650474,0.000349328456915,0.000338409756811,0.000327905126267,0.000317789876774,0.00030804596287,0.000298657099454
"I(1, 0, 2)",0.000998479664519,0.000489384429854,0.000489952706807,0.000490296460118,0.000490450750868,0.00049045115824,0.000490304015583,0.000490029551443,0.000489641918903,0.000489119927854,0.000488493868369,0.000487780779964,0.000486976864326,0.000486084716643,0.00048510698149
"I(1, 1, 0)",0.000553376594121,0.000461616503506,0.000450417013812,0.000439484833293,0.000428832148848,0.000418471716384,0.00040839174029,0.00039859361522,0.00038907438721,0.000379804376584,0.00037079596989,0.000362050868758,0.00035355564132,0.000345302623623,0.000337284858459
"I(1, 1, 1)",5.73591933078e-05,0.000453878365703,0.000438800083015,0.000424333301253,0.000410446111372,0.000397114175317,0.00038429544212,0.00037196509423,0.000360097836009,0.000348646788929,0.000337606560652,0.000326963594277,0.000316692249011,0.000306773659303,0.000297190851873
"I(1, 1, 2)",0.00121439070243,0.000492705640128,0.000494513867738,0.000496090937813,0.000497470929751,0.000498688796462,0.000499750029644,0.000500674374949,0.000501475548538,0.000502131115187,0.000502671402627,0.000503113359618,0.000503452550247,0.000503691121506,0.000503831291347
"U(0, 1, 0, 0)",0.0112458924823,0.00208798427072,0.00210511891037,0.00212141402836,0.00213700251693,0.0021520238024,0.00216649242907,0.00218048551877,0.00219405543436,0.00220709677267,0.00221973530727,0.00223203992639,0.00224398559472,0.00225557637354,0.00226681679664
"U(0, 1, 0, 1)",0.00184638915025,0.000491915102543,0.000497967250312,0.00050212588165,0.000504778934944,0.000506227154661,0.000506679901222,0.000506317227759,0.000505281212913,0.000503653946704,0.000501552835274,0.000499067644235,0.000496255783823,0.00049317248427,0.000489865862003
"U(0, 1, 0, 2)",0.000819705287906,0.000518494024494,0.000522864844645,0.000526644082316,0.000529891470246,0.000532666123714,0.000537036563572,0.000541562220531,0.000545542848261,0.000548982766602,0.00055194112979,0.000554460639787,0.000556558589944,0.000558257730324,0.000559579366477
