,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.197491310818,0.0202071548924,0.0203667882915,0.0205226166874,0.0206745169066,0.0208230784504,0.0209673854687,0.0211073270469,0.0212446837979,0.0213791552388,0.021510802665,0.0216398054838,0.0217663792616,0.0218911913757,0.0220136880689
S(1),0.0285883945325,0.00254130610323,0.002577504207,0.00261340500921,0.00264898173305,0.00268429916666,0.00271922879041,0.00275374433125,0.00278806750115,0.0028221508672,0.00285599416926,0.00288961317162,0.00292302910411,0.00295632492516,0.00298941983059
S(2),0.0027520795918,0.000271726503496,0.000271835082796,0.000271903976185,0.000271933851661,0.000271934662322,0.000271922190262,0.000274057722119,0.000276195130502,0.000278330589569,0.000280464938112,0.000282600531608,0.000284748141975,0.000287756827145,0.00029077481499
"I(0, 1, 0)",0.038034531999,0.00354052800111,0.00358816983768,0.0036353060757,0.00368190080448,0.00372804542211,0.0037735628035,0.00381841818801,0.00386292053936,0.00390700524768,0.0039506731812,0.00399394737056,0.00403685833545,0.00407952169169,0.00412182689415
"I(0, 1, 1)",0.00400645957903,0.000344325571801,0.000349814891658,0.000355303188837,0.00036078639268,0.000366272872025,0.000371744609313,0.000377197433566,0.000382661155759,0.000388128795609,0.000393599805808,0.000399075837486,0.0004045593039,0.000410061194758,0.000415569826803
"I(0, 1, 2)",0.00247748588833,0.000275764427368,0.00027714224332,0.00027845807715,0.000279710731735,0.000280908654813,0.00028203996452,0.000283103728551,0.000284124339163,0.000285098171647,0.000286026468691,0.000286912039626,0.000287758154092,0.000288574014148,0.00028935267878
"I(1, 0, 0)",0.0499141836059,0.00462487487422,0.0046884326623,0.00475135307574,0.00481358843095,0.00487525748905,0.00493612790302,0.00499615335944,0.00505573737007,0.00511479483114,0.00517332629862,0.00523136136601,0.0052889394772,0.00534621164232,0.00540303257262
"I(1, 0, 1)",0.00512669272313,0.000434161044736,0.000441604502395,0.00044905178414,0.000456497491261,0.00046395197172,0.0004713921727,0.000478812532245,0.00048625066092,0.000493697537753,0.000501152305439,0.000508616914594,0.00051609430446,0.000523598384561,0.000531114145523
"I(1, 0, 2)",0.000864293116678,0.000267898116028,0.000266381611906,0.000264823476747,0.000263224041435,0.000261592615482,0.00025991939782,0.000258204987456,0.000256472830929,0.000254720396569,0.000252949565625,0.000251163521186,0.000249365723312,0.000247564588358,0.000245754490887
"I(1, 1, 0)",0.017546276413,0.00147200301365,0.00150101222699,0.00153008171857,0.00155919178777,0.0015883765544,0.00161755593508,0.00164670935904,0.00167596497709,0.00170529107042,0.00173468396509,0.0017641497559,0.0017936980796,0.00182337690326,0.0018531337088
"I(1, 1, 1)",0.00188925791996,0.00026606861996,0.000263784992946,0.000261493699053,0.000259194397386,0.000256895619587,0.000254587139156,0.000252269044967,0.000249963737111,0.000247668186895,0.000245383724177,0.000243112973502,0.000240858849235,0.000238629062811,0.000236417799238
"I(1, 1, 2)",0.00194364387404,0.000275689139001,0.00027705185222,0.000278348672799,0.000279578430395,0.000280749584274,0.000281850264444,0.000282879537486,0.000283861763037,0.00028479329152,0.000285675327629,0.000286510631014,0.000287302410613,0.00028805978671,0.000288775753263
"U(0, 1, 0, 0)",0.0061020506874,0.000741818051767,0.000748974616606,0.000755991606627,0.000762863521395,0.000769611201627,0.000776199932969,0.000782624657803,0.000788950568597,0.000795165892716,0.000801272287072,0.000807275850352,0.000813184092402,0.000819021492723,0.000824766938711
"U(0, 1, 0, 1)",0.00728109501011,0.000726900982448,0.000737890243179,0.000748847771148,0.000759765459824,0.000770661417001,0.000781498229391,0.000792267707462,0.00080303301384,0.000813779955628,0.000824507871395,0.000835220707648,0.000845923993621,0.000856641157529,0.000867348221374
"U(0, 1, 0, 2)",0.000440862200746,0.000257256295059,0.000251348154441,0.000245570647881,0.000239920852435,0.000234403949296,0.000229007799745,0.000223729943787,0.000218587428131,0.00021357428856,0.000208688454255,0.000203928919337,0.000199294843446,0.000194789223294,0.000190403882372
"U(0, 1, 1, 0)",0.0025657307147,0.00029998243717,0.000303400513054,0.000306775570447,0.00031010468082,0.0003133956306,0.000316633608219,0.000319815827494,0.000322968251684,0.000326085476464,0.000329167588231,0.000332216514094,0.000335234788853,0.000338231985533,0.000341198895415
"U(0, 1, 1, 1)",0.00538203707869,0.000542165751503,0.000549417622792,0.000556673741524,0.000563929388906,0.000571199234288,0.000578456702486,0.000585696894014,0.000592967545397,0.000600259054815,0.000607571780447,0.000614909418796,0.000622276767009,0.000629691716493,0.000637137242234
"U(0, 1, 1, 2)",0.000568306601043,0.000267307916556,0.000265816848851,0.000264212377851,0.000262499725857,0.000260692897008,0.000258786673106,0.000256786054934,0.000254718580427,0.000252585735134,0.000250393221066,0.000248147851895,0.000245856531893,0.000243530856872,0.000241168412841
"U(0, 1, 2, 0)",0.000881194604243,0.000265192710264,0.000262800898192,0.000260339823789,0.000257812758924,0.000255231771484,0.000252590244537,0.000249891799211,0.000247162079351,0.000244401413876,0.00024161437452,0.000238806716934,0.000235984374107,0.000233157849127,0.000230324288726
"U(0, 1, 2, 1)",0.00374752939205,0.000395080876013,0.000398400468713,0.000401703006897,0.000404986666286,0.000408263520809,0.000411516079924,0.000414742528486,0.000417978183905,0.000421217487032,0.000424461936328,0.000427715323806,0.00043098213497,0.000434275805949,0.000437585564649
"U(0, 1, 2, 2)",0.000658552508597,0.000271347222999,0.000271354081523,0.000271233221607,0.000270987175,0.000270627740239,0.000270147003583,0.000269547687403,0.000268856448217,0.000268072963245,0.00026720147491,0.000266247582038,0.000265217170594,0.000264121405989,0.000262956477611
"U(0, 1, 3, 0)",0.000680933084704,0.000273378604654,0.000274369080333,0.000275154492613,0.000275741104701,0.000276144448788,0.000276359816566,0.000276393135638,0.000276274785811,0.000276007429335,0.000275598266948,0.000275055777016,0.000274388626783,0.000273610850585,0.000272720877845
