,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.220916963454,0.0387997125971,0.0391159167204,0.0394252936814,0.0397288810763,0.040025870022,0.0403178138104,0.0406049355399,0.0408869131723,0.0411635849578,0.0414350744854,0.0417021527919,0.0419640416651,0.0422206414794,0.042473062858
S(1),0.0184652333161,0.00287469784319,0.00290813326257,0.00294110315036,0.00297367834931,0.00300579222112,0.00303755544163,0.00306897979552,0.00310003606727,0.00313070704206,0.0031609972391,0.00319096094976,0.00322053438192,0.00324970537352,0.00327855520403
S(2),0.0011562638402,0.000460409881806,0.000456223913843,0.000452012274087,0.000447791117128,0.00044355511642,0.000439325092266,0.000435106286016,0.000430897884432,0.000426700820298,0.00042251890664,0.000418362234453,0.000414224978172,0.000410108289687,0.000406024834973
"I(0, 1, 0)",0.00604194973697,0.000989739495543,0.00100158431062,0.00101330810125,0.00102493479921,0.00103644093891,0.00104786415482,0.00105920799509,0.00107046183805,0.00108161916883,0.00109268095441,0.00110366536277,0.00111454972453,0.00112532918326,0.00113603123622
"I(0, 1, 1)",0.000457985174441,0.000441211980584,0.000428512191053,0.000416306111991,0.000404567298446,0.000393254867802,0.000382355826263,0.000371846530733,0.000361701330606,0.000351898937765,0.000342422778172,0.000333263141475,0.000324399093472,0.000315816934943,0.000307512963493
"I(0, 1, 2)",0.000406217187158,0.000457985392536,0.000452879985629,0.000447763588717,0.000442650935022,0.000437535514974,0.000432436679205,0.000427358376635,0.000422298650166,0.000417257327472,0.000412237107057,0.000407246831933,0.000402279861488,0.000397336431171,0.000392427956452
"I(1, 0, 0)",0.071034695166,0.0111625627496,0.0113288878778,0.0114941206187,0.0116585177899,0.0118217990951,0.0119843805695,0.0121462924072,0.0123074026592,0.0124676257807,0.0126269622576,0.0127856122844,0.012943304181,0.013099971346,0.0132559244567
"I(1, 0, 1)",0.00481140071212,0.000679577922014,0.000692041020805,0.00070450467324,0.000716983025528,0.000729457299874,0.000741951605756,0.000754466437031,0.000766992217239,0.000779522173909,0.000792054872922,0.000804601460796,0.000817143468601,0.000829675209748,0.000842214929108
"I(1, 0, 2)",0.000991895585482,0.000465416449697,0.000463162773406,0.000460840681458,0.000458465028288,0.00045602891679,0.000453552407243,0.000451039818587,0.00044848930822,0.000445900895548,0.000443277688367,0.000440629520228,0.00043794961052,0.000435238538371,0.000432509216085
"I(1, 1, 0)",0.00409474397078,0.000641620393298,0.000650371606911,0.000659125798398,0.000667898534654,0.000676674487357,0.000685478119316,0.000694311688166,0.000703168114555,0.000712042916449,0.000720936463404,0.000729860459905,0.00073879961041,0.000747750272898,0.000756730283642
"I(1, 1, 1)",0.000347798310199,0.000442130006948,0.000429789362799,0.000417932562123,0.000406532857396,0.000395548952091,0.000384967544037,0.000374764621933,0.000364914128553,0.000355394380418,0.000346188442773,0.000337286327297,0.000328666701082,0.000320315544969,0.000312228994375
"I(1, 1, 2)",0.000845752841337,0.000466382410542,0.000464502838471,0.000462546087206,0.000460527021237,0.000458438672143,0.000456301157654,0.00045411879628,0.000451889699041,0.000449613837264,0.000447294287917,0.000444940918536,0.00044254682671,0.000440112523874,0.000437650994765
"U(0, 1, 0, 0)",0.00412893610427,0.00084885015238,0.000856895004638,0.00086480453908,0.00087260049788,0.000880264149208,0.000887828701997,0.000895298227691,0.000902664803121,0.000909924027454,0.000917077812675,0.000924142447809,0.000931099947316,0.000937947330232,0.000944708539069
"U(0, 1, 0, 1)",0.00473418095643,0.000751706688114,0.00076168416723,0.000771583644786,0.0007814223214,0.00079118132901,0.000800888430843,0.000810545468649,0.000820143461187,0.000829676558917,0.00083914465564,0.000848560895151,0.000857907072459,0.000867178650859,0.000876396058055
"U(0, 1, 0, 2)",0.000303668572651,0.000447313258311,0.00043783433727,0.000428512142996,0.000419357795647,0.000410362082987,0.000401540180797,0.000392892496088,0.000384414017368,0.000376101501314,0.000367954349646,0.000359977369475,0.000352161574713,0.000344504227737,0.000337012238627
"U(0, 1, 1, 0)",0.00271595773524,0.000539743131177,0.000544492033227,0.000549184261904,0.000553833491887,0.000558427655185,0.000562987608111,0.000567515671913,0.000572006538703,0.000576457114759,0.000580868284715,0.000585250015627,0.00058959054694,0.00059388760628,0.000598155951287
"U(0, 1, 1, 1)",0.00198011586931,0.00046506644263,0.000462913735909,0.000460620733106,0.000458211058544,0.000455685389465,0.00045307038064,0.000450376187022,0.00044760621264,0.000444765263049,0.00044186087004,0.000438906987052,0.00043590079481,0.000432846655098,0.000429761060321
"U(0, 1, 1, 2)",0.000509260078235,0.000469137681077,0.000468953702164,0.000468478266681,0.000467736121237,0.000466729739643,0.00046548894234,0.00046402732848,0.00046235191346,0.000460471349565,0.000458397219245,0.000456147823442,0.000453724024389,0.000451134030767,0.000448398589187
"U(0, 1, 2, 0)",0.00167445399856,0.0004791216872,0.00048151875381,0.000484281977341,0.00048682437261,0.000489142167457,0.000491260312444,0.000493187220738,0.000494924523058,0.000496475706806,0.000497847603925,0.000499054671243,0.000500092657732,0.00050096543383,0.000501691110771
"U(0, 1, 2, 1)",0.000887463631019,0.000464171743125,0.000461993607805,0.000459561525023,0.000456924127215,0.00045410178695,0.000451136550991,0.000448050656257,0.0004448569628,0.000441567610709,0.000438195741872,0.000434759470492,0.000431259153856,0.000427701367407,0.000424103911909
"U(0, 1, 2, 2)",0.000816966534786,0.000506201888786,0.000507649247688,0.000510707363992,0.000513324593673,0.000515515155077,0.000517321920977,0.000518797826011,0.000522289305686,0.000525301075488,0.000527862626536,0.000530009277904,0.000531754530691,0.000533118759956,0.000534136006496
"U(0, 1, 3, 0)",0.00281263406802,0.00062788299899,0.000630933013278,0.000633815479107,0.000636566769993,0.000639667289165,0.000642622793569,0.000645438848715,0.000648112346791,0.000650642776459,0.000653034158299,0.000655300668327,0.000657803948727,0.000660231191181,0.00066253193648
"U(0, 1, 3, 1)",0.00143974145799,0.000512977280829,0.000515252719797,0.000517238268385,0.000518959821057,0.000521246782171,0.000523811947637,0.00052606514191,0.000528021013591,0.000529694157382,0.000532128279167,0.000534907092978,0.000537345033253,0.000539460495523,0.00054128529007
"U(0, 1, 3, 2)",0.00257177326958,0.000679153999142,0.000682394888734,0.000685397776106,0.000688188523917,0.000691555733445,0.000694706494729,0.000697648124254,0.000700378531876,0.000702898408786,0.000705414793552,0.000708547570994,0.000711456619659,0.000714144021485,0.000716632262609
"U(0, 2, 0, 0)",0.000683001412856,0.00045728441096,0.000451761401049,0.000446280043963,0.000440851266425,0.000435465209764,0.000430138109371,0.000424871160283,0.00041965996413,0.000414502149181,0.00040939841541,0.000404355755591,0.000399365958054,0.000394427793998,0.000389551266751
"U(0, 2, 0, 1)",0.000519907913928,0.000446061671671,0.000435136575147,0.000424715125226,0.000414749500621,0.000405182601116,0.00039599002172,0.000387139566283,0.000378599184229,0.00037034299395,0.000362351306857,0.000354612695097,0.000347104570497,0.000339812504631,0.000332733270299
"U(0, 2, 0, 2)",0.000980010315738,0.000471191114167,0.00047124132278,0.000471151435078,0.000470937476849,0.000470593273772,0.000470140427008,0.000469584480807,0.000468924572533,0.000468161721014,0.000467300162968,0.0004663512692,0.000465308883473,0.000464174550415,0.000462962991113
"U(0, 2, 1, 0)",0.000435161657878,0.000452472235378,0.000444917093919,0.000437497206963,0.000430219356189,0.000423070075618,0.000416061449147,0.000409190939535,0.000402450767521,0.000395835299514,0.00038934199506,0.00038297439295,0.000376721709517,0.00037057997099,0.000364555851933
"U(0, 2, 1, 1)",0.00027388011413,0.000446135363149,0.000435551154355,0.000425352018922,0.000415515629376,0.000406004511926,0.000396809526816,0.000387910369874,0.000379284312477,0.000370912833172,0.000362782086313,0.000354885301982,0.000347203599615,0.000339725529813,0.000332450247759
"U(0, 2, 1, 2)",0.000351601976288,0.000456847652179,0.000451281285592,0.000445719708858,0.000440177539652,0.000434648165175,0.000429150610829,0.000423688516742,0.000418259630243,0.000412863452775,0.000407502311261,0.000402184582734,0.000396903330978,0.000391658422476,0.000386460735397
"U(0, 2, 2, 0)",0.000405567242074,0.00045378323013,0.000446822281476,0.000439958345375,0.000433200322651,0.000426536631035,0.000419981312289,0.000413533596718,0.00040718730834,0.000400938323607,0.000394785550518,0.000388733981672,0.00038277400045,0.000376902804977,0.000371128355214
"U(0, 2, 2, 1)",0.00018461113326,0.000444541767493,0.000433207847224,0.0004223199905,0.000411847536478,0.000401746457884,0.000392002100697,0.000382589737443,0.000373483065887,0.000364660594729,0.000356105952692,0.0003478101138,0.000339752498872,0.000331920106282,0.000324310508731
"U(0, 2, 2, 2)",0.00024302840065,0.000445721730819,0.000434879725713,0.00042445540373,0.000414425101337,0.000404749940755,0.000395419250002,0.000386411200579,0.000377701563902,0.000369270336187,0.000361102211091,0.000353188971487,0.000345510398177,0.000338053723615,0.000330816786674
"U(0, 2, 3, 0)",0.000441168291899,0.000449204447547,0.000440209928954,0.000431432640724,0.000422876576923,0.000414525847278,0.000406389721616,0.0003984631201,0.000390735939199,0.000383200274708,0.000375851300745,0.000368690099215,0.000361703991896,0.000354886959475,0.000348243218583
"U(0, 2, 3, 1)",9.99880958102e-05,0.000437054669049,0.000422128432531,0.000407950538212,0.000394454716034,0.000381568868159,0.000369254355004,0.000357466893329,0.000346164021204,0.000335310427572,0.000324877609003,0.000314845366731,0.000305184324939,0.000295873196065,0.000286901022245
"U(0, 2, 3, 2)",0.000381130769599,0.000442677965938,0.000430340358846,0.00041854694885,0.00040726587575,0.000396451226924,0.000386085569147,0.000376141111489,0.000366588310278,0.000357402256828,0.00034856302665,0.000340057883425,0.000331862828777,0.00032396135826,0.000316347369989
"U(1, 0, 0, 0)",0.0127255556687,0.0026365307262,0.00266514737759,0.00269332897459,0.00272114163522,0.00274852552909,0.00277558298344,0.00280232570061,0.00282872790885,0.00285477482156,0.00288047146823,0.00290586816198,0.00293090759484,0.00295557953826,0.0029799586947
"U(1, 0, 0, 1)",0.00840186432189,0.00134547488781,0.00136438041282,0.00138315444046,0.00140182743601,0.00142036521784,0.00143881729423,0.00145718672576,0.00147545712051,0.00149361768898,0.00151166796857,0.00152963138957,0.00154747490507,0.00156519006117,0.00158281347789
"U(1, 0, 0, 2)",0.000441613637071,0.0004489097608,0.000440057813917,0.000431346322396,0.0004227862778,0.000414368293503,0.000406107663968,0.000398004888371,0.00039005503281,0.000382254983496,0.000374604348683,0.000367108291766,0.000359757962466,0.000352550881505,0.000345494477021
"U(1, 0, 1, 0)",0.007534679575,0.00148339402064,0.00150367689048,0.00152381637276,0.00154384647195,0.00156372994695,0.00158352168853,0.00160322538913,0.00162282332019,0.00164230391455,0.00166166695002,0.00168093844107,0.00170008230792,0.00171908950325,0.00173800046436
"U(1, 0, 1, 1)",0.00411659481284,0.000640809194043,0.000649695007632,0.000658580462512,0.000667480244192,0.000676378170444,0.000685297831418,0.000694240635116,0.000703198657605,0.00071216657403,0.000721143917131,0.000730141567141,0.000739143404369,0.000748144973486,0.000757163319985
