,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.159278487523,0.0045338138958,0.00570243872059,0.00680086222824,0.00783586759139,0.0088124265666,0.00973890946871,0.0106175669834,0.0114541315973,0.0122520102305,0.0130164969434,0.0137453865148,0.0144416625793,0.0151077666309,0.0157454019698
S(1),0.0099920097498,0.000842235808015,0.000820264537299,0.000803102043258,0.000790018538237,0.000780382946761,0.000762371194827,0.000741810468525,0.00072546971052,0.00071285889696,0.000703685385151,0.000697321283272,0.000693510464537,0.000692008194298,0.000692572476669
S(2),0.000884038204248,0.000329795415912,0.00032106464861,0.000313078730068,0.000305708880661,0.000298839728652,0.000292516196145,0.000286603813405,0.000281106424593,0.000275976988727,0.000271224484422,0.000266712049693,0.000262433931048,0.000258377682301,0.000254522786405
"I(0, 1, 0)",0.00105062779066,0.000376867456569,0.000368526188732,0.000360953381432,0.000354010706834,0.000347449129424,0.000341443547957,0.000335863159247,0.000330717408084,0.00032595579092,0.000321593429032,0.000317472072085,0.000313548997803,0.000309789001007,0.000306238764662
"I(0, 1, 1)",7.99120301987e-05,3.23620108306e-05,3.12499841576e-05,3.02339984797e-05,2.92989197348e-05,2.84314288143e-05,2.76338063261e-05,2.68915066263e-05,2.62033299067e-05,2.55634494953e-05,2.4971393624e-05,2.44134023902e-05,2.38880073186e-05,2.33932002143e-05,2.29263207675e-05
"I(0, 1, 2)",0.000611048783435,0.000256588794109,0.000248135689258,0.000240342399333,0.000233099816923,0.000226311579913,0.00022000421344,0.000214069262658,0.000208503608446,0.000203266532559,0.000198359228539,0.000193676770689,0.000189211572067,0.000184951350787,0.000180878326574
"I(1, 0, 0)",0.0816203520392,0.00119252394917,0.00119285682113,0.00120650130951,0.0012320189186,0.00126811845173,0.00131427913385,0.00136930946524,0.00143269102427,0.00150374122048,0.00158213643576,0.00166674837641,0.00175717218905,0.00185300624428,0.00195382077423
"I(1, 0, 1)",0.00441295977603,0.000398186997275,0.000390132461834,0.000383423374084,0.000375961841678,0.000367280302429,0.000359874502485,0.000353530660619,0.000348211060253,0.00034382045624,0.000340337834749,0.000336685896537,0.00033153078931,0.000327176452715,0.000323562812401
"I(1, 0, 2)",0.000952499424307,0.000368686762641,0.00035820701177,0.000348591626002,0.000339693229951,0.000331380385048,0.000323700003791,0.000316500411158,0.000309783527253,0.000303495224541,0.000297643238407,0.000292075471011,0.000286784327063,0.000281754935602,0.000276963730914
"I(1, 1, 0)",0.00165417387779,0.000587656772278,0.000574449227288,0.000562454621488,0.000551456620022,0.000541259443116,0.000531955465591,0.000523310866575,0.000515341466601,0.000507969565736,0.000501191789899,0.000494603997631,0.000488396402814,0.000482550075194,0.000477030652713
"I(1, 1, 1)",0.000128076819714,4.91930134626e-05,4.7669126203e-05,4.62770544476e-05,4.49953826934e-05,4.3805134541e-05,4.27111381882e-05,4.16921394747e-05,4.07473251607e-05,3.98686117274e-05,3.90561551584e-05,3.82892336565e-05,3.75661933164e-05,3.68844846432e-05,3.6240475331e-05
"I(1, 1, 2)",0.00125981407414,0.000495274110598,0.000481004258375,0.000467874502936,0.00045568813361,0.000444269825874,0.000433683298802,0.000423725914388,0.000414400819859,0.000405635991915,0.000397442031137,0.000389616062401,0.000382148405595,0.000375019595516,0.000368198560275
"U(0, 1, 0, 0)",0.0286120416682,0.00113854765649,0.00113634145954,0.00114301689519,0.00115745351202,0.0011786381844,0.00120624892609,0.0012393175843,0.00127748066441,0.00132020937676,0.00136728005004,0.00141776611482,0.00147137677915,0.00152781838886,0.00158677194046
"U(0, 1, 0, 1)",0.00532497376873,0.000937640438102,0.000915571176239,0.000895894943764,0.000878242698741,0.00086228051224,0.000848135214758,0.000835172471371,0.000821456804404,0.000809091448562,0.000798103140313,0.000788088336296,0.000779025977792,0.000770874683091,0.000761917338461
"U(0, 1, 0, 2)",0.000666272536204,0.000286468441865,0.000277235453651,0.000268739693466,0.000260859609089,0.000253487695024,0.000246653984536,0.00024023728877,0.000234234400114,0.000228599927195,0.000223335576282,0.000218323541332,0.000213555397174,0.000209017439291,0.000204689735445
"U(0, 1, 1, 0)",0.0164213304383,0.00103674313397,0.00103110109746,0.00102577705904,0.00102077661269,0.0010160711239,0.00101211944256,0.00100872713108,0.00100613540212,0.00100437833312,0.00100366675305,0.00100364892903,0.00100442672277,0.0010060623266,0.00100857231332
"U(0, 1, 1, 1)",0.00262094976588,0.000561774845698,0.000549675173161,0.000538899608226,0.000528027867914,0.0005180387493,0.000509098767052,0.000500972057764,0.000493663156929,0.000487088331962,0.00048023239434,0.000473506299694,0.000467327973082,0.000461670440867,0.000456492678702
"U(0, 1, 1, 2)",0.00112479777295,0.000479318498515,0.000464538295452,0.000450924276876,0.000438279954027,0.000426431002245,0.000415433517092,0.000405088534187,0.000395395042214,0.000386280481744,0.000377751414804,0.000369611870217,0.000361850312996,0.00035444606208,0.000347367655982
"U(0, 1, 2, 0)",0.00686620260318,0.00101581401612,0.00100341716947,0.000991655077109,0.000980348522514,0.000969318656285,0.000958876850797,0.000948730934887,0.000939020271997,0.000929702113551,0.000920908957877,0.000912266926481,0.000903833121601,0.000895635161826,0.000887666280593
"U(0, 1, 2, 1)",0.00115011381557,0.000383100198912,0.000374714404051,0.000367188386495,0.000360327773091,0.000353373652209,0.000347097293902,0.00034133916053,0.000336103510635,0.000331334288304,0.000327042707709,0.000322997117786,0.000318794639484,0.000314905654954,0.000311303429394
