,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.0931740041838,0.0079987359395,0.0101308807005,0.0120867970863,0.0138840997225,0.0155408733136,0.0170699147275,0.018483297326,0.0197898339421,0.0209987159834,0.0221205557152,0.0231611736028,0.0241258755033,0.0250201558454,0.0258556705902
S(1),0.00496203194139,0.00147758667171,0.00144693301677,0.00142072568334,0.00139845135535,0.00137228127561,0.00134299044632,0.00131815256988,0.00129714162443,0.00127952766462,0.00125382570554,0.00122645875333,0.00120314096758,0.00118342632826,0.00116722368679
S(2),0.000573821572746,0.000433421556976,0.000419877116637,0.000407181325548,0.00039526058621,0.00038411417947,0.000373643299656,0.000363789188486,0.000354467012208,0.000345634715269,0.000337291414349,0.000329374233552,0.000321834243163,0.000314640343467,0.000307844924409
"I(0, 1, 0)",0.00393293184931,0.00142142000215,0.00138350982521,0.0013500172105,0.00132046232373,0.00129464245683,0.00127205630556,0.00125235825818,0.00123513021666,0.00121291303959,0.00119184710316,0.00117345951114,0.00115741913775,0.00114347491415,0.0011228546705
"I(0, 1, 1)",0.00019776950675,0.000133910946655,0.000130310897747,0.000126952227625,0.000123813543106,0.000120896209626,0.000118170799417,0.000115620217191,0.000113218856576,0.000110954466444,0.000108827951119,0.000106820235745,0.000104916492337,0.000103107510268,0.000101411463376
"I(0, 1, 2)",0.000362620989527,0.000309118721906,0.000297509718076,0.000286621004877,0.00027638996057,0.000266805871329,0.000257790288897,0.00024929398656,0.000241251031076,0.000233625939547,0.000226411609135,0.000219559591981,0.000213031812733,0.000206802799273,0.00020090211989
"I(1, 0, 0)",0.00643012957317,0.00163529817883,0.00159714282315,0.00155843032297,0.00152587587802,0.00149902169554,0.0014770974748,0.00144132662851,0.00140548539697,0.0013753446552,0.00135043592513,0.00133010118088,0.00131378415316,0.00130103998456,0.00129180832897
"I(1, 0, 1)",0.000355006266144,0.000228380137342,0.000223116512247,0.000218198953346,0.00021359709327,0.000209319208921,0.000205319901126,0.000201574364426,0.0001980165884,0.000194619076218,0.000191430357337,0.000188419520011,0.000185562726453,0.000182845759802,0.000180302866557
"I(1, 0, 2)",0.000998479664519,0.000763576975494,0.000739802320734,0.000717468389616,0.00069645081429,0.000676753015092,0.000658205028205,0.00064070698411,0.000624112706224,0.000608351053158,0.000593423040425,0.000579220301485,0.000565658855917,0.00055268593175,0.000540395179428
"I(1, 1, 0)",0.000553376594121,0.000357961489127,0.000349636172685,0.000341854350475,0.00033456861999,0.000327792064703,0.000321453654913,0.00031551460619,0.000309911923416,0.000304618135178,0.000299641339787,0.000294934259246,0.000290460567494,0.000286198896282,0.000282203642219
