,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.197491310818,0.00438819979372,0.0055426719991,0.00664496743035,0.00769932452581,0.00871056042561,0.00967932683987,0.0106108799246,0.0115068021148,0.012369579945,0.0132003349446,0.0140026042073,0.0147753670739,0.0155203151007,0.0162399146873
S(1),0.0285883945325,0.000955379802019,0.000939341643603,0.000927388592128,0.000919245366603,0.000914758483585,0.000913395333085,0.000915176018925,0.000919793753639,0.000927076267796,0.000936783515761,0.000948879870388,0.000963036502849,0.000979142361077,0.000997146839649
S(2),0.0027520795918,0.000684180780747,0.000673515087844,0.000663614487133,0.000653708318995,0.000644416337167,0.000635661542588,0.000627569720875,0.000620026716061,0.000613003714635,0.000606292963164,0.000599523601282,0.000593113438737,0.000587054129557,0.0005813678624
"I(0, 1, 0)",0.038034531999,0.000982972668617,0.000970015162676,0.000962835010976,0.0009610249038,0.000964318112603,0.000972058980717,0.000984182513587,0.00100028595508,0.00102011548188,0.00104334729319,0.0010698882792,0.0010993206905,0.00113147094212,0.0011662398085
"I(0, 1, 1)",0.00400645957903,0.00063313451501,0.000622488390054,0.000612741736829,0.000603848466029,0.00059582787249,0.000588439903921,0.00058094571735,0.00057342322295,0.000566548291959,0.000560239121949,0.000554532381683,0.000549286858553,0.000544081222604,0.000537992399028
"I(0, 1, 2)",0.00247748588833,0.000834767426072,0.000821519185031,0.000809099321395,0.000797407983681,0.000786316148826,0.000775760373549,0.000765900147919,0.00075660162236,0.000747834603389,0.000739505688774,0.000731484560375,0.00072376459185,0.000716367830065,0.000709325616494
"I(1, 0, 0)",0.0499141836059,0.00101080048715,0.00100270605719,0.00100151192538,0.00100673495803,0.0010180464961,0.00103471252824,0.00105662585367,0.00108332542599,0.00111451084291,0.00114980661598,0.00118909182211,0.00123188750595,0.00127798350454,0.00132725557732
"I(1, 0, 1)",0.00512669272313,0.000665439665485,0.000654104923393,0.000643775747353,0.000634401784634,0.000626001579131,0.000618321381566,0.000611475418402,0.00060316186309,0.000595412864157,0.000588324864501,0.000581934672384,0.000576092487128,0.000570783226649,0.000565443003904
"I(1, 0, 2)",0.000864293116678,0.0003188670839,0.000312179994269,0.000305888013454,0.000299969297644,0.000294434072235,0.000289164226163,0.000284214761031,0.000279531392087,0.000275098979077,0.000270879546531,0.000266892428125,0.000263071050666,0.000259410905992,0.000255920936629
"I(1, 1, 0)",0.017546276413,0.000918750072217,0.000904770787678,0.000892004207376,0.000880428030928,0.00086817953606,0.000856240419971,0.000845265874327,0.000835138905077,0.000825854251683,0.000817334384793,0.000809671040731,0.000802693209711,0.000796413916416,0.000790885677157
"I(1, 1, 1)",0.00188925791996,0.000461202748666,0.00045380440846,0.000446640079772,0.000440032757285,0.000434000387766,0.000428371665077,0.000423230023009,0.000418368005097,0.000413116376184,0.000408221532214,0.000403712990816,0.000399490552835,0.000395547321293,0.000391897088708
"I(1, 1, 2)",0.00194364387404,0.00070528780174,0.000691850193481,0.000679159429655,0.000667175914308,0.000655930696441,0.000645168166988,0.000635017535965,0.000625363840125,0.000616178814522,0.000607382516782,0.000599022989878,0.000590955188016,0.000583172849596,0.000575699746664
"U(0, 1, 0, 0)",0.0061020506874,0.00083638582306,0.000820668006027,0.000807380652545,0.000796330122719,0.000787423041062,0.000780235620325,0.000766008661135,0.000752934632838,0.000741975047304,0.000732902867527,0.00072565677048,0.000719952038224,0.000715679653896,0.000712775805991
"U(0, 1, 0, 1)",0.00728109501011,0.000944737322212,0.000938283936319,0.000931585944022,0.000924760849244,0.00091800363343,0.000911089478766,0.000904314845463,0.000897619829488,0.000891054243673,0.000884582418734,0.000878345286327,0.000872193846722,0.000866173720507,0.00086036999209
"U(0, 1, 0, 2)",0.000440862200746,0.000168347863622,0.000165596199116,0.00016299063054,0.00016057178635,0.000158346218666,0.00015625140943,0.000154317770347,0.000152516794386,0.00015071294606,0.000148976694867,0.00014736451685,0.000145839791011,0.00014439994513,0.000143049966277
"U(0, 1, 1, 0)",0.0025657307147,0.000642660538028,0.00063218134872,0.000622609278845,0.00061389406814,0.000606052077889,0.000598039149197,0.00059001677176,0.000582685251213,0.000576005792792,0.000569891964761,0.00056437785653,0.000558419785668,0.00055198939438,0.000546086931636
"U(0, 1, 1, 1)",0.00538203707869,0.00095515455711,0.000949945308852,0.000945115786341,0.000940649876656,0.000936631014673,0.000932731565607,0.000929169802166,0.000925812255036,0.000922647852911,0.000919585745569,0.000916725926118,0.000913873067427,0.000911039475184,0.000908284565171
"U(0, 1, 1, 2)",0.000568306601043,0.000232074718153,0.000227267987768,0.000222767380096,0.000218555750762,0.000214639466517,0.000210931454841,0.000207470922013,0.000204217474567,0.000201159331487,0.0001982680632,0.000195557215269,0.00019297746694,0.000190524934655,0.000188205676691
"U(0, 1, 2, 0)",0.000881194604243,0.000331480149896,0.000326362989212,0.000321458198737,0.00031665441718,0.000312245906107,0.00030810812242,0.000304299864849,0.000300763827966,0.00029722161117,0.000293676680697,0.000290393969305,0.000287299998663,0.000284388491619,0.00028166810819
"U(0, 1, 2, 1)",0.00374752939205,0.000961173408313,0.000959128540274,0.000956967833685,0.000954745560697,0.00095260676539,0.000950269438473,0.000947998896991,0.000945696081404,0.000943380963064,0.000940987188343,0.000938639573432,0.000936157226448,0.000933568747763,0.000930948576945
"U(0, 1, 2, 2)",0.000658552508597,0.00028145479215,0.000274337963147,0.000267622708831,0.000261285630092,0.000255331466156,0.000249653994228,0.000244297594115,0.000239212282434,0.000234382250168,0.00022977254757,0.000225397193158,0.000221197688376,0.000217168477878,0.000213315283181
"U(0, 1, 3, 0)",0.000680933084704,0.000291754970315,0.000284957329884,0.000278565642103,0.000272556418252,0.000266935535368,0.000261592801146,0.000256575313274,0.000251831383788,0.000247345004905,0.000243079861194,0.000239051298789,0.000235197795097,0.000231513709332,0.000228005460622
"U(0, 1, 3, 1)",0.0085463859834,0.00101069085289,0.00102399002334,0.00103689180523,0.00104946871194,0.00106189583067,0.00107387282873,0.00108570747061,0.00109729956783,0.0011086817201,0.00111978401467,0.00113076207909,0.00114140535524,0.00115175055016,0.00116189267803
"U(0, 1, 3, 2)",0.00184346697665,0.000734134889301,0.000718509098369,0.000703738205644,0.000689775388474,0.000676647144436,0.000664084706921,0.00065221692625,0.000640921315174,0.000630165130864,0.000619863194113,0.000610061405495,0.000600609066877,0.00059149749854,0.000582748506083
"U(0, 2, 0, 0)",0.000306642029557,0.000117938449774,0.000115780567144,0.000113762699608,0.000111876869949,0.00011012710883,0.000108469446195,0.000106924608899,0.000105472404038,0.000104107279286,0.000102815007291,0.000101603060439,0.000100446245936,9.93428812646e-05,9.82964692842e-05
"U(0, 2, 0, 1)",0.00117932157825,0.000385592797472,0.000379431324988,0.000373689300992,0.000368345366227,0.000363379500265,0.000358420591287,0.00035382053976,0.000349515195152,0.000345488505035,0.000341695387423,0.00033816262485,0.000334491123183,0.000330970859704,0.000327649163396
