,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.220916963454,0.00786542539558,0.00992074699606,0.0118888363408,0.0137766373807,0.0155861117846,0.01732524186,0.0189991817914,0.0206129447308,0.0221707045389,0.0236739278463,0.025123993979,0.0265263928973,0.027884982345,0.0291975468536
S(1),0.0184652333161,0.00154734710119,0.0015341315487,0.00150054968876,0.00146129982144,0.00142999962085,0.00140618854063,0.00138920202439,0.00137847148632,0.0013734596581,0.00137355269166,0.00137823005128,0.00138725815584,0.00140034177701,0.00141692678502
S(2),0.0011562638402,0.000658524914124,0.000647521420417,0.000637365530501,0.00062793878905,0.000618992798991,0.000610608486126,0.000602613320161,0.000594875991549,0.000587618218248,0.000580749255596,0.000574203138266,0.000568019980486,0.000562198655512,0.000556528981509
"I(0, 1, 0)",0.00604194973697,0.00143555967125,0.00140917583931,0.00138566555586,0.00136469316964,0.00134564938399,0.00132864733233,0.00131354685972,0.00129634432163,0.00127946766955,0.00126429719299,0.00125063477865,0.00123851746917,0.00122789665084,0.00121321235476
"I(0, 1, 1)",0.000457985174441,0.000249241225481,0.000245035391975,0.000241190703023,0.000237658947387,0.000234343085941,0.00023127100618,0.00022806130986,0.000225054917331,0.000222269486284,0.000219667783822,0.000217222201899,0.000214945472093,0.00021283493479,0.000210637384239
"I(0, 1, 2)",0.000406217187158,0.000288971575617,0.000280234356775,0.000272028481639,0.00026428780688,0.000256895247499,0.000249874426718,0.000243199081535,0.000236849123981,0.000230800789481,0.000225010703635,0.000219446953847,0.000214119048891,0.000209020377361,0.000204102509481
"I(1, 0, 0)",0.071034695166,0.00183023739838,0.00182615856459,0.00183593374449,0.00185847196724,0.00189235234968,0.0019371814251,0.00199228275297,0.00205707641506,0.00213099370963,0.00221330105973,0.00230335077644,0.00240093578781,0.00250574395506,0.00261696884473
"I(1, 0, 1)",0.00481140071212,0.000769287606395,0.000754702478255,0.000741986294384,0.000730943187239,0.000721232570551,0.00071290218625,0.000705731658717,0.00069419641508,0.000684058203594,0.000675165130804,0.000667398402426,0.000660765796671,0.000655230254803,0.00065013614351
"I(1, 0, 2)",0.000991895585482,0.000612722966256,0.000599261719892,0.000586703652018,0.00057492856268,0.000563700214247,0.000553085491047,0.000543042193097,0.000533540479364,0.000524541034408,0.00051595811299,0.000507729347465,0.000499886771866,0.000492425574494,0.00048524130248
"I(1, 1, 0)",0.00409474397078,0.00144174244831,0.00141815540486,0.00139656587687,0.00137567731423,0.00135542248888,0.00133656945861,0.00131903174492,0.00130275159899,0.00128764712961,0.00127352040098,0.00125842356639,0.00124423211003,0.00123098780768,0.00121843750957
"I(1, 1, 1)",0.000347798310199,0.000198053929975,0.000194553529209,0.000191350445296,0.00018840606794,0.000185643207047,0.000183083772737,0.000180714103413,0.000178524644745,0.000176502686694,0.00017432257905,0.000172249721034,0.000170319327613,0.000168529253814,0.000166843249235
"I(1, 1, 2)",0.000845752841337,0.000561683642168,0.000547102935167,0.000533407330963,0.000520480476818,0.000508102968897,0.000496330888857,0.000485121576887,0.000474443824431,0.000464258320138,0.000454485317106,0.000445066841961,0.000436028189743,0.000427361985145,0.000418974764739
"U(0, 1, 0, 0)",0.00412893610427,0.0014698838165,0.00144488492716,0.00142267335007,0.00140290791362,0.00138496452883,0.00136697973658,0.00134747276822,0.0013299962088,0.00131439859522,0.00130041581687,0.00128784367702,0.00127226970366,0.00125651529671,0.00124222018908
"U(0, 1, 0, 1)",0.00473418095643,0.00128324464669,0.00126289268528,0.00124474022687,0.00122756894503,0.00120782628165,0.00118984130607,0.00117350798196,0.00115874764615,0.001145461837,0.00113345036359,0.00112084053636,0.00110753521749,0.00109549982214,0.00108448871247
"U(0, 1, 0, 2)",0.000303668572651,0.000199447461501,0.000195021554277,0.000190918350773,0.000187096215632,0.000183476018875,0.000180077488013,0.000176885050543,0.000173887334102,0.000171070035846,0.000168403830305,0.000165867085504,0.000163469091281,0.000161207237122,0.000159046363352
"U(0, 1, 1, 0)",0.00271595773524,0.00157374003622,0.00154791990903,0.00152416322639,0.00150139323577,0.00147953852231,0.00145909915075,0.00143998309237,0.00142212920691,0.00140544957568,0.00138939310835,0.00137321372245,0.00135796705549,0.00134365112125,0.00132999059069
"U(0, 1, 1, 1)",0.00198011586931,0.000918317335591,0.000903158266383,0.000889322212939,0.000876636608742,0.000864447354785,0.000851888967016,0.000840240058216,0.000829456138514,0.00081947794009,0.000810172929869,0.000801443470854,0.000792891568407,0.000784239817602,0.000776083334915
"U(0, 1, 1, 2)",0.000509260078235,0.000372095832552,0.000361362600205,0.000351312408227,0.00034186084367,0.000332857176907,0.000324332474642,0.000316253321384,0.000308594269778,0.000301325038086,0.000294389597145,0.000287746606541,0.000281408914639,0.000275368371082,0.000269561639772
"U(0, 1, 2, 0)",0.00167445399856,0.00114390980572,0.00112427642592,0.00110611465907,0.00108921899944,0.00107315882557,0.0010580748514,0.00104390074405,0.00103059263326,0.00101808729103,0.00100622960422,0.000994907188746,0.000984191299789,0.000974081590166,0.000964151801106
