,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.159278487523,0.0177741729668,0.0179893979096,0.0181994085667,0.0184043230483,0.0186042570688,0.0187993239087,0.0189896344092,0.0191752969853,0.0193564176516,0.0195331000562,0.0197054455192,0.0198735530748,0.0200375195151,0.0201974394357
S(1),0.0099920097498,0.000910628926913,0.000917126864925,0.000923963880956,0.000931101782472,0.000938506918202,0.000946149314108,0.000954002027423,0.000962040656942,0.000970242966263,0.000978588589452,0.000987058797498,0.000995636310081,0.00100430514154,0.00101305047292
S(2),0.000884038204248,0.000247462110571,0.000244677483677,0.000241944720512,0.000239263089048,0.000236631849651,0.000234050257968,0.000231517567206,0.000229033029951,0.000226595899632,0.000224205431711,0.000221860884657,0.000219561520767,0.000217306606835,0.000215095414738
"I(0, 1, 0)",0.00105062779066,0.000230002936152,0.000227219695343,0.000224540559143,0.00022196195769,0.000219480445762,0.000217092697376,0.000214795500846,0.000212585754201,0.000210460460895,0.00020841672578,0.000206451751295,0.000204562833849,0.000202747360389,0.000201002805127
"I(0, 1, 1)",7.99120301987e-05,0.000112814531779,0.000108361064485,0.000104144343561,0.00010014439601,9.63442219951e-05,9.27291577098e-05,8.92863998079e-05,8.60046469344e-05,8.28738267179e-05,7.98848856009e-05,7.70296252346e-05,7.4300573668e-05,7.16908827642e-05,6.91942455662e-05
"I(0, 1, 2)",0.000611048783435,0.000240971457459,0.000237925430961,0.000234921624992,0.000231959436301,0.000229038267041,0.000226157525907,0.000223316628966,0.000220515000221,0.000217752071997,0.000215027285173,0.000212340089311,0.0002096899427,0.000207076312342,0.000204498673898
"I(1, 0, 0)",0.0816203520392,0.00584879730212,0.00593819473968,0.00602847861617,0.00611958326433,0.0062114453421,0.00630400374848,0.00639719954531,0.0064909758839,0.00658527793559,0.00668005282558,0.00677524956982,0.00687081901437,0.00696671377723,0.00706288819238
"I(1, 0, 1)",0.00441295977603,0.000343660826521,0.00034392783121,0.000344472763331,0.000345276102826,0.000346321113919,0.000347593224706,0.000349079566669,0.000350768629889,0.000352650002532,0.000354714172141,0.000356952372578,0.00035935646496,0.000361918844096,0.000364632364224
"I(1, 0, 2)",0.000952499424307,0.000273833041583,0.000271223649654,0.000268646469304,0.000266101213331,0.00026358759341,0.00026110532115,0.000258654108871,0.000256233670153,0.000253843720227,0.000251483976225,0.000249154157352,0.000246853984971,0.00024458318265,0.00024234147617
"I(1, 1, 0)",0.00165417387779,0.000324484694922,0.0003227472844,0.000321031628295,0.000319338249275,0.000317667632691,0.00031602022715,0.000314396445351,0.000312796665079,0.000311221230294,0.000309670452276,0.000308144610798,0.000306643955298,0.000305168706056,0.000303719055351
"I(1, 1, 1)",0.000128076819714,0.000118898094616,0.000114503310407,0.000110344258773,0.000106400883053,0.000102656104168,9.90951850468e-05,9.57052559156e-05,9.24749562364e-05,8.93941618023e-05,8.6453774474e-05,8.36455583548e-05,8.09620106823e-05,7.83962589003e-05,7.59419776567e-05
"I(1, 1, 2)",0.00125981407414,0.000322462953412,0.000320310346886,0.000318168708399,0.000316038075532,0.000313918478858,0.000311809943222,0.000309712488762,0.000307626131706,0.000305550884994,0.000303486758779,0.000301433760808,0.000299391896736,0.000297361170363,0.000295341583837
"U(0, 1, 0, 0)",0.0286120416682,0.00304836868532,0.00308559183301,0.00312314421272,0.00316098203339,0.00319906338485,0.00323734822894,0.00327579837643,0.00331437745329,0.00335305085917,0.00339178572026,0.00343055083819,0.00346931663636,0.00350805510464,0.00354673974333
"U(0, 1, 0, 1)",0.00532497376873,0.000552234654686,0.000555595679662,0.000558765601985,0.000561800951487,0.000564743846471,0.000567626302461,0.000570473075803,0.000573303578749,0.000576133196656,0.000578974213706,0.000581836477767,0.000584727888255,0.000587654761681,0.000590622111084
"U(0, 1, 0, 2)",0.000666272536204,0.000265233369404,0.000262547925478,0.00025983983975,0.000257114963199,0.000254378463784,0.000251634914985,0.000248888372464,0.000246142440003,0.000243400326027,0.000240664892002,0.0002379386939,0.000235224017765,0.000232522910304,0.000229837205265
"U(0, 1, 1, 0)",0.0164213304383,0.00149781741568,0.00151831063164,0.00153886526883,0.00155949247299,0.00158020170082,0.00160100087519,0.00162189652452,0.00164289390832,0.00166399713061,0.00168520924271,0.00170653233678,0.00172796763098,0.0017495155475,0.00177117578398
