,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.0931740041838,0.0220508587736,0.0223051046456,0.0225484773981,0.0227814070625,0.0230043005238,0.0232175436035,0.0234215028621,0.023616527168,0.0238029490678,0.0239810859908,0.0241512413124,0.0243137052984,0.0244687559484,0.0246166597519
S(1),0.00496203194139,0.00102041539978,0.00102271259475,0.00102547751385,0.00102865879857,0.00103221089127,0.00103609306194,0.0010402686504,0.00104470447003,0.00104937033321,0.00105423866928,0.00105928421336,0.00106448374989,0.00106981589876,0.001075260935
S(2),0.000573821572746,0.000397403185012,0.000391815401279,0.000386330615064,0.000380947116154,0.000375663197958,0.000370477161329,0.000365387317591,0.000360391990964,0.000355489520492,0.000350678261586,0.00034595658727,0.000341322889166,0.000336775578294,0.000332313085698
"I(0, 1, 0)",0.00393293184931,0.000856876835045,0.000857300298353,0.000858108803649,0.000859267794028,0.000860745598083,0.000862513102266,0.000864543474172,0.000866811927312,0.000869295519849,0.000871972981282,0.000874824562216,0.000877831903323,0.000880977920336,0.0008842467025
"I(0, 1, 1)",0.00019776950675,0.000227472166845,0.000219892513086,0.000212684898135,0.000205822243887,0.000199280954094,0.000193040254888,0.000187081684073,0.000181388692705,0.000175946331888,0.000170741004586,0.000165760267309,0.000160992670325,0.000156427627774,0.000152055311184
"I(0, 1, 2)",0.000362620989527,0.000372212933891,0.000366183740152,0.000360257415481,0.000354432131222,0.000348706088519,0.000343077519233,0.00033754468649,0.000332105884937,0.000326759440777,0.00032150371163,0.00031633708626,0.000311257984214,0.000306264855378,0.000301356179483
"I(1, 0, 0)",0.00643012957317,0.00126155177643,0.00126719033871,0.00127325532196,0.0012797021872,0.00128649000993,0.00129358109304,0.00130094063809,0.00130853646406,0.00131633876516,0.00132431990072,0.00133245421183,0.0013407178602,0.00134908868562,0.00135754607925
"I(1, 0, 1)",0.000355006266144,0.000248551056473,0.000241320628419,0.000234456679715,0.000227932779916,0.000221725890316,0.000215815718133,0.000210184216666,0.000204815195668,0.000199694015352,0.000194807344213,0.000190142965782,0.000185689623173,0.000181436892941,0.000177375081873
"I(1, 0, 2)",0.000998479664519,0.000536138264263,0.000531899832252,0.000527683563767,0.000523489783931,0.000519318796534,0.000515170885861,0.000511046318224,0.000506945343256,0.000502868194996,0.000498815092823,0.000494786242245,0.000490781835591,0.000486802052615,0.000482847061023
"I(1, 1, 0)",0.000553376594121,0.000303105328519,0.000296699747034,0.000290558806359,0.000284668700559,0.000279016885974,0.000273591898582,0.000268383203257,0.000263381068884,0.000258576464513,0.000253960972651,0.000249526716585,0.000245266299192,0.0002411727512,0.000237239487251
"I(1, 1, 1)",5.73591933078e-05,0.00021352213258,0.000205685213104,0.000198212962321,0.000191078707679,0.000184259237322,0.000177734146585,0.000171485331331,0.000165496592255,0.000159753323442,0.000154242265282,0.000148951306798,0.000143869326164,0.000138986060919,0.000134292001422
"I(1, 1, 2)",0.00121439070243,0.000589760492406,0.000586102131388,0.00058244564719,0.000578791649277,0.000575140721732,0.000571493425279,0.000567850299015,0.000564211861892,0.00056057861399,0.000556951037616,0.000553329598261,0.000549714745441,0.000546106913432,0.000542506521937
"U(0, 1, 0, 0)",0.0112458924823,0.00236095159984,0.00237889367033,0.00239732062944,0.00241615122136,0.00243531106882,0.00245473215609,0.00247435232616,0.00249411480427,0.00251396775394,0.00253386386771,0.00255375999248,0.0025736167879,0.00259339841558,0.0026130722567
