,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.197491310818,0.020552571712,0.0208155038848,0.0210737087962,0.0213272695866,0.0215762678298,0.0218207835639,0.0220608953202,0.0222966801525,0.0225282136661,0.0227555700459,0.0229788220847,0.023198041211,0.0234132975159,0.0236246597809
S(1),0.0285883945325,0.00198735545887,0.00201576387283,0.00204452913017,0.00207363493596,0.00210306543502,0.00213280519987,0.00216283921901,0.00219315288557,0.00222373198625,0.0022545626907,0.00228563154118,0.00231692544251,0.00234843165243,0.00238013777217
S(2),0.0027520795918,0.000359342021455,0.000358884891422,0.000358480722381,0.000358129529836,0.000357831301727,0.000357585999725,0.000357393560459,0.000357253896688,0.000357166898396,0.000357132433852,0.00035715035061,0.000357220476461,0.000357342620347,0.000357516573229
"I(0, 1, 0)",0.038034531999,0.00275809908523,0.00279866444672,0.00283969100123,0.00288115256295,0.00292302369469,0.0029652796892,0.0030078965509,0.00305085097797,0.00309412034488,0.00313768268528,0.0031815166753,0.0032256016173,0.00326991742395,0.00331444460271
"I(0, 1, 1)",0.00400645957903,0.000383856992398,0.000384604770031,0.00038545201527,0.000386398019545,0.000387442035184,0.000388583277266,0.000389820925423,0.000391154125581,0.000392581991661,0.00039410360722,0.000395718027054,0.000397424278742,0.00039922136416,0.000401108260941
"I(0, 1, 2)",0.00247748588833,0.000407288581424,0.000406761834253,0.000406241839334,0.000405728975411,0.000405223613645,0.000404726117868,0.000404236844793,0.000403756144215,0.000403284359179,0.000402821826137,0.000402368875083,0.00040192582968,0.000401493007371,0.000401070719479
"I(1, 0, 0)",0.0499141836059,0.00353114148503,0.00358547699677,0.00364040412278,0.00369589018582,0.00375190341726,0.0038084129349,0.0038653887212,0.00392280160205,0.00398062322591,0.00403882604351,0.00409738328794,0.00415626895527,0.00421545778563,0.00427492524471
"I(1, 0, 1)",0.00512669272313,0.000434410862179,0.000436388529749,0.000438482621648,0.000440692530385,0.000443017590392,0.000445457080635,0.000448010227148,0.00045067620548,0.000453454143083,0.000456343121608,0.000459342179151,0.000462450312418,0.000465666478831,0.000468989598569
"I(1, 0, 2)",0.000864293116678,0.000254685687388,0.000252080459204,0.000249514396602,0.000246987115028,0.000244498232951,0.000242047372039,0.000239634157287,0.000237258217127,0.000234919183514,0.000232616691986,0.000230350381707,0.000228119895497,0.000225924879846,0.000223764984915
"I(1, 1, 0)",0.017546276413,0.00107079806619,0.00108709058135,0.00110363785971,0.00112044207133,0.00113750509265,0.00115482851777,0.00117241366927,0.00119026160877,0.00120837314705,0.00122674885393,0.00124538906776,0.00126429390466,0.00128346326745,0.00130289685425
