,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.220916963454,0.0385210966513,0.0390183579494,0.0395077859773,0.0399894920093,0.0404635859702,0.0409301764379,0.0413893706456,0.0418412744862,0.0422859925171,0.0427236279657,0.0431542827365,0.0435780574182,0.043995051292,0.0444053623401
S(1),0.0184652333161,0.00244559311076,0.00247332541445,0.00250164247614,0.00253049677324,0.0025598440786,0.00258964308107,0.00261985507087,0.00265044367685,0.00268137464528,0.00271261565207,0.00274413614222,0.00277590719121,0.00280790138459,0.00284009271248
S(2),0.0011562638402,0.000435504171297,0.000431226136776,0.000427050341486,0.000422975109097,0.000418998781252,0.000415119718649,0.000411336301755,0.000407646931257,0.000404050028295,0.000400544034558,0.000397127412258,0.00039379864403,0.000390556232772,0.000387398701444
"I(0, 1, 0)",0.00604194973697,0.00100943185731,0.00101503615001,0.0010208486609,0.00102686123496,0.00103306593369,0.00103945502975,0.00104602100159,0.0010527565282,0.001059654484,0.00106670793382,0.00107391012809,0.00108125449805,0.00108873465123,0.00109634436695
"I(0, 1, 1)",0.000457985174441,0.000261935163632,0.000255562374741,0.000249471537253,0.000243646179646,0.000238071517275,0.000232734195352,0.000227622079141,0.000222724081857,0.000218030022814,0.000213530509882,0.000209216841586,0.000205080925115,0.000201115207283,0.000197312616063
"I(0, 1, 2)",0.000406217187158,0.000355019679823,0.000349287230689,0.000343658471289,0.000338131215544,0.000332703335845,0.000327372761742,0.000322137478471,0.000316995525367,0.000311944994227,0.00030698402765,0.00030211081737,0.000297323602617,0.000292620668504,0.000288000344455
"I(1, 0, 0)",0.071034695166,0.00811243704167,0.0082473287563,0.00838372673374,0.00852156757878,0.00866078933924,0.00880133147848,0.0089431348478,0.00908614165889,0.00923029545648,0.00937554109143,0.00952182469414,0.00966909364856,0.0098172965666,0.00996638326306
"I(1, 0, 1)",0.00481140071212,0.000620786719915,0.000622540120365,0.000624666934574,0.000627151707466,0.00062998045088,0.000633140403003,0.000636619833289,0.000640407883679,0.000644494438847,0.000648870019752,0.000653525695954,0.00065845301308,0.000663643932576,0.00066909078145
"I(1, 0, 2)",0.000991895585482,0.000462853877218,0.000458439391819,0.000454087221097,0.00044979653907,0.000445566541508,0.000441396445724,0.000437285490142,0.000433232933724,0.000429238055289,0.000425300152765,0.000421418542415,0.000417592558031,0.000413821550139,0.000410104885203
"I(1, 1, 0)",0.00409474397078,0.000769771425535,0.00077168835287,0.000773705738876,0.000775824271898,0.000778044564576,0.00078036715624,0.000782792515175,0.000785321040797,0.00078795306575,0.000790688857942,0.000793528622534,0.000796472503877,0.000799520587415,0.000802672901542
