,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),221806,4509724,4509724,4509724,4509724,4509724,4509724,4509724,4509724,4509724,4509724,4509724,4509724,4509724,4509724
S(1),221677,230373,230373,230373,230373,230373,230373,230373,230373,230373,230373,230373,230373,230373,230373
S(2),221677,227360,227360,227360,227360,227360,227360,227360,227360,227360,227360,227360,227360,227360,227360
"I(0, 1, 0)",221677,259749,259749,259749,259749,259749,259749,259749,259749,259749,259749,259749,259749,259749,259749
"I(0, 1, 1)",221677,163893,163893,163893,163893,163893,163893,163893,163893,163893,163893,163893,163893,163893,163893
"I(0, 1, 2)",221677,228997,228997,228997,228997,228997,228997,228997,228997,228997,228997,228997,228997,228997,228997
"I(1, 0, 0)",221677,266795,266795,266795,266795,266795,266795,266795,266795,266795,266795,266795,266795,266795,266795
"I(1, 0, 1)",221677,165718,165718,165718,165718,165718,165718,165718,165718,165718,165718,165718,165718,165718,165718
"I(1, 0, 2)",221677,241175,241175,241175,241175,241175,241175,241175,241175,241175,241175,241175,241175,241175,241175
"I(1, 1, 0)",221677,224687,224687,224687,224687,224687,224687,224687,224687,224687,224687,224687,224687,224687,224687
"I(1, 1, 1)",221677,165277,165277,165277,165277,165277,165277,165277,165277,165277,165277,165277,165277,165277,165277
"I(1, 1, 2)",221677,252920,252920,252920,252920,252920,252920,252920,252920,252920,252920,252920,252920,252920,252920
"U(0, 1, 0, 0)",221677,431052,431052,431052,431052,431052,431052,431052,431052,431052,431052,431052,431052,431052,431052
"U(0, 1, 0, 1)",221677,297297,297297,297297,297297,297297,297297,297297,297297,297297,297297,297297,297297,297297,297297
"U(0, 1, 0, 2)",221677,266965,266965,266965,266965,266965,266965,266965,266965,266965,266965,266965,266965,266965,266965
"U(0, 1, 1, 0)",221677,322381,322381,322381,322381,322381,322381,322381,322381,322381,322381,322381,322381,322381,322381
"U(0, 1, 1, 1)",221677,253696,253696,253696,253696,253696,253696,253696,253696,253696,253696,253696,253696,253696,253696
"U(0, 1, 1, 2)",221677,307719,307719,307719,307719,307719,307719,307719,307719,307719,307719,307719,307719,307719,307719
"U(0, 1, 2, 0)",221677,301796,301796,301796,301796,301796,301796,301796,301796,301796,301796,301796,301796,301796,301796
"U(0, 1, 2, 1)",221677,272048,272048,272048,272048,272048,272048,272048,272048,272048,272048,272048,272048,272048,272048
"U(0, 1, 2, 2)",221677,350223,350223,350223,350223,350223,350223,350223,350223,350223,350223,350223,350223,350223,350223
"U(0, 1, 3, 0)",221677,352755,352755,352755,352755,352755,352755,352755,352755,352755,352755,352755,352755,352755,352755
"U(0, 1, 3, 1)",221677,339818,339818,339818,339818,339818,339818,339818,339818,339818,339818,339818,339818,339818,339818
"U(0, 1, 3, 2)",221677,409605,409605,409605,409605,409605,409605,409605,409605,409605,409605,409605,409605,409605,409605
"U(0, 2, 0, 0)",221677,184136,184136,184136,184136,184136,184136,184136,184136,184136,184136,184136,184136,184136,184136
"U(0, 2, 0, 1)",221677,158548,158548,158548,158548,158548,158548,158548,158548,158548,158548,158548,158548,158548,158548
"U(0, 2, 0, 2)",221677,197397,197397,197397,197397,197397,197397,197397,197397,197397,197397,197397,197397,197397,197397
"U(0, 2, 1, 0)",221677,174528,174528,174528,174528,174528,174528,174528,174528,174528,174528,174528,174528,174528,174528
"U(0, 2, 1, 1)",221677,186232,186232,186232,186232,186232,186232,186232,186232,186232,186232,186232,186232,186232,186232
"U(0, 2, 1, 2)",221677,192277,192277,192277,192277,192277,192277,192277,192277,192277,192277,192277,192277,192277,192277
"U(0, 2, 2, 0)",221677,177643,177643,177643,177643,177643,177643,177643,177643,177643,177643,177643,177643,177643,177643
"U(0, 2, 2, 1)",221677,160823,160823,160823,160823,160823,160823,160823,160823,160823,160823,160823,160823,160823,160823
"U(0, 2, 2, 2)",221677,145497,145497,145497,145497,145497,145497,145497,145497,145497,145497,145497,145497,145497,145497
"U(0, 2, 3, 0)",221677,167671,167671,167671,167671,167671,167671,167671,167671,167671,167671,167671,167671,167671,167671
"U(0, 2, 3, 1)",221677,137446,137446,137446,137446,137446,137446,137446,137446,137446,137446,137446,137446,137446,137446
"U(0, 2, 3, 2)",221677,147950,147950,147950,147950,147950,147950,147950,147950,147950,147950,147950,147950,147950,147950
