,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),126435,2557774,2557774,2557774,2557774,2557774,2557774,2557774,2557774,2557774,2557774,2557774,2557774,2557774,2557774
S(1),126324,127790,127790,127790,127790,127790,127790,127790,127790,127790,127790,127790,127790,127790,127790
S(2),126324,130143,130143,130143,130143,130143,130143,130143,130143,130143,130143,130143,130143,130143,130143
"I(0, 1, 0)",126324,116787,116787,116787,116787,116787,116787,116787,116787,116787,116787,116787,116787,116787,116787
"I(0, 1, 1)",126324,90460,90460,90460,90460,90460,90460,90460,90460,90460,90460,90460,90460,90460,90460
"I(0, 1, 2)",126324,127570,127570,127570,127570,127570,127570,127570,127570,127570,127570,127570,127570,127570,127570
"I(1, 0, 0)",126324,168106,168106,168106,168106,168106,168106,168106,168106,168106,168106,168106,168106,168106,168106
"I(1, 0, 1)",126324,91279,91279,91279,91279,91279,91279,91279,91279,91279,91279,91279,91279,91279,91279
"I(1, 0, 2)",126324,139971,139971,139971,139971,139971,139971,139971,139971,139971,139971,139971,139971,139971,139971
"I(1, 1, 0)",126324,124058,124058,124058,124058,124058,124058,124058,124058,124058,124058,124058,124058,124058,124058
"I(1, 1, 1)",126324,90851,90851,90851,90851,90851,90851,90851,90851,90851,90851,90851,90851,90851,90851
"I(1, 1, 2)",126324,142929,142929,142929,142929,142929,142929,142929,142929,142929,142929,142929,142929,142929,142929
"U(0, 1, 0, 0)",126324,252615,252615,252615,252615,252615,252615,252615,252615,252615,252615,252615,252615,252615,252615
"U(0, 1, 0, 1)",126324,164967,164967,164967,164967,164967,164967,164967,164967,164967,164967,164967,164967,164967,164967
"U(0, 1, 0, 2)",126324,144537,144537,144537,144537,144537,144537,144537,144537,144537,144537,144537,144537,144537,144537
"U(0, 1, 1, 0)",126324,181227,181227,181227,181227,181227,181227,181227,181227,181227,181227,181227,181227,181227,181227
"U(0, 1, 1, 1)",126324,138550,138550,138550,138550,138550,138550,138550,138550,138550,138550,138550,138550,138550,138550
"U(0, 1, 1, 2)",126324,148544,148544,148544,148544,148544,148544,148544,148544,148544,148544,148544,148544,148544,148544
"U(0, 1, 2, 0)",126324,168921,168921,168921,168921,168921,168921,168921,168921,168921,168921,168921,168921,168921,168921
"U(0, 1, 2, 1)",126324,157555,157555,157555,157555,157555,157555,157555,157555,157555,157555,157555,157555,157555,157555
"U(0, 1, 2, 2)",126324,186182,186182,186182,186182,186182,186182,186182,186182,186182,186182,186182,186182,186182,186182
"U(0, 1, 3, 0)",126324,197726,197726,197726,197726,197726,197726,197726,197726,197726,197726,197726,197726,197726,197726
"U(0, 1, 3, 1)",126324,181685,181685,181685,181685,181685,181685,181685,181685,181685,181685,181685,181685,181685,181685
"U(0, 1, 3, 2)",126324,229148,229148,229148,229148,229148,229148,229148,229148,229148,229148,229148,229148,229148,229148
"U(0, 2, 0, 0)",126324,107181,107181,107181,107181,107181,107181,107181,107181,107181,107181,107181,107181,107181,107181
"U(0, 2, 0, 1)",126324,88778,88778,88778,88778,88778,88778,88778,88778,88778,88778,88778,88778,88778,88778
"U(0, 2, 0, 2)",126324,116763,116763,116763,116763,116763,116763,116763,116763,116763,116763,116763,116763,116763,116763
"U(0, 2, 1, 0)",126324,101083,101083,101083,101083,101083,101083,101083,101083,101083,101083,101083,101083,101083,101083
"U(0, 2, 1, 1)",126324,103317,103317,103317,103317,103317,103317,103317,103317,103317,103317,103317,103317,103317,103317
"U(0, 2, 1, 2)",126324,128040,128040,128040,128040,128040,128040,128040,128040,128040,128040,128040,128040,128040,128040
"U(0, 2, 2, 0)",126324,103007,103007,103007,103007,103007,103007,103007,103007,103007,103007,103007,103007,103007,103007
"U(0, 2, 2, 1)",126324,84465,84465,84465,84465,84465,84465,84465,84465,84465,84465,84465,84465,84465,84465
"U(0, 2, 2, 2)",126324,90924,90924,90924,90924,90924,90924,90924,90924,90924,90924,90924,90924,90924,90924
"U(0, 2, 3, 0)",126324,96797,96797,96797,96797,96797,96797,96797,96797,96797,96797,96797,96797,96797,96797
"U(0, 2, 3, 1)",126324,80825,80825,80825,80825,80825,80825,80825,80825,80825,80825,80825,80825,80825,80825
"U(0, 2, 3, 2)",126324,80558,80558,80558,80558,80558,80558,80558,80558,80558,80558,80558,80558,80558,80558
"U(1, 0, 0, 0)",126324,175274,175274,175274,175274,175274,175274,175274,175274,175274,175274,175274,175274,175274,175274
"U(1, 0, 0, 1)",126324,147839,147839,147839,147839,147839,147839,147839,147839,147839,147839,147839,147839,147839,147839
"U(1, 0, 0, 2)",126324,142875,142875,142875,142875,142875,142875,142875,142875,142875,142875,142875,142875,142875,142875
