,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),122650,2496734,2496734,2496734,2496734,2496734,2496734,2496734,2496734,2496734,2496734,2496734,2496734,2496734,2496734
S(1),122542,141175,141175,141175,141175,141175,141175,141175,141175,141175,141175,141175,141175,141175,141175
S(2),122542,120186,120186,120186,120186,120186,120186,120186,120186,120186,120186,120186,120186,120186,120186
"I(0, 1, 0)",122542,190363,190363,190363,190363,190363,190363,190363,190363,190363,190363,190363,190363,190363,190363
"I(0, 1, 1)",122542,103731,103731,103731,103731,103731,103731,103731,103731,103731,103731,103731,103731,103731,103731
"I(0, 1, 2)",122542,130521,130521,130521,130521,130521,130521,130521,130521,130521,130521,130521,130521,130521,130521
"I(1, 0, 0)",122542,243604,243604,243604,243604,243604,243604,243604,243604,243604,243604,243604,243604,243604,243604
"I(1, 0, 1)",122542,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520
"I(1, 0, 2)",122542,133381,133381,133381,133381,133381,133381,133381,133381,133381,133381,133381,133381,133381,133381
"I(1, 1, 0)",122542,151094,151094,151094,151094,151094,151094,151094,151094,151094,151094,151094,151094,151094,151094
"I(1, 1, 1)",122542,103893,103893,103893,103893,103893,103893,103893,103893,103893,103893,103893,103893,103893,103893
"I(1, 1, 2)",122542,150623,150623,150623,150623,150623,150623,150623,150623,150623,150623,150623,150623,150623,150623
"U(0, 1, 0, 0)",122542,124781,124781,124781,124781,124781,124781,124781,124781,124781,124781,124781,124781,124781,124781
"U(0, 1, 0, 1)",122542,131545,131545,131545,131545,131545,131545,131545,131545,131545,131545,131545,131545,131545,131545
"U(0, 1, 0, 2)",122542,101886,101886,101886,101886,101886,101886,101886,101886,101886,101886,101886,101886,101886,101886
"U(0, 1, 1, 0)",122542,136558,136558,136558,136558,136558,136558,136558,136558,136558,136558,136558,136558,136558,136558
"U(0, 1, 1, 1)",122542,132637,132637,132637,132637,132637,132637,132637,132637,132637,132637,132637,132637,132637,132637
"U(0, 1, 1, 2)",122542,127481,127481,127481,127481,127481,127481,127481,127481,127481,127481,127481,127481,127481,127481
"U(0, 1, 2, 0)",122542,132261,132261,132261,132261,132261,132261,132261,132261,132261,132261,132261,132261,132261,132261
"U(0, 1, 2, 1)",122542,138280,138280,138280,138280,138280,138280,138280,138280,138280,138280,138280,138280,138280,138280
"U(0, 1, 2, 2)",122542,138083,138083,138083,138083,138083,138083,138083,138083,138083,138083,138083,138083,138083,138083
"U(0, 1, 3, 0)",122542,153854,153854,153854,153854,153854,153854,153854,153854,153854,153854,153854,153854,153854,153854
"U(0, 1, 3, 1)",122542,162548,162548,162548,162548,162548,162548,162548,162548,162548,162548,162548,162548,162548,162548
"U(0, 1, 3, 2)",122542,169537,169537,169537,169537,169537,169537,169537,169537,169537,169537,169537,169537,169537,169537
"U(0, 2, 0, 0)",122542,112143,112143,112143,112143,112143,112143,112143,112143,112143,112143,112143,112143,112143,112143
"U(0, 2, 0, 1)",122542,108367,108367,108367,108367,108367,108367,108367,108367,108367,108367,108367,108367,108367,108367
"U(0, 2, 0, 2)",122542,128178,128178,128178,128178,128178,128178,128178,128178,128178,128178,128178,128178,128178,128178
"U(0, 2, 1, 0)",122542,105374,105374,105374,105374,105374,105374,105374,105374,105374,105374,105374,105374,105374,105374
"U(0, 2, 1, 1)",122542,108754,108754,108754,108754,108754,108754,108754,108754,108754,108754,108754,108754,108754,108754
"U(0, 2, 1, 2)",122542,116293,116293,116293,116293,116293,116293,116293,116293,116293,116293,116293,116293,116293,116293
"U(0, 2, 2, 0)",122542,107171,107171,107171,107171,107171,107171,107171,107171,107171,107171,107171,107171,107171,107171
"U(0, 2, 2, 1)",122542,103254,103254,103254,103254,103254,103254,103254,103254,103254,103254,103254,103254,103254,103254
"U(0, 2, 2, 2)",122542,107540,107540,107540,107540,107540,107540,107540,107540,107540,107540,107540,107540,107540,107540
"U(0, 2, 3, 0)",122542,100443,100443,100443,100443,100443,100443,100443,100443,100443,100443,100443,100443,100443,100443
"U(0, 2, 3, 1)",122542,96845,96845,96845,96845,96845,96845,96845,96845,96845,96845,96845,96845,96845,96845
"U(0, 2, 3, 2)",122542,98230,98230,98230,98230,98230,98230,98230,98230,98230,98230,98230,98230,98230,98230
"U(1, 0, 0, 0)",122542,134186,134186,134186,134186,134186,134186,134186,134186,134186,134186,134186,134186,134186,134186
"U(1, 0, 0, 1)",122542,146531,146531,146531,146531,146531,146531,146531,146531,146531,146531,146531,146531,146531,146531
"U(1, 0, 0, 2)",122542,94845,94845,94845,94845,94845,94845,94845,94845,94845,94845,94845,94845,94845,94845
"U(1, 0, 1, 0)",122542,138724,138724,138724,138724,138724,138724,138724,138724,138724,138724,138724,138724,138724,138724
"U(1, 0, 1, 1)",122542,141631,141631,141631,141631,141631,141631,141631,141631,141631,141631,141631,141631,141631,141631
"U(1, 0, 1, 2)",122542,122470,122470,122470,122470,122470,122470,122470,122470,122470,122470,122470,122470,122470,122470
"U(1, 0, 2, 0)",122542,133880,133880,133880,133880,133880,133880,133880,133880,133880,133880,133880,133880,133880,133880
"U(1, 0, 2, 1)",122542,149805,149805,149805,149805,149805,149805,149805,149805,149805,149805,149805,149805,149805,149805
"U(1, 0, 2, 2)",122542,137344,137344,137344,137344,137344,137344,137344,137344,137344,137344,137344,137344,137344,137344
"U(1, 0, 3, 0)",122542,154906,154906,154906,154906,154906,154906,154906,154906,154906,154906,154906,154906,154906,154906
"U(1, 0, 3, 1)",122542,178073,178073,178073,178073,178073,178073,178073,178073,178073,178073,178073,178073,178073,178073
"U(1, 0, 3, 2)",122542,169464,169464,169464,169464,169464,169464,169464,169464,169464,169464,169464,169464,169464,169464
"U(1, 1, 0, 0)",122542,123804,123804,123804,123804,123804,123804,123804,123804,123804,123804,123804,123804,123804,123804
"U(1, 1, 0, 1)",122542,208571,208571,208571,208571,208571,208571,208571,208571,208571,208571,208571,208571,208571,208571
"U(1, 1, 0, 2)",122542,97841,97841,97841,97841,97841,97841,97841,97841,97841,97841,97841,97841,97841,97841
"U(1, 1, 1, 0)",122542,158583,158583,158583,158583,158583,158583,158583,158583,158583,158583,158583,158583,158583,158583
"U(1, 1, 1, 1)",122542,224524,224524,224524,224524,224524,224524,224524,224524,224524,224524,224524,224524,224524,224524
"U(1, 1, 1, 2)",122542,128013,128013,128013,128013,128013,128013,128013,128013,128013,128013,128013,128013,128013,128013
"U(1, 1, 2, 0)",122542,154283,154283,154283,154283,154283,154283,154283,154283,154283,154283,154283,154283,154283,154283
"U(1, 1, 2, 1)",122542,256634,256634,256634,256634,256634,256634,256634,256634,256634,256634,256634,256634,256634,256634
"U(1, 1, 2, 2)",122542,142845,142845,142845,142845,142845,142845,142845,142845,142845,142845,142845,142845,142845,142845
"U(1, 1, 3, 0)",122542,184719,184719,184719,184719,184719,184719,184719,184719,184719,184719,184719,184719,184719,184719
"U(1, 1, 3, 1)",122542,330662,330662,330662,330662,330662,330662,330662,330662,330662,330662,330662,330662,330662,330662
"U(1, 1, 3, 2)",122542,183310,183310,183310,183310,183310,183310,183310,183310,183310,183310,183310,183310,183310,183310
"U(1, 2, 0, 0)",122542,104056,104056,104056,104056,104056,104056,104056,104056,104056,104056,104056,104056,104056,104056
"U(1, 2, 0, 1)",122542,133760,133760,133760,133760,133760,133760,133760,133760,133760,133760,133760,133760,133760,133760
"U(1, 2, 0, 2)",122542,72645,72645,72645,72645,72645,72645,72645,72645,72645,72645,72645,72645,72645,72645
"U(1, 2, 1, 0)",122542,127530,127530,127530,127530,127530,127530,127530,127530,127530,127530,127530,127530,127530,127530
"U(1, 2, 1, 1)",122542,161231,161231,161231,161231,161231,161231,161231,161231,161231,161231,161231,161231,161231,161231
"U(1, 2, 1, 2)",122542,88399,88399,88399,88399,88399,88399,88399,88399,88399,88399,88399,88399,88399,88399
"U(1, 2, 2, 0)",122542,124509,124509,124509,124509,124509,124509,124509,124509,124509,124509,124509,124509,124509,124509
"U(1, 2, 2, 1)",122542,159935,159935,159935,159935,159935,159935,159935,159935,159935,159935,159935,159935,159935,159935
"U(1, 2, 2, 2)",122542,95045,95045,95045,95045,95045,95045,95045,95045,95045,95045,95045,95045,95045,95045
"U(1, 2, 3, 0)",122542,140992,140992,140992,140992,140992,140992,140992,140992,140992,140992,140992,140992,140992,140992
"U(1, 2, 3, 1)",122542,170445,170445,170445,170445,170445,170445,170445,170445,170445,170445,170445,170445,170445,170445
"U(1, 2, 3, 2)",122542,104558,104558,104558,104558,104558,104558,104558,104558,104558,104558,104558,104558,104558,104558
"U(2, 0, 0, 0)",122542,112336,112336,112336,112336,112336,112336,112336,112336,112336,112336,112336,112336,112336,112336
"U(2, 0, 0, 1)",122542,112568,112568,112568,112568,112568,112568,112568,112568,112568,112568,112568,112568,112568,112568
"U(2, 0, 0, 2)",122542,131317,131317,131317,131317,131317,131317,131317,131317,131317,131317,131317,131317,131317,131317
"U(2, 0, 1, 0)",122542,105669,105669,105669,105669,105669,105669,105669,105669,105669,105669,105669,105669,105669,105669
"U(2, 0, 1, 1)",122542,114711,114711,114711,114711,114711,114711,114711,114711,114711,114711,114711,114711,114711,114711
"U(2, 0, 1, 2)",122542,117729,117729,117729,117729,117729,117729,117729,117729,117729,117729,117729,117729,117729,117729
"U(2, 0, 2, 0)",122542,107517,107517,107517,107517,107517,107517,107517,107517,107517,107517,107517,107517,107517,107517
"U(2, 0, 2, 1)",122542,104552,104552,104552,104552,104552,104552,104552,104552,104552,104552,104552,104552,104552,104552
"U(2, 0, 2, 2)",122542,104807,104807,104807,104807,104807,104807,104807,104807,104807,104807,104807,104807,104807,104807
"U(2, 0, 3, 0)",122542,101254,101254,101254,101254,101254,101254,101254,101254,101254,101254,101254,101254,101254,101254
"U(2, 0, 3, 1)",122542,97627,97627,97627,97627,97627,97627,97627,97627,97627,97627,97627,97627,97627,97627
"U(2, 0, 3, 2)",122542,94984,94984,94984,94984,94984,94984,94984,94984,94984,94984,94984,94984,94984,94984
"U(2, 1, 0, 0)",122542,102379,102379,102379,102379,102379,102379,102379,102379,102379,102379,102379,102379,102379,102379
"U(2, 1, 0, 1)",122542,128104,128104,128104,128104,128104,128104,128104,128104,128104,128104,128104,128104,128104,128104
"U(2, 1, 0, 2)",122542,59736,59736,59736,59736,59736,59736,59736,59736,59736,59736,59736,59736,59736,59736
"U(2, 1, 1, 0)",122542,125879,125879,125879,125879,125879,125879,125879,125879,125879,125879,125879,125879,125879,125879
"U(2, 1, 1, 1)",122542,156558,156558,156558,156558,156558,156558,156558,156558,156558,156558,156558,156558,156558,156558
"U(2, 1, 1, 2)",122542,63766,63766,63766,63766,63766,63766,63766,63766,63766,63766,63766,63766,63766,63766
"U(2, 1, 2, 0)",122542,122879,122879,122879,122879,122879,122879,122879,122879,122879,122879,122879,122879,122879,122879
"U(2, 1, 2, 1)",122542,148569,148569,148569,148569,148569,148569,148569,148569,148569,148569,148569,148569,148569,148569
"U(2, 1, 2, 2)",122542,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600,67600
"U(2, 1, 3, 0)",122542,140701,140701,140701,140701,140701,140701,140701,140701,140701,140701,140701,140701,140701,140701
"U(2, 1, 3, 1)",122542,158572,158572,158572,158572,158572,158572,158572,158572,158572,158572,158572,158572,158572,158572
"U(2, 1, 3, 2)",122542,72172,72172,72172,72172,72172,72172,72172,72172,72172,72172,72172,72172,72172,72172
"U(2, 2, 0, 0)",122542,104768,104768,104768,104768,104768,104768,104768,104768,104768,104768,104768,104768,104768,104768
"U(2, 2, 0, 1)",122542,105996,105996,105996,105996,105996,105996,105996,105996,105996,105996,105996,105996,105996,105996
"U(2, 2, 0, 2)",122542,135195,135195,135195,135195,135195,135195,135195,135195,135195,135195,135195,135195,135195,135195
"U(2, 2, 1, 0)",122542,99941,99941,99941,99941,99941,99941,99941,99941,99941,99941,99941,99941,99941,99941
"U(2, 2, 1, 1)",122542,115481,115481,115481,115481,115481,115481,115481,115481,115481,115481,115481,115481,115481,115481
"U(2, 2, 1, 2)",122542,119312,119312,119312,119312,119312,119312,119312,119312,119312,119312,119312,119312,119312,119312
"U(2, 2, 2, 0)",122542,101437,101437,101437,101437,101437,101437,101437,101437,101437,101437,101437,101437,101437,101437
"U(2, 2, 2, 1)",122542,98686,98686,98686,98686,98686,98686,98686,98686,98686,98686,98686,98686,98686,98686
"U(2, 2, 2, 2)",122542,99645,99645,99645,99645,99645,99645,99645,99645,99645,99645,99645,99645,99645,99645
"U(2, 2, 3, 0)",122542,96637,96637,96637,96637,96637,96637,96637,96637,96637,96637,96637,96637,96637,96637
"U(2, 2, 3, 1)",122542,91956,91956,91956,91956,91956,91956,91956,91956,91956,91956,91956,91956,91956,91956
"U(2, 2, 3, 2)",122542,89818,89818,89818,89818,89818,89818,89818,89818,89818,89818,89818,89818,89818,89818
"Z(0, 1, 0, 1, 0, 0)",122542,115735,115735,115735,115735,115735,115735,115735,115735,115735,115735,115735,115735,115735,115735
"Z(0, 1, 0, 1, 0, 1)",122542,124148,124148,124148,124148,124148,124148,124148,124148,124148,124148,124148,124148,124148,124148
"Z(0, 1, 0, 1, 0, 2)",122542,109449,109449,109449,109449,109449,109449,109449,109449,109449,109449,109449,109449,109449,109449
"Z(0, 1, 0, 1, 1, 0)",122542,142745,142745,142745,142745,142745,142745,142745,142745,142745,142745,142745,142745,142745,142745
"Z(0, 1, 0, 1, 1, 1)",122542,126328,126328,126328,126328,126328,126328,126328,126328,126328,126328,126328,126328,126328,126328
"Z(0, 1, 0, 1, 1, 2)",122542,136766,136766,136766,136766,136766,136766,136766,136766,136766,136766,136766,136766,136766,136766
"Z(0, 1, 0, 1, 2, 0)",122542,139179,139179,139179,139179,139179,139179,139179,139179,139179,139179,139179,139179,139179,139179
"Z(0, 1, 0, 1, 2, 1)",122542,131649,131649,131649,131649,131649,131649,131649,131649,131649,131649,131649,131649,131649,131649
"Z(0, 1, 0, 1, 2, 2)",122542,147794,147794,147794,147794,147794,147794,147794,147794,147794,147794,147794,147794,147794,147794
"Z(0, 1, 0, 1, 3, 0)",122542,163493,163493,163493,163493,163493,163493,163493,163493,163493,163493,163493,163493,163493,163493
"Z(0, 1, 0, 1, 3, 1)",122542,153836,153836,153836,153836,153836,153836,153836,153836,153836,153836,153836,153836,153836,153836
"Z(0, 1, 0, 1, 3, 2)",122542,183106,183106,183106,183106,183106,183106,183106,183106,183106,183106,183106,183106,183106,183106
"Z(0, 1, 1, 0, 0, 0)",122542,123411,123411,123411,123411,123411,123411,123411,123411,123411,123411,123411,123411,123411,123411
"Z(0, 1, 1, 0, 0, 1)",122542,124582,124582,124582,124582,124582,124582,124582,124582,124582,124582,124582,124582,124582,124582
"Z(0, 1, 1, 0, 0, 2)",122542,116242,116242,116242,116242,116242,116242,116242,116242,116242,116242,116242,116242,116242,116242
"Z(0, 1, 1, 0, 1, 0)",122542,152381,152381,152381,152381,152381,152381,152381,152381,152381,152381,152381,152381,152381,152381
"Z(0, 1, 1, 0, 1, 1)",122542,126817,126817,126817,126817,126817,126817,126817,126817,126817,126817,126817,126817,126817,126817
"Z(0, 1, 1, 0, 1, 2)",122542,145978,145978,145978,145978,145978,145978,145978,145978,145978,145978,145978,145978,145978,145978
"Z(0, 1, 1, 0, 2, 0)",122542,148570,148570,148570,148570,148570,148570,148570,148570,148570,148570,148570,148570,148570,148570
"Z(0, 1, 1, 0, 2, 1)",122542,132142,132142,132142,132142,132142,132142,132142,132142,132142,132142,132142,132142,132142,132142
"Z(0, 1, 1, 0, 2, 2)",122542,157792,157792,157792,157792,157792,157792,157792,157792,157792,157792,157792,157792,157792,157792
"Z(0, 1, 1, 0, 3, 0)",122542,175827,175827,175827,175827,175827,175827,175827,175827,175827,175827,175827,175827,175827,175827
