,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),215053,4537971,4537971,4537971,4537971,4537971,4537971,4537971,4537971,4537971,4537971,4537971,4537971,4537971,4537971
S(1),215039,235544,235544,235544,235544,235544,235544,235544,235544,235544,235544,235544,235544,235544,235544
S(2),215039,210685,210685,210685,210685,210685,210685,210685,210685,210685,210685,210685,210685,210685,210685
"I(0, 1, 0)",215039,221694,221694,221694,221694,221694,221694,221694,221694,221694,221694,221694,221694,221694,221694
"I(0, 1, 1)",215039,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620,165620
"I(0, 1, 2)",215039,204994,204994,204994,204994,204994,204994,204994,204994,204994,204994,204994,204994,204994,204994
"I(1, 0, 0)",215039,388352,388352,388352,388352,388352,388352,388352,388352,388352,388352,388352,388352,388352,388352
"I(1, 0, 1)",215039,169312,169312,169312,169312,169312,169312,169312,169312,169312,169312,169312,169312,169312,169312
"I(1, 0, 2)",215039,222437,222437,222437,222437,222437,222437,222437,222437,222437,222437,222437,222437,222437,222437
"I(1, 1, 0)",215039,238694,238694,238694,238694,238694,238694,238694,238694,238694,238694,238694,238694,238694,238694
"I(1, 1, 1)",215039,167775,167775,167775,167775,167775,167775,167775,167775,167775,167775,167775,167775,167775,167775
"I(1, 1, 2)",215039,224705,224705,224705,224705,224705,224705,224705,224705,224705,224705,224705,224705,224705,224705
"U(0, 1, 0, 0)",215039,226190,226190,226190,226190,226190,226190,226190,226190,226190,226190,226190,226190,226190,226190
"U(0, 1, 0, 1)",215039,225427,225427,225427,225427,225427,225427,225427,225427,225427,225427,225427,225427,225427,225427
"U(0, 1, 0, 2)",215039,179942,179942,179942,179942,179942,179942,179942,179942,179942,179942,179942,179942,179942,179942
"U(0, 1, 1, 0)",215039,260468,260468,260468,260468,260468,260468,260468,260468,260468,260468,260468,260468,260468,260468
"U(0, 1, 1, 1)",215039,221616,221616,221616,221616,221616,221616,221616,221616,221616,221616,221616,221616,221616,221616
"U(0, 1, 1, 2)",215039,231173,231173,231173,231173,231173,231173,231173,231173,231173,231173,231173,231173,231173,231173
"U(0, 1, 2, 0)",215039,253186,253186,253186,253186,253186,253186,253186,253186,253186,253186,253186,253186,253186,253186
"U(0, 1, 2, 1)",215039,219516,219516,219516,219516,219516,219516,219516,219516,219516,219516,219516,219516,219516,219516
"U(0, 1, 2, 2)",215039,270215,270215,270215,270215,270215,270215,270215,270215,270215,270215,270215,270215,270215,270215
"U(0, 1, 3, 0)",215039,296376,296376,296376,296376,296376,296376,296376,296376,296376,296376,296376,296376,296376,296376
"U(0, 1, 3, 1)",215039,272353,272353,272353,272353,272353,272353,272353,272353,272353,272353,272353,272353,272353,272353
"U(0, 1, 3, 2)",215039,319306,319306,319306,319306,319306,319306,319306,319306,319306,319306,319306,319306,319306,319306
"U(0, 2, 0, 0)",215039,203348,203348,203348,203348,203348,203348,203348,203348,203348,203348,203348,203348,203348,203348
"U(0, 2, 0, 1)",215039,177004,177004,177004,177004,177004,177004,177004,177004,177004,177004,177004,177004,177004,177004
"U(0, 2, 0, 2)",215039,235993,235993,235993,235993,235993,235993,235993,235993,235993,235993,235993,235993,235993,235993
"U(0, 2, 1, 0)",215039,192052,192052,192052,192052,192052,192052,192052,192052,192052,192052,192052,192052,192052,192052
"U(0, 2, 1, 1)",215039,177177,177177,177177,177177,177177,177177,177177,177177,177177,177177,177177,177177,177177,177177
"U(0, 2, 1, 2)",215039,202323,202323,202323,202323,202323,202323,202323,202323,202323,202323,202323,202323,202323,202323
"U(0, 2, 2, 0)",215039,195129,195129,195129,195129,195129,195129,195129,195129,195129,195129,195129,195129,195129,195129
"U(0, 2, 2, 1)",215039,173436,173436,173436,173436,173436,173436,173436,173436,173436,173436,173436,173436,173436,173436
"U(0, 2, 2, 2)",215039,176206,176206,176206,176206,176206,176206,176206,176206,176206,176206,176206,176206,176206,176206
"U(0, 2, 3, 0)",215039,184381,184381,184381,184381,184381,184381,184381,184381,184381,184381,184381,184381,184381,184381
"U(0, 2, 3, 1)",215039,155861,155861,155861,155861,155861,155861,155861,155861,155861,155861,155861,155861,155861,155861
"U(0, 2, 3, 2)",215039,169061,169061,169061,169061,169061,169061,169061,169061,169061,169061,169061,169061,169061,169061
"U(1, 0, 0, 0)",215039,282656,282656,282656,282656,282656,282656,282656,282656,282656,282656,282656,282656,282656,282656
"U(1, 0, 0, 1)",215039,268355,268355,268355,268355,268355,268355,268355,268355,268355,268355,268355,268355,268355,268355
