,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961
S(1),167,167,167,167,167,167,167,167,167,167,167,167,167,167
S(2),1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641
"I(0, 1, 0)",10449,10449,10449,10449,10449,10449,10449,10449,10449,10449,10449,10449,10449,10449
"I(0, 1, 1)",5694,5694,5694,5694,5694,5694,5694,5694,5694,5694,5694,5694,5694,5694
"I(0, 1, 2)",7164,7164,7164,7164,7164,7164,7164,7164,7164,7164,7164,7164,7164,7164
"I(1, 0, 0)",13305,13305,13305,13305,13305,13305,13305,13305,13305,13305,13305,13305,13305,13305
"I(1, 0, 1)",5708,5708,5708,5708,5708,5708,5708,5708,5708,5708,5708,5708,5708,5708
"I(1, 0, 2)",7284,7284,7284,7284,7284,7284,7284,7284,7284,7284,7284,7284,7284,7284
"I(1, 1, 0)",8342,8342,8342,8342,8342,8342,8342,8342,8342,8342,8342,8342,8342,8342
"I(1, 1, 1)",5736,5736,5736,5736,5736,5736,5736,5736,5736,5736,5736,5736,5736,5736
"I(1, 1, 2)",8316,8316,8316,8316,8316,8316,8316,8316,8316,8316,8316,8316,8316,8316
"U(0, 1, 0, 0)",148,148,148,148,148,148,148,148,148,148,148,148,148,148
"U(0, 1, 0, 1)",344,344,344,344,344,344,344,344,344,344,344,344,344,344
"U(0, 1, 0, 2)",2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040
"U(0, 1, 1, 0)",161,161,161,161,161,161,161,161,161,161,161,161,161,161
"U(0, 1, 1, 1)",347,347,347,347,347,347,347,347,347,347,347,347,347,347
"U(0, 1, 1, 2)",2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553
"U(0, 1, 2, 0)",156,156,156,156,156,156,156,156,156,156,156,156,156,156
"U(0, 1, 2, 1)",362,362,362,362,362,362,362,362,362,362,362,362,362,362
"U(0, 1, 2, 2)",2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765,2765
"U(0, 1, 3, 0)",182,182,182,182,182,182,182,182,182,182,182,182,182,182
"U(0, 1, 3, 1)",426,426,426,426,426,426,426,426,426,426,426,426,426,426
"U(0, 1, 3, 2)",3395,3395,3395,3395,3395,3395,3395,3395,3395,3395,3395,3395,3395,3395
"U(0, 2, 0, 0)",133,133,133,133,133,133,133,133,133,133,133,133,133,133
"U(0, 2, 0, 1)",128,128,128,128,128,128,128,128,128,128,128,128,128,128
"U(0, 2, 0, 2)",1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
"U(0, 2, 1, 0)",125,125,125,125,125,125,125,125,125,125,125,125,125,125
"U(0, 2, 1, 1)",129,129,129,129,129,129,129,129,129,129,129,129,129,129
"U(0, 2, 1, 2)",1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587
"U(0, 2, 2, 0)",127,127,127,127,127,127,127,127,127,127,127,127,127,127
"U(0, 2, 2, 1)",122,122,122,122,122,122,122,122,122,122,122,122,122,122
"U(0, 2, 2, 2)",1468,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468
"U(0, 2, 3, 0)",119,119,119,119,119,119,119,119,119,119,119,119,119,119
"U(0, 2, 3, 1)",114,114,114,114,114,114,114,114,114,114,114,114,114,114
"U(0, 2, 3, 2)",1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341
"U(1, 0, 0, 0)",159,159,159,159,159,159,159,159,159,159,159,159,159,159
"U(1, 0, 0, 1)",384,384,384,384,384,384,384,384,384,384,384,384,384,384
"U(1, 0, 0, 2)",1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899
"U(1, 0, 1, 0)",164,164,164,164,164,164,164,164,164,164,164,164,164,164
"U(1, 0, 1, 1)",371,371,371,371,371,371,371,371,371,371,371,371,371,371
"U(1, 0, 1, 2)",2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452
"U(1, 0, 2, 0)",158,158,158,158,158,158,158,158,158,158,158,158,158,158
"U(1, 0, 2, 1)",392,392,392,392,392,392,392,392,392,392,392,392,392,392
"U(1, 0, 2, 2)",2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
"U(1, 0, 3, 0)",183,183,183,183,183,183,183,183,183,183,183,183,183,183
"U(1, 0, 3, 1)",467,467,467,467,467,467,467,467,467,467,467,467,467,467
"U(1, 0, 3, 2)",3394,3394,3394,3394,3394,3394,3394,3394,3394,3394,3394,3394,3394,3394
"U(1, 1, 0, 0)",146,146,146,146,146,146,146,146,146,146,146,146,146,146
"U(1, 1, 0, 1)",546,546,546,546,546,546,546,546,546,546,546,546,546,546
"U(1, 1, 0, 2)",1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959
"U(1, 1, 1, 0)",188,188,188,188,188,188,188,188,188,188,188,188,188,188
"U(1, 1, 1, 1)",588,588,588,588,588,588,588,588,588,588,588,588,588,588
"U(1, 1, 1, 2)",2563,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563,2563
"U(1, 1, 2, 0)",183,183,183,183,183,183,183,183,183,183,183,183,183,183
"U(1, 1, 2, 1)",673,673,673,673,673,673,673,673,673,673,673,673,673,673
"U(1, 1, 2, 2)",2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861
