,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209
S(1),60,60,60,60,60,60,60,60,60,60,60,60,60,60
S(2),1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,1261
"I(0, 1, 0)",6410,6410,6410,6410,6410,6410,6410,6410,6410,6410,6410,6410,6410,6410
"I(0, 1, 1)",4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965
"I(0, 1, 2)",7002,7002,7002,7002,7002,7002,7002,7002,7002,7002,7002,7002,7002,7002
"I(1, 0, 0)",9181,9181,9181,9181,9181,9181,9181,9181,9181,9181,9181,9181,9181,9181
"I(1, 0, 1)",4985,4985,4985,4985,4985,4985,4985,4985,4985,4985,4985,4985,4985,4985
"I(1, 0, 2)",7644,7644,7644,7644,7644,7644,7644,7644,7644,7644,7644,7644,7644,7644
"I(1, 1, 0)",6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849,6849
"I(1, 1, 1)",5016,5016,5016,5016,5016,5016,5016,5016,5016,5016,5016,5016,5016,5016
"I(1, 1, 2)",7891,7891,7891,7891,7891,7891,7891,7891,7891,7891,7891,7891,7891,7891
"U(0, 1, 0, 0)",119,119,119,119,119,119,119,119,119,119,119,119,119,119
"U(0, 1, 0, 1)",279,279,279,279,279,279,279,279,279,279,279,279,279,279
"U(0, 1, 0, 2)",2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396,2396
"U(0, 1, 1, 0)",85,85,85,85,85,85,85,85,85,85,85,85,85,85
"U(0, 1, 1, 1)",234,234,234,234,234,234,234,234,234,234,234,234,234,234
"U(0, 1, 1, 2)",2463,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463
"U(0, 1, 2, 0)",79,79,79,79,79,79,79,79,79,79,79,79,79,79
"U(0, 1, 2, 1)",267,267,267,267,267,267,267,267,267,267,267,267,267,267
"U(0, 1, 2, 2)",3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087
"U(0, 1, 3, 0)",93,93,93,93,93,93,93,93,93,93,93,93,93,93
"U(0, 1, 3, 1)",308,308,308,308,308,308,308,308,308,308,308,308,308,308
"U(0, 1, 3, 2)",3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799
"U(0, 2, 0, 0)",50,50,50,50,50,50,50,50,50,50,50,50,50,50
"U(0, 2, 0, 1)",41,41,41,41,41,41,41,41,41,41,41,41,41,41
"U(0, 2, 0, 2)",1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132
"U(0, 2, 1, 0)",47,47,47,47,47,47,47,47,47,47,47,47,47,47
"U(0, 2, 1, 1)",48,48,48,48,48,48,48,48,48,48,48,48,48,48
"U(0, 2, 1, 2)",1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241
"U(0, 2, 2, 0)",48,48,48,48,48,48,48,48,48,48,48,48,48,48
"U(0, 2, 2, 1)",39,39,39,39,39,39,39,39,39,39,39,39,39,39
"U(0, 2, 2, 2)",881,881,881,881,881,881,881,881,881,881,881,881,881,881
"U(0, 2, 3, 0)",45,45,45,45,45,45,45,45,45,45,45,45,45,45
"U(0, 2, 3, 1)",38,38,38,38,38,38,38,38,38,38,38,38,38,38
"U(0, 2, 3, 2)",780,780,780,780,780,780,780,780,780,780,780,780,780,780
