,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340
S(1),170,170,170,170,170,170,170,170,170,170,170,170,170,170
S(2),2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404,2404
"I(0, 1, 0)",14258,14258,14258,14258,14258,14258,14258,14258,14258,14258,14258,14258,14258,14258
"I(0, 1, 1)",8996,8996,8996,8996,8996,8996,8996,8996,8996,8996,8996,8996,8996,8996
"I(0, 1, 2)",12570,12570,12570,12570,12570,12570,12570,12570,12570,12570,12570,12570,12570,12570
"I(1, 0, 0)",14571,14571,14571,14571,14571,14571,14571,14571,14571,14571,14571,14571,14571,14571
"I(1, 0, 1)",9051,9051,9051,9051,9051,9051,9051,9051,9051,9051,9051,9051,9051,9051
"I(1, 0, 2)",13172,13172,13172,13172,13172,13172,13172,13172,13172,13172,13172,13172,13172,13172
"I(1, 1, 0)",12405,12405,12405,12405,12405,12405,12405,12405,12405,12405,12405,12405,12405,12405
"I(1, 1, 1)",9125,9125,9125,9125,9125,9125,9125,9125,9125,9125,9125,9125,9125,9125
"I(1, 1, 2)",13964,13964,13964,13964,13964,13964,13964,13964,13964,13964,13964,13964,13964,13964
"U(0, 1, 0, 0)",319,319,319,319,319,319,319,319,319,319,319,319,319,319
"U(0, 1, 0, 1)",414,414,414,414,414,414,414,414,414,414,414,414,414,414
"U(0, 1, 0, 2)",4292,4292,4292,4292,4292,4292,4292,4292,4292,4292,4292,4292,4292,4292
"U(0, 1, 1, 0)",238,238,238,238,238,238,238,238,238,238,238,238,238,238
"U(0, 1, 1, 1)",353,353,353,353,353,353,353,353,353,353,353,353,353,353
"U(0, 1, 1, 2)",4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948
"U(0, 1, 2, 0)",223,223,223,223,223,223,223,223,223,223,223,223,223,223
"U(0, 1, 2, 1)",379,379,379,379,379,379,379,379,379,379,379,379,379,379
"U(0, 1, 2, 2)",5631,5631,5631,5631,5631,5631,5631,5631,5631,5631,5631,5631,5631,5631
"U(0, 1, 3, 0)",261,261,261,261,261,261,261,261,261,261,261,261,261,261
"U(0, 1, 3, 1)",474,474,474,474,474,474,474,474,474,474,474,474,474,474
"U(0, 1, 3, 2)",6586,6586,6586,6586,6586,6586,6586,6586,6586,6586,6586,6586,6586,6586
"U(0, 2, 0, 0)",136,136,136,136,136,136,136,136,136,136,136,136,136,136
"U(0, 2, 0, 1)",117,117,117,117,117,117,117,117,117,117,117,117,117,117
"U(0, 2, 0, 2)",2087,2087,2087,2087,2087,2087,2087,2087,2087,2087,2087,2087,2087,2087
"U(0, 2, 1, 0)",129,129,129,129,129,129,129,129,129,129,129,129,129,129
"U(0, 2, 1, 1)",137,137,137,137,137,137,137,137,137,137,137,137,137,137
"U(0, 2, 1, 2)",2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,2033
"U(0, 2, 2, 0)",131,131,131,131,131,131,131,131,131,131,131,131,131,131
"U(0, 2, 2, 1)",119,119,119,119,119,119,119,119,119,119,119,119,119,119
"U(0, 2, 2, 2)",1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538
"U(0, 2, 3, 0)",124,124,124,124,124,124,124,124,124,124,124,124,124,124
"U(0, 2, 3, 1)",101,101,101,101,101,101,101,101,101,101,101,101,101,101
"U(0, 2, 3, 2)",1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564
"U(1, 0, 0, 0)",226,226,226,226,226,226,226,226,226,226,226,226,226,226
"U(1, 0, 0, 1)",360,360,360,360,360,360,360,360,360,360,360,360,360,360
"U(1, 0, 0, 2)",3938,3938,3938,3938,3938,3938,3938,3938,3938,3938,3938,3938,3938,3938
"U(1, 0, 1, 0)",219,219,219,219,219,219,219,219,219,219,219,219,219,219
"U(1, 0, 1, 1)",323,323,323,323,323,323,323,323,323,323,323,323,323,323
"U(1, 0, 1, 2)",4723,4723,4723,4723,4723,4723,4723,4723,4723,4723,4723,4723,4723,4723
"U(1, 0, 2, 0)",210,210,210,210,210,210,210,210,210,210,210,210,210,210
"U(1, 0, 2, 1)",348,348,348,348,348,348,348,348,348,348,348,348,348,348
"U(1, 0, 2, 2)",5393,5393,5393,5393,5393,5393,5393,5393,5393,5393,5393,5393,5393,5393
"U(1, 0, 3, 0)",242,242,242,242,242,242,242,242,242,242,242,242,242,242
"U(1, 0, 3, 1)",431,431,431,431,431,431,431,431,431,431,431,431,431,431
"U(1, 0, 3, 2)",6356,6356,6356,6356,6356,6356,6356,6356,6356,6356,6356,6356,6356,6356
