,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),6616,6616,6616,6616,6616,6616,6616,6616,6616,6616,6616,6616,6616,6616
S(1),343,343,343,343,343,343,343,343,343,343,343,343,343,343
S(2),2567,2567,2567,2567,2567,2567,2567,2567,2567,2567,2567,2567,2567,2567
"I(0, 1, 0)",12169,12169,12169,12169,12169,12169,12169,12169,12169,12169,12169,12169,12169,12169
"I(0, 1, 1)",9091,9091,9091,9091,9091,9091,9091,9091,9091,9091,9091,9091,9091,9091
"I(0, 1, 2)",11252,11252,11252,11252,11252,11252,11252,11252,11252,11252,11252,11252,11252,11252
"I(1, 0, 0)",21210,21210,21210,21210,21210,21210,21210,21210,21210,21210,21210,21210,21210,21210
"I(1, 0, 1)",9247,9247,9247,9247,9247,9247,9247,9247,9247,9247,9247,9247,9247,9247
"I(1, 0, 2)",12149,12149,12149,12149,12149,12149,12149,12149,12149,12149,12149,12149,12149,12149
"I(1, 1, 0)",13179,13179,13179,13179,13179,13179,13179,13179,13179,13179,13179,13179,13179,13179
"I(1, 1, 1)",9263,9263,9263,9263,9263,9263,9263,9263,9263,9263,9263,9263,9263,9263
"I(1, 1, 2)",12406,12406,12406,12406,12406,12406,12406,12406,12406,12406,12406,12406,12406,12406
"U(0, 1, 0, 0)",329,329,329,329,329,329,329,329,329,329,329,329,329,329
"U(0, 1, 0, 1)",1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510
"U(0, 1, 0, 2)",3834,3834,3834,3834,3834,3834,3834,3834,3834,3834,3834,3834,3834,3834
"U(0, 1, 1, 0)",379,379,379,379,379,379,379,379,379,379,379,379,379,379
"U(0, 1, 1, 1)",1484,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484
"U(0, 1, 1, 2)",4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926,4926
"U(0, 1, 2, 0)",369,369,369,369,369,369,369,369,369,369,369,369,369,369
"U(0, 1, 2, 1)",1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470,1470
"U(0, 1, 2, 2)",5758,5758,5758,5758,5758,5758,5758,5758,5758,5758,5758,5758,5758,5758
"U(0, 1, 3, 0)",432,432,432,432,432,432,432,432,432,432,432,432,432,432
"U(0, 1, 3, 1)",1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824
"U(0, 1, 3, 2)",6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804,6804
"U(0, 2, 0, 0)",296,296,296,296,296,296,296,296,296,296,296,296,296,296
"U(0, 2, 0, 1)",258,258,258,258,258,258,258,258,258,258,258,258,258,258
"U(0, 2, 0, 2)",2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876,2876
"U(0, 2, 1, 0)",279,279,279,279,279,279,279,279,279,279,279,279,279,279
"U(0, 2, 1, 1)",258,258,258,258,258,258,258,258,258,258,258,258,258,258
"U(0, 2, 1, 2)",2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465
"U(0, 2, 2, 0)",284,284,284,284,284,284,284,284,284,284,284,284,284,284
"U(0, 2, 2, 1)",252,252,252,252,252,252,252,252,252,252,252,252,252,252
"U(0, 2, 2, 2)",2147,2147,2147,2147,2147,2147,2147,2147,2147,2147,2147,2147,2147,2147
"U(0, 2, 3, 0)",268,268,268,268,268,268,268,268,268,268,268,268,268,268
