,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.00252671832675,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165,0.0138713258165
S(1),0.00252524881436,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298,0.000708598956298
S(2),0.00252524881436,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502,0.000699331737502
"I(0, 1, 0)",0.00252524881436,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447,0.000798955942447
"I(0, 1, 1)",0.00252524881436,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496,0.000504114427496
"I(0, 1, 2)",0.00252524881436,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738,0.000704365568738
"I(1, 0, 0)",0.00252524881436,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965,0.000820629390965
"I(1, 0, 1)",0.00252524881436,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628,0.000509729882628
"I(1, 0, 2)",0.00252524881436,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398,0.000741823967398
"I(1, 1, 0)",0.00252524881436,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989,0.00069110941989
"I(1, 1, 1)",0.00252524881436,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775,0.000508371540775
"I(1, 1, 2)",0.00252524881436,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627,0.000777949091627
"U(0, 1, 0, 0)",0.00252524881436,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408,0.00132586235408
"U(0, 1, 0, 1)",0.00252524881436,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755,0.000914447743755
"U(0, 1, 0, 2)",0.00252524881436,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182,0.000821150278182
"U(0, 1, 1, 0)",0.00252524881436,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001,0.000991604050001
"U(0, 1, 1, 1)",0.00252524881436,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655,0.000780338558655
"U(0, 1, 1, 2)",0.00252524881436,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926,0.000946505500926
"U(0, 1, 2, 0)",0.00252524881436,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853,0.00092828573853
