,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.00252747248218,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532,0.00767962990532
S(1),0.00252524690511,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953,0.000434238968953
S(2),0.00252524690511,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451,0.000369677765451
"I(0, 1, 0)",0.00252524690511,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864,0.000585534454864
"I(0, 1, 1)",0.00252524690511,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799,0.000319063430799
"I(0, 1, 2)",0.00252524690511,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229,0.000401467193229
"I(1, 0, 0)",0.00252524690511,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216,0.000749296300216
"I(1, 0, 1)",0.00252524690511,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924,0.000321490677924
"I(1, 0, 2)",0.00252524690511,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135,0.000410264139135
"I(1, 1, 0)",0.00252524690511,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943,0.000464747557943
"I(1, 1, 1)",0.00252524690511,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253,0.000319564377253
"I(1, 1, 2)",0.00252524690511,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999,0.000463298902999
"U(0, 1, 0, 0)",0.00252524690511,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421,0.000383810495421
"U(0, 1, 0, 1)",0.00252524690511,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509,0.000404618254509
"U(0, 1, 0, 2)",0.00252524690511,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447,0.000313390051447
"U(0, 1, 1, 0)",0.00252524690511,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415,0.000420037075415
"U(0, 1, 1, 1)",0.00252524690511,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485,0.000407975093485
"U(0, 1, 1, 2)",0.00252524690511,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763,0.000392116743763
"U(0, 1, 2, 0)",0.00252524690511,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807,0.000406818720807
"U(0, 1, 2, 1)",0.00252524690511,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657,0.000425333069657
"U(0, 1, 2, 2)",0.00252524690511,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435,0.000424726033435
"U(0, 1, 3, 0)",0.00252524690511,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815,0.000473235855815
"U(0, 1, 3, 1)",0.00252524690511,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138,0.000499979420138
"U(0, 1, 3, 2)",0.00252524690511,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877,0.000521476479877
"U(0, 2, 0, 0)",0.00252524690511,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916,0.000344937776916
"U(0, 2, 0, 1)",0.00252524690511,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202,0.000333324460202
"U(0, 2, 0, 2)",0.00252524690511,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375,0.000394259699375
"U(0, 2, 1, 0)",0.00252524690511,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007,0.000324116767007
"U(0, 2, 1, 1)",0.00252524690511,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798,0.000334516114798
"U(0, 2, 1, 2)",0.00252524690511,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042,0.00035770448042
"U(0, 2, 2, 0)",0.00252524690511,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864,0.000329646833864
"U(0, 2, 2, 1)",0.00252524690511,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792,0.000317597926792
"U(0, 2, 2, 2)",0.00252524690511,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681,0.000330779725681
"U(0, 2, 3, 0)",0.00252524690511,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785,0.000308951174785
