,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.00252541651529,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029,0.0139582097029
S(1),0.00252525211009,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349,0.000724505485349
S(2),0.00252525211009,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065,0.000648040948065
"I(0, 1, 0)",0.00252525211009,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159,0.000681904789159
"I(0, 1, 1)",0.00252525211009,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234,0.000509426071234
"I(0, 1, 2)",0.00252525211009,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011,0.000630535374011
"I(1, 0, 0)",0.00252525211009,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232,0.00119452273232
"I(1, 0, 1)",0.00252525211009,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974,0.000520783197974
"I(1, 0, 2)",0.00252525211009,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785,0.000684189940785
"I(1, 1, 0)",0.00252525211009,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375,0.000734194377375
