,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
S(0),0.00252746583843,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987,0.00786738286987
S(1),0.00252524692193,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028,0.000393068260028
S(2),0.00252524692193,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009,0.000400304471009
"I(0, 1, 0)",0.00252524692193,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221,0.000359223342221
"I(0, 1, 1)",0.00252524692193,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772,0.000278245462772
"I(0, 1, 2)",0.00252524692193,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737,0.000392390707737
"I(1, 0, 0)",0.00252524692193,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503,0.000517072228503
"I(1, 0, 1)",0.00252524692193,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103,0.000280762834103
"I(1, 0, 2)",0.00252524692193,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885,0.000430534573885
"I(1, 1, 0)",0.00252524692193,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152,0.000381587227152
"I(1, 1, 1)",0.00252524692193,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618,0.000279446734618
